alt_id,locus_tag,source_col,source_csv,paper
MIT1002_00002,MIT1002_00002,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586368.1,MIT1002_00002,Gene ID,Supplemental Table 4.csv,Coe 2024
dnaN,MIT1002_00002,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00003,MIT1002_00003,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586367.1,MIT1002_00003,Gene ID,Supplemental Table 4.csv,Coe 2024
recF,MIT1002_00003,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00004,MIT1002_00004,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586366.1,MIT1002_00004,Gene ID,Supplemental Table 4.csv,Coe 2024
gyrB,MIT1002_00004,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00005,MIT1002_00005,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586365.1,MIT1002_00005,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00006,MIT1002_00006,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586364.1,MIT1002_00006,Gene ID,Supplemental Table 4.csv,Coe 2024
glyS,MIT1002_00006,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00007,MIT1002_00007,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_014947716.1,MIT1002_00007,Gene ID,Supplemental Table 4.csv,Coe 2024
glyQ,MIT1002_00007,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00008,MIT1002_00008,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_080986385.1,MIT1002_00008,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00009,MIT1002_00009,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586362.1,MIT1002_00009,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00010,MIT1002_00010,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_014947719.1,MIT1002_00010,Gene ID,Supplemental Table 4.csv,Coe 2024
yihI,MIT1002_00010,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00011,MIT1002_00011,locus_tag,ALT DE genes 41396_2016_bfismej201682_moesm99_esm_with_locus_tag.csv,Biller 2016
MIT1002_0011,MIT1002_00011,Gene ID,ALT DE genes 41396_2016_bfismej201682_moesm99_esm_with_locus_tag.csv,Biller 2016
MIT1002_00011,MIT1002_00011,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_080986387.1,MIT1002_00011,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00012,MIT1002_00012,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_014947721.1,MIT1002_00012,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00013,MIT1002_00013,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_014947722.1,MIT1002_00013,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00014,MIT1002_00014,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586361.1,MIT1002_00014,Gene ID,Supplemental Table 4.csv,Coe 2024
polA,MIT1002_00014,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00015,MIT1002_00015,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_049586360.1,MIT1002_00015,Gene ID,Supplemental Table 4.csv,Coe 2024
elbB,MIT1002_00015,Gene Name,Supplemental Table 4.csv,Coe 2024
MIT1002_00016,MIT1002_00016,NCBI ID,Supplemental Table 4.csv,Coe 2024
cds-WP_014947725.1,MIT1002_00016,Gene ID,Supplemental Table 4.csv,Coe 2024
MIT1002_00017,MIT1002_00017,locus_tag,ALT DE genes 41396_2016_bfismej201682_moesm99_esm_with_locus_tag.csv,Biller 2016
