alt_id,locus_tag,source_col,source_csv,paper
A9601_00001,A9601_00001,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00011,A9601_00011,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00021,A9601_00021,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00031,A9601_00031,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00041,A9601_00041,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00051,A9601_00051,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00061,A9601_00061,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00071,A9601_00071,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00081,A9601_00081,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00091,A9601_00091,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00101,A9601_00101,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00111,A9601_00111,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00121,A9601_00121,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00131,A9601_00131,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00141,A9601_00141,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00151,A9601_00151,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
