partner,treatment,symbol,product,logFC,logFC_rel_axenic,Pvalue
MIT9312,400ppm,EZ55_03768,glutathione S-transferase,-1.028879961,-0.752947033,5.35E-06
MIT9312,400ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,1.883422643,0.363212824,3.88E-36
MIT9312,400ppm,EZ55_03399,phage shock protein C (PspC) family protein,2.357016964,0.568081172,1.57E-20
MIT9312,400ppm,EZ55_02120,hydroxyacylglutathione hydrolase,1.356780535,-0.904437974,5.18E-16
MIT9312,400ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,-1.654729962,-2.026072326,1.66E-05
MIT9312,400ppm,EZ55_03522,catalase_1,2.276991383,-0.387335821,4.23E-09
MIT9312,400ppm,EZ55_00548,toxin YoeB,1.338789222,-1.298556407,2.06E-13
MIT9312,400ppm,EZ55_00871,DNA-binding MarR family transcriptional,2.368971771,-0.664905964,5.42E-23
MIT9312,400ppm,EZ55_03362,catalase-peroxidase,1.946141323,-0.588178767,2.52E-12
MIT9312,400ppm,EZ55_00433,catalase_2,2.247046143,-1.175334958,4.41E-10
MIT9312,400ppm,EZ55_00549,antitoxin YefM,1.923591598,-1.106123116,4.98E-25
MIT9312,400ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),1.888371909,-0.29913054,3.19E-15
MIT9312,400ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,2.844076996,0.318945198,4.50E-15
MIT9312,400ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,1.628841887,-0.412576755,2.93E-05
MIT9312,400ppm,EZ55_03120,S-(hydroxymethyl)glutathione,1.246122119,-0.148723425,3.15E-06
MIT9312,400ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,2.142971229,1.932096986,6.86E-09
MIT9312,400ppm,EZ55_01508,alkylhydroperoxidase family enzyme,3.224196974,-1.629815041,6.22E-27
MIT9312,400ppm,EZ55_01134,phage shock protein B,1.724733439,0.998821835,6.15E-20
MIT9312,400ppm,EZ55_02418,osmotically-inducible protein OsmY,1.749184885,0.096366952,2.28E-07
MIT9312,400ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,2.716898854,0.120791902,1.68E-20
MIT9312,400ppm,EZ55_00872,Ohr subfamily peroxiredoxin,3.69193586,-0.1511953,9.72E-17
MIT9312,400ppm,EZ55_02788,phage shock protein A (PspA) family protein,2.103433343,-1.288946204,3.22E-14
MIT9312,400ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,1.275250789,-0.431761944,1.07E-21
MIT9312,400ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,1.669247963,-1.061727341,1.13E-05
MIT9312,400ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,1.41063349,2.568754728,1.46E-09
CC9311,400ppm,EZ55_03768,glutathione S-transferase,0.735191786,1.011124713,0.000279577
CC9311,400ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-1.054592044,-2.574801863,3.43E-10
CC9311,400ppm,EZ55_03399,phage shock protein C (PspC) family protein,-1.536206979,-3.325142771,1.42E-07
CC9311,400ppm,EZ55_02120,hydroxyacylglutathione hydrolase,-1.138098507,-3.399317016,1.78E-09
CC9311,400ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,1.40944216,1.038099796,1.36E-05
CC9311,400ppm,EZ55_03522,catalase_1,-1.742054435,-4.406381639,0.000129584
CC9311,400ppm,EZ55_00548,toxin YoeB,-1.515911894,-4.153257523,1.12E-12
CC9311,400ppm,EZ55_00871,DNA-binding MarR family transcriptional,-1.232002314,-4.26588005,4.49E-06
CC9311,400ppm,EZ55_03362,catalase-peroxidase,-0.905042697,-3.439362787,0.003121929
CC9311,400ppm,EZ55_00433,catalase_2,-1.681054891,-5.103435992,6.52E-05
CC9311,400ppm,EZ55_00549,antitoxin YefM,-2.191174289,-5.220889003,1.56E-21
CC9311,400ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),-0.732802191,-2.92030464,0.004924204
CC9311,400ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,-2.101904904,-4.627036702,1.03E-06
CC9311,400ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-0.472423911,-2.513842553,0.257824574
CC9311,400ppm,EZ55_03120,S-(hydroxymethyl)glutathione,0.362463028,-1.032382516,0.184220064
CC9311,400ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,-0.185438222,-0.396312465,0.629402598
CC9311,400ppm,EZ55_01508,alkylhydroperoxidase family enzyme,-2.017171671,-6.871183687,6.15E-09
CC9311,400ppm,EZ55_01134,phage shock protein B,-0.730046214,-1.455957818,0.000389083
CC9311,400ppm,EZ55_02418,osmotically-inducible protein OsmY,0.535354245,-1.117463687,0.11710504
CC9311,400ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-1.676156901,-4.272263853,6.02E-07
CC9311,400ppm,EZ55_00872,Ohr subfamily peroxiredoxin,-1.57478812,-5.41791928,0.001067483
CC9311,400ppm,EZ55_02788,phage shock protein A (PspA) family protein,-1.588759278,-4.981138824,8.43E-07
CC9311,400ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,-0.731581293,-2.438594025,5.24E-07
CC9311,400ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,-0.407076276,-3.13805158,0.314889572
