MIT9312 Quantitation data,,,,,,,
Protein,Gene,ORF,# peptides,Control MEAN,deplete MEAN,deplete SD,Ratio of means
50S ribosomal protein L5,rplE,PMT9312_1638,2,0.998270393,0.90844055,0.122123945,0.910014518
DNA-directed RNA polymerase subunit alpha,rpoA,PMT9312_1628,2,1.393287569,1.859297735,0.760436175,1.334468042
Peptidylprolyl isomerase precursor,PPIase,PMT9312_1389,2,1.090449184,1.483780468,0.257079442,1.360705744
Thioredoxin,trx,PMT9312_1072,2,1.090113142,1.125294341,0.402322447,1.032272979
Ferritin,Ferritin,PMT9312_0812,2,1.366645791,1.821030623,0.900711345,1.332481785
Geranylgeranyl reductase precursor,(grp),PMT9312_0768,2,1.275704896,0.650031742,0.204666235,0.509547109
Porin precursor-like,phoE,PMT9312_0721,2,0.8953723,14.19888162,2.215354287,15.85807559
Cysteine synthase A (O-acetylserine(thiol) - lyase A),cysK1-like,PMT9312_0402,2,1.081457306,1.013933809,0.261051215,0.937562494
Phosphoglycerate kinase,pgk,PMT9312_0197,2,0.931371167,1.093234586,0.428959397,1.173790455
Photosystem I iron-sulfur center,psaC,PMT9312_1700,3,1.104545107,1.257896125,0.119788009,1.138836356
"Nitrogen regulatory protein P-II (GlnB, GlnK)",glnK,PMT9312_1556,3,1.298180389,1.20818024,0.545990134,0.930672077
ATP-dependent metalloprotease FtsH,ftsH,PMT9312_1358,3,0.980895545,0.797701485,0.170579452,0.813237953
O-acetylhomoserine/O-acetylserine sulfhydrylase,cysD,PMT9312_0642,3,1.007981303,1.199418457,0.177567144,1.189921335
Light-harvesting complex protein,pcb,PMT9312_0627,3,1.05827464,1.098590974,0.442718486,1.038096287
Photosystem II PsbB protein (CP47),psbB,PMT9312_0321,3,1.4256642,1.689536688,0.607026595,1.185087406
RNA binding ribosomal protein S1,S1,PMT9312_0318,3,0.800312028,0.860132085,0.336744799,1.074745917
Putative sulfate transporter,Strans,PMT9312_0216,3,1.289401808,1.8595666,0.42079605,1.442193263
Histone-like DNA-binding protein,HistDNA,PMT9312_1419,4,0.851001452,0.694836104,0.26809106,0.816492266
Hypothetical protein,Hyp_1383,PMT9312_1383,4,0.839980923,1.03365003,0.312542067,1.230563697
Photosystem II 44 kDa subunit reaction center protein,CP43,PMT9312_1257,4,0.976910131,0.773144758,0.355459076,0.791418508
Putative secreted protein precursor,phoA,PMT9312_0720,4,0.842231427,7.875248469,2.559760646,9.35045668
Photosystem II reaction center Psb27 protein-like precursor,psb27,PMT9312_0508,4,0.962067671,1.041393606,0.16793182,1.082453592
Photosystem II manganese-stabilizing protein precursor,psbO,PMT9312_0230,4,1.028864938,0.76075594,0.048871593,0.739412835
Photosystem I PsaL protein (Subunit XI),psaL,PMT9312_1611,5,1.111550158,1.90521016,0.466012754,1.714011866
"Signal peptide peptidase SppA, 36K type",sppA,PMT9312_1281,5,0.921596079,1.115255455,0.271823062,1.210134765
Ferredoxin-NADP oxidoreductase (FNR),FNR,PMT9312_1086,5,1.214525707,1.480998403,0.275292914,1.21940474
Ribulose-bisphosphate carboxylase,rbcS,PMT9312_0551,5,0.956823285,0.407312534,0.08588369,0.425692539
Photosystem I protein PsaD,psaD,PMT9312_1670,6,1.114634946,1.380304935,0.269570618,1.238347083
ATP synthase subunit alpha,atpA,PMT9312_1544,6,1.064653687,1.0853269,0.144609659,1.019417782
Photosystem I P700 chlorophyll a apoprotein A1,psaA,PMT9312_1616,7,0.944664773,1.020491964,0.309956155,1.080268889
Photosystem I P700 chlorophyll a apoprotein A2,psaB,PMT9312_1615,7,0.864105839,0.843458643,0.39708781,0.97610571
ATP synthase subunit beta,atpD,PMT9312_1531,7,1.041612139,0.884412131,0.027475575,0.849080092
Porin precursor-like,Porin_1131,PMT9312_1131,7,0.853243554,0.90172272,0.081848721,1.056817501
Band 7 protein,Band 7,PMT9312_0483,10,0.887831925,1.125869882,0.240425139,1.268111509
50S ribosomal protein L7/L12,rplL,PMT9312_0203,10,0.890979996,0.491079461,0.042525943,0.551167774
Periplasmic phosphate binding protein precursor,pstS,PMT9312_0722,12,0.941792693,3.131025785,0.799808437,3.324538202
Ribulose bisphosphate carboxylase large chain,rbcL,PMT9312_0550,15,1.003066372,0.531655501,0.081575914,0.530030231
Carboxysome shell protein CsoS1,csoS1,PMT9312_0549,53,1.055331734,0.698066106,0.141825475,0.661466043
