Protein,Gene,ORF,# peptides,Control Mean,Deplete Mean,SD,Ratio of means,log2_fold_change,resolved_locus_tag,resolution_method
Uroporphyrinogen decarboxylase,hemE,PMN2A_0019,2,0.727146035,0.650673083,0.116395846,0.325336541,-1.619995223449519,PMN2A_0019,locus_tag:ORF
Elongation factor Ts,tsf,PMN2A_0158,2,0.781624387,0.721878626,0.110593393,0.360939313,-1.4701718067885965,PMN2A_0158,locus_tag:ORF
"Molecular chaperone, DnaK",dnaK,PMN2A_0312,2,1.141880529,1.09831168,0.090800952,0.54915584,-0.8647124780959249,PMN2A_0312,locus_tag:ORF
Hypothetical protein,,PMN2A_0327,2,1.546872746,2.515461963,0.066110382,1.257730982,0.3308233749688944,PMN2A_0327,locus_tag:ORF
Recombinase A,recA,PMN2A_1133,2,1.005542198,1.021809888,0.125839403,0.510904944,-0.9688731981989372,PMN2A_1133,locus_tag:ORF
Permease of the major facilitator superfamily,,PMN2A_1303,2,1.223820385,1.297467201,0.63269231,0.6487336,-0.6243019323189375,PMN2A_1303,locus_tag:ORF
Membrane protein,,PMN2A_1452,2,1.151217181,0.960804191,0.436086007,0.480402095,-1.0576856523377365,PMN2A_1452,locus_tag:ORF
"Regulatory protein, LuxR:Response regulator receiver",luxR,PMN2A_1537,2,0.737301512,0.67101399,0.243279402,0.335506995,-1.5755852493363904,PMN2A_1537,locus_tag:ORF
Glutamyl-tRNA synthetase,gltX,PMN2A_1806,2,0.979636021,0.73814051,0.079771966,0.369070255,-1.4380326257763885,PMN2A_1806,locus_tag:ORF
Ferritin family protein,,PMN2A_0212,3,0.925622912,0.974045827,0.051139031,0.324681942,-1.6229009471328215,PMN2A_0212,locus_tag:ORF
Protein family PM-3,,PMN2A_0470,3,1.101678437,0.921164288,0.181126068,0.307054763,-1.7034321127031595,PMN2A_0470,locus_tag:ORF
DNA-directed RNA polymerase subunit beta,rpoB,PMN2A_1016,3,0.895875029,0.996198896,0.44325348,0.332066299,-1.5904567819615103,PMN2A_1016,locus_tag:ORF
DNA-directed RNA polymerase subunit alpha,rpoA,PMN2A_1106,3,1.012124171,0.882116767,0.005943935,0.294038922,-1.765920957309557,PMN2A_1106,locus_tag:ORF
"Trk-type K+ transport system, membrane component precursor",,PMN2A_1448,3,0.996156214,1.081316488,0.084039236,0.360438829,-1.4721736581302325,PMN2A_1448,locus_tag:ORF
