refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h,resolved_locus_tag,resolution_method
TX50_RS00020,0.8456155,0.00018026,1.03124213,7.844813142557731e-19,PMM0001,tier1:refseq_locus
TX50_RS00025,0.11450185,0.66405678,0.08400668,0.69841045,PMM0002,tier1:refseq_locus
TX50_RS00030,-0.7449607,0.01051219,-0.4630721,0.00027248,PMM0003,tier1:refseq_locus
TX50_RS00035,-0.6747138,0.01051219,-0.5702892,0.00012733,PMM0004,tier1:refseq_locus
TX50_RS00040,-0.3545434,0.27292461,0.24747791,0.1051928,PMM0005,tier1:refseq_locus
TX50_RS00045,-0.5901946,0.13658337,-0.5038552,0.08680953,PMM0006,tier1:refseq_locus
TX50_RS00050,-0.4593627,0.04323944,-0.2015033,0.29658948,PMM0007,tier1:refseq_locus
TX50_RS00055,0.78211262,8.99411315866578e-07,0.88282927,8.72830126774553e-17,PMM0008,tier1:refseq_locus
TX50_RS00060,-0.1765132,0.56812472,-0.3624072,0.16466319,PMM0009,tier1:refseq_locus
TX50_RS00065,0.37024665,0.06351122,0.43058095,0.00290429,PMM0010,tier1:refseq_locus
TX50_RS00070,0.66431132,0.00045031,0.84867952,2.10316304149248e-10,PMM0011,tier1:refseq_locus
TX50_RS00075,0.21537281,0.32034566,0.63791677,4.19200689176942e-05,PMM0012,tier1:refseq_locus
TX50_RS00080,0.11517362,0.56490922,0.1366196,0.26751952,PMM0013,tier1:refseq_locus
TX50_RS00085,-1.1083313,1.30710414121105e-12,-1.097863,6.11295795552281e-16,PMM0014,tier1:refseq_locus
TX50_RS00090,0.15264691,0.45854251,0.21650141,0.15928547,PMM0015,tier1:refseq_locus
TX50_RS00095,-0.0770934,0.70228702,0.30808657,0.00613789,PMM0016,tier1:refseq_locus
TX50_RS00100,-1.846225,2.51356870179989e-09,-1.3367572,9.87564345670359e-25,PMM0017,tier1:refseq_locus
TX50_RS00105,-2.4715103,6.23019915532034e-06,-1.4957511,0.00017313,PMM0018,tier1:refseq_locus
TX50_RS00110,-1.6745994,3.60016203887688e-08,-1.5187761,7.81202380892333e-15,PMM0019,tier1:refseq_locus
TX50_RS00115,-0.2155222,0.48544275,-0.0674436,0.80302271,PMM0020,tier1:refseq_locus
TX50_RS00120,-0.2779263,0.27502053,-0.1278352,0.57702384,PMM0021,tier1:refseq_locus
TX50_RS00125,-0.3095493,0.22145506,-0.3465058,0.12292101,PMM0022,tier1:refseq_locus
TX50_RS00130,-0.6614807,0.04112245,-1.0531834,2.54806056494405e-12,PMM0023,tier1:refseq_locus
TX50_RS00135,-0.72767,0.00226106,-1.0623661,1.9134397542997302e-14,PMM0024,tier1:refseq_locus
TX50_RS00140,-0.157953,0.55614104,-0.5421579,4.31304486823098e-05,PMM0025,tier1:refseq_locus
TX50_RS00145,0.55683594,0.03337861,0.36322057,0.00291613,PMM0026,tier1:refseq_locus
TX50_RS00150,0.49536969,0.0077691,0.44692515,0.00020374,PMM0027,tier1:refseq_locus
TX50_RS00155,-0.4581813,0.10710176,-0.6785041,3.5706283514414e-05,PMM0028,tier1:refseq_locus
TX50_RS00160,0.08638849,0.76423867,-0.2980478,0.1212443,PMM0029,tier1:refseq_locus
TX50_RS00165,3.39019662,1.94083096754424e-17,4.53636626,3.40571685314808e-130,PMM0030,tier1:refseq_locus
TX50_RS00170,0.46428576,0.25004765,1.44049508,1.37902522030065e-19,PMM0031,tier1:refseq_locus
TX50_RS00175,1.21036549,1.9378103451816e-05,2.07997153,4.60499442241823e-40,PMM0032,tier1:refseq_locus
TX50_RS00180,0.15931122,0.4726111,-0.0140626,0.93705544,PMM0033,tier1:refseq_locus
TX50_RS00185,1.75272457,4.26311747403525e-22,1.87160815,6.57455819016941e-36,PMM0034,tier1:refseq_locus
TX50_RS00190,0.49531121,0.05889191,0.55539053,2.24307443640779e-05,PMM0035,tier1:refseq_locus
TX50_RS00195,0.04509182,0.8532792,0.13623297,0.50899138,PMM0036,tier1:refseq_locus
TX50_RS00200,0.39928184,0.10815336,0.82713389,3.2991850125248104e-09,PMM0037,tier1:refseq_locus
TX50_RS00205,-0.0215023,0.9550979,0.30475036,0.31315709,PMM0038,tier1:refseq_locus
TX50_RS00210,0.23403608,0.48313853,1.14236145,7.10489028094542e-11,PMM0039,tier1:refseq_locus
TX50_RS00215,-0.941856,4.55548668161209e-07,-1.2004563,1.4488613105586499e-11,PMM0040,tier1:refseq_locus
TX50_RS00220,-1.5905751,6.48328865321099e-18,-1.7583913,3.71718273226041e-24,PMM0041,tier1:refseq_locus
