gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1
ACZ81_RS00005,-0.4118184072679016,4661.89608143276,0.1970959681284729,0.3494391742047182,RNA,C5vsC1_rna
ACZ81_RS00010,-0.4259920134224555,2059.3914137885563,0.1010897201816221,0.2134517853546329,RNA,C5vsC1_rna
ACZ81_RS00015,-0.2192339955349637,557.1271017274662,0.5107657915638157,0.671426066760822,RNA,C5vsC1_rna
ACZ81_RS00020,-0.6072164003943787,3109.651933699262,0.0740424896805293,0.1684960116836548,RNA,C5vsC1_rna
ACZ81_RS00025,-0.1105624528608634,160.5452115198893,0.68157508992213,0.8047319778597957,RNA,C5vsC1_rna
ACZ81_RS00030,0.2981273411373941,2892.2392833721387,0.5007466259447719,0.6630348063664769,RNA,C5vsC1_rna
ACZ81_RS00035,0.9853398101548996,1662.4070368377895,0.00030787058523356334,0.002393753465033,RNA,C5vsC1_rna
ACZ81_RS00040,-0.2461363807359709,258.53012275560167,0.33634362217456,0.5027547818966778,RNA,C5vsC1_rna
ACZ81_RS00045,-0.877325829301909,892.2474602287139,0.0082744577246026,0.0327276904479622,RNA,C5vsC1_rna
ACZ81_RS00050,-0.3492464964467094,964.303048675474,0.2792277260955214,0.441133070869744,RNA,C5vsC1_rna
ACZ81_RS00055,0.7040789279826619,424.2322444295289,0.0610166789884073,0.1463233210409384,RNA,C5vsC1_rna
ACZ81_RS00060,-0.2674354056546468,3386.553316232701,0.2453509194409882,0.4040070344500575,RNA,C5vsC1_rna
ACZ81_RS00065,-0.7231739568788504,984.317160815007,0.0006277631696927224,0.0042760370743755,RNA,C5vsC1_rna
ACZ81_RS00070,1.0057988534333595,1441.6967365650412,0.0185532639018191,0.0601257631454752,RNA,C5vsC1_rna
ACZ81_RS00075,0.0399597319761237,696.7404360344724,0.82594727965272,0.8979795472244719,RNA,C5vsC1_rna
ACZ81_RS00080,0.0722085761857167,466.4416786304536,0.772857014569198,0.8653927832686638,RNA,C5vsC1_rna
ACZ81_RS00085,0.6519068641132862,462.5721350081219,0.0081256396263804,0.0323301026430426,RNA,C5vsC1_rna
ACZ81_RS00090,0.6030764375808183,531.7858593561232,0.1279964666419329,0.2557379602427465,RNA,C5vsC1_rna
ACZ81_RS00095,-0.0979026273401179,1291.6300194768455,0.7420267525493468,0.8459023692933637,RNA,C5vsC1_rna
ACZ81_RS00100,-0.3551446997156561,5101.493465766092,0.2977371519491302,0.4599620537619987,RNA,C5vsC1_rna
ACZ81_RS00105,-0.9201552355324016,1556.081876129771,0.0237669349534093,0.0724016272081081,RNA,C5vsC1_rna
ACZ81_RS00110,-1.4559761879613402,613.575593861557,3.400176843030547e-05,0.0003875428833590499,RNA,C5vsC1_rna
ACZ81_RS00115,-0.3579690047808548,3014.3512628209605,0.1416838260829663,0.2776919932803424,RNA,C5vsC1_rna
ACZ81_RS00120,0.0469866704601727,255.4590279754597,0.8809055567258286,0.9328192214884752,RNA,C5vsC1_rna
ACZ81_RS00125,0.1617744643457887,196.9206399808533,0.6063608622423572,0.7491485712617889,RNA,C5vsC1_rna
ACZ81_RS00130,0.1143083626373381,158.70564873644452,0.7273039082001616,0.8361540261507966,RNA,C5vsC1_rna
ACZ81_RS00135,-3.049579110376451,287.94847033631896,0.0090941642056764,0.0349815789004544,RNA,C5vsC1_rna
ACZ81_RS00140,-0.3468263886049116,87.95332994412374,0.2125642738302179,0.3670473787322572,RNA,C5vsC1_rna
ACZ81_RS00145,0.627494111345738,214.7079769439887,0.0327855324863078,0.0911542316944333,RNA,C5vsC1_rna
ACZ81_RS00150,0.2352051558602279,475.3645439551685,0.2378960714800241,0.396526397498071,RNA,C5vsC1_rna
ACZ81_RS00155,-0.6849619574820648,388.5406480708241,0.0061392322503174,0.026036574829042,RNA,C5vsC1_rna
ACZ81_RS00180,-1.9878190268996527,83.06394679967222,0.0022029344361694,0.011613569365266,RNA,C5vsC1_rna
ACZ81_RS00185,0.1887529198823216,146.32040671107194,0.5336621031471098,0.6901522398272979,RNA,C5vsC1_rna
ACZ81_RS00190,-0.9583725563696212,152.9795615675542,0.0055765170512141,0.0242920590765161,RNA,C5vsC1_rna
ACZ81_RS00195,-1.1455226313249438,125.44152045513596,9.472071521954751e-05,0.0009246216775202548,RNA,C5vsC1_rna
ACZ81_RS00200,-1.854666365249017,153.6092224492428,1.0831889988356954e-06,2.130271697710201e-05,RNA,C5vsC1_rna
ACZ81_RS00205,-1.538528217602451,258.04984908791573,0.0002814423299541669,0.0022346108999194,RNA,C5vsC1_rna
ACZ81_RS00210,0.3190389800706584,131.17694763852066,0.2953126777415468,0.4579800785075708,RNA,C5vsC1_rna
ACZ81_RS00215,-0.0813538587599294,562.7279291514704,0.7781879112818836,0.8696271161751099,RNA,C5vsC1_rna
ACZ81_RS00220,-0.6958508702159262,69.56860381538597,0.0455061746715715,0.1174088570947555,RNA,C5vsC1_rna
ACZ81_RS00225,0.2814885452249271,1219.9736127505785,0.3767497509224262,0.5446831523778694,RNA,C5vsC1_rna
ACZ81_RS00230,-0.0051407248694166,656.8374852753045,0.9859311852165582,0.995582423152594,RNA,C5vsC1_rna
ACZ81_RS00235,0.2852118159903203,1076.058944981807,0.178917174837821,0.3262996970540337,RNA,C5vsC1_rna
ACZ81_RS00240,-0.4727026355785964,120.08726277533192,0.0678570962098357,0.1570932890905141,RNA,C5vsC1_rna
ACZ81_RS00245,-0.1806008858405191,13866.363026558374,0.6379790418100557,0.7712718367026337,RNA,C5vsC1_rna
