gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1
ACZ81_RS00005,-0.6290914832977098,4661.89608143276,0.0275843766687143,0.0737422336276963,RNA,LATEvsC1_rna
ACZ81_RS00010,-0.5928080882110203,2059.3914137885563,0.0102968331736973,0.0335966647896878,RNA,LATEvsC1_rna
ACZ81_RS00015,-0.148956803614653,557.1271017274662,0.599680221206488,0.7206725754101725,RNA,LATEvsC1_rna
ACZ81_RS00020,-0.8913660963273706,3109.651933699262,0.0044036991901524,0.0169145917169649,RNA,LATEvsC1_rna
ACZ81_RS00025,0.0422504555884223,160.5452115198893,0.8594361182515774,0.9119711125135816,RNA,LATEvsC1_rna
ACZ81_RS00030,0.0037173538041099,2892.2392833721387,0.9924970306238122,0.9947295908026712,RNA,LATEvsC1_rna
ACZ81_RS00035,0.8798173776553672,1662.4070368377895,0.00018507335170424844,0.0011874306245344,RNA,LATEvsC1_rna
ACZ81_RS00040,-0.1774063796878799,258.53012275560167,0.4191332708029587,0.560181275862898,RNA,LATEvsC1_rna
ACZ81_RS00045,-0.8706873512048335,892.2474602287139,0.0019621021611786,0.0085286773691487,RNA,LATEvsC1_rna
ACZ81_RS00050,-0.1681871545374313,964.303048675474,0.5501537132157418,0.6790139704509464,RNA,LATEvsC1_rna
ACZ81_RS00055,0.845555510097543,424.2322444295289,0.0091185014747563,0.0306325318295511,RNA,LATEvsC1_rna
ACZ81_RS00060,-0.1764952216245114,3386.553316232701,0.3714207632644306,0.5162555496327095,RNA,LATEvsC1_rna
ACZ81_RS00065,-0.7227961455832672,984.317160815007,4.96965048738596e-05,0.000387710086661823,RNA,LATEvsC1_rna
ACZ81_RS00070,0.8866381983942073,1441.6967365650412,0.0153660331056808,0.0461211023606139,RNA,LATEvsC1_rna
ACZ81_RS00075,-0.1532066173192316,696.7404360344724,0.3904364341315041,0.5332205037811021,RNA,LATEvsC1_rna
ACZ81_RS00080,0.0817205221737884,466.4416786304536,0.7003093088234663,0.7954345552901355,RNA,LATEvsC1_rna
ACZ81_RS00085,0.5741404996166967,462.5721350081219,0.0068669796438364,0.0243902465649108,RNA,LATEvsC1_rna
ACZ81_RS00090,0.4916618668444658,531.7858593561232,0.1478977112398402,0.2654099353246756,RNA,LATEvsC1_rna
ACZ81_RS00095,-0.3300136801104527,1291.6300194768455,0.223620374813754,0.360997464977115,RNA,LATEvsC1_rna
ACZ81_RS00100,-0.0126688181371888,5101.493465766092,0.9676535233488028,0.9789073794480264,RNA,LATEvsC1_rna
ACZ81_RS00105,-1.068763185889625,1556.081876129771,0.0022954062197592,0.0097506132852062,RNA,LATEvsC1_rna
ACZ81_RS00110,-1.271461304973951,613.575593861557,2.9998427877663757e-05,0.0002554006280030396,RNA,LATEvsC1_rna
ACZ81_RS00115,-0.5982411901449942,3014.3512628209605,0.0100701837443381,0.0329913699467286,RNA,LATEvsC1_rna
ACZ81_RS00120,-0.3152010995466542,255.4590279754597,0.3188736768144612,0.4653142081608404,RNA,LATEvsC1_rna
ACZ81_RS00125,0.2304278372739202,196.9206399808533,0.392687814611086,0.5348770844396926,RNA,LATEvsC1_rna
ACZ81_RS00130,-0.0154413758587709,158.70564873644452,0.9569051502257016,0.9726716482649084,RNA,LATEvsC1_rna
ACZ81_RS00135,-2.611723532280936,287.94847033631896,0.0087029502352285,0.0295394417815614,RNA,LATEvsC1_rna
ACZ81_RS00140,-0.2592469951505147,87.95332994412374,0.2860193130264684,0.4298001723222791,RNA,LATEvsC1_rna
ACZ81_RS00145,0.7921790508825196,214.7079769439887,0.0023935683030669,0.010077688860678,RNA,LATEvsC1_rna
ACZ81_RS00150,0.2124656993051124,475.3645439551685,0.210915089252562,0.3458785000101235,RNA,LATEvsC1_rna
ACZ81_RS00155,-0.6811705647366952,388.5406480708241,0.00126595007078,0.0060147627770474,RNA,LATEvsC1_rna
ACZ81_RS00180,-1.8331094877532912,83.06394679967222,0.0009341309006446494,0.0046823311394813,RNA,LATEvsC1_rna
ACZ81_RS00185,0.4415393718894253,146.32040671107194,0.1121824824590404,0.2148289181760994,RNA,LATEvsC1_rna
ACZ81_RS00190,-0.5798593403430506,152.9795615675542,0.0707844063242449,0.1505293744960663,RNA,LATEvsC1_rna
ACZ81_RS00195,-1.2656041235072566,125.44152045513596,7.211907332101329e-07,1.036550121925675e-05,RNA,LATEvsC1_rna
ACZ81_RS00200,-2.011758794716813,153.6092224492428,1.018319147209635e-09,2.8756759016272085e-08,RNA,LATEvsC1_rna
ACZ81_RS00205,-1.7984876326941028,258.04984908791573,1.7298045164990843e-06,2.213512193131872e-05,RNA,LATEvsC1_rna
ACZ81_RS00210,0.3413509316250203,131.17694763852066,0.1933304342307217,0.3241032781209006,RNA,LATEvsC1_rna
ACZ81_RS00215,-0.1838538725200444,562.7279291514704,0.4591803192381506,0.5974409734409423,RNA,LATEvsC1_rna
ACZ81_RS00220,-0.4271101774702636,69.56860381538597,0.1705910375989606,0.2939247688817953,RNA,LATEvsC1_rna
ACZ81_RS00225,0.1343828115461318,1219.9736127505785,0.6269746283981915,0.743559910932401,RNA,LATEvsC1_rna
ACZ81_RS00230,0.2335661394600404,656.8374852753045,0.3733306677623961,0.5174752774722462,RNA,LATEvsC1_rna
ACZ81_RS00235,0.3741801036102863,1076.058944981807,0.040858255427179,0.0991177279267925,RNA,LATEvsC1_rna
ACZ81_RS00240,-0.2865382669332152,120.08726277533192,0.2185542964331593,0.3549626280668161,RNA,LATEvsC1_rna
ACZ81_RS00245,0.0573647302290961,13866.363026558374,0.8643757392945824,0.9147919542283652,RNA,LATEvsC1_rna
ACZ81_RS00250,-0.2414796639745524,251.94275716051257,0.5110826490913891,0.6438710093799781,RNA,LATEvsC1_rna
ACZ81_RS00255,-0.0246957625890975,112.06646700724454,0.949020314013304,0.9685543149113314,RNA,LATEvsC1_rna
ACZ81_RS00260,-0.1711149243145874,377.1285487408503,0.475326965770311,0.6120941338275361,RNA,LATEvsC1_rna
