gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,resolved_locus_tag,resolution_method
TX50_RS00020,1.8849947989718807,1911.213421411726,7.554075219207428e-09,4.017986560561192e-08,RNA,P2vsP1_rna,PMM0001,tier1:gene_id
TX50_RS00025,0.1963956554694936,129.7267810834447,0.5276860352183952,0.5896745264888417,RNA,P2vsP1_rna,PMM0002,tier1:gene_id
TX50_RS00030,2.7038043795276163,1008.790198462983,2.8350220199686187e-16,4.685380141930281e-15,RNA,P2vsP1_rna,PMM0003,tier1:gene_id
TX50_RS00035,1.2924484748220677,436.5257304907816,2.061928581190636e-08,1.0287411870037377e-07,RNA,P2vsP1_rna,PMM0004,tier1:gene_id
TX50_RS00040,1.0045231446080316,836.8079504884151,0.0002107306275549,0.0005410019301028,RNA,P2vsP1_rna,PMM0005,tier1:gene_id
TX50_RS00045,1.9940514247381709,162.04778179795971,1.552081245532176e-06,5.700203145793765e-06,RNA,P2vsP1_rna,PMM0006,tier1:gene_id
TX50_RS00050,2.5476373472650264,364.4287619302709,9.350966499031822e-12,8.050529762654839e-11,RNA,P2vsP1_rna,PMM0007,tier1:gene_id
TX50_RS00055,0.4011754970565541,1881.381554903057,0.2422392167717478,0.3069026627272452,RNA,P2vsP1_rna,PMM0008,tier1:gene_id
TX50_RS00060,-0.4751842690796234,163.35588032998203,0.193553717411363,0.2523013598087555,RNA,P2vsP1_rna,PMM0009,tier1:gene_id
TX50_RS00065,-1.192485826033561,217.24777771246605,3.761193348311317e-06,1.2658125250407722e-05,RNA,P2vsP1_rna,PMM0010,tier1:gene_id
TX50_RS00070,-0.7792375791568393,117.64445387691146,0.0039865309600156,0.0077656906822254,RNA,P2vsP1_rna,PMM0011,tier1:gene_id
TX50_RS00075,0.1813849412436291,321.69076290321453,0.5646050655455808,0.6269250007947631,RNA,P2vsP1_rna,PMM0012,tier1:gene_id
TX50_RS00080,-0.1123140783770628,3731.197555154917,0.6205631002621665,0.6803624820833714,RNA,P2vsP1_rna,PMM0013,tier1:gene_id
TX50_RS00085,1.730205036337025,152.214865749413,1.747582866734368e-05,5.285581513603456e-05,RNA,P2vsP1_rna,PMM0014,tier1:gene_id
TX50_RS00090,0.5371327989676754,484.4131595931976,0.0430839919257069,0.0674690939547237,RNA,P2vsP1_rna,PMM0015,tier1:gene_id
TX50_RS00095,-0.7212797808162347,2005.5983256409688,0.0176691245882381,0.0305945272337033,RNA,P2vsP1_rna,PMM0016,tier1:gene_id
TX50_RS00100,0.1895641757247894,797.2286011515466,0.4432476330414979,0.5131027947215839,RNA,P2vsP1_rna,PMM0017,tier1:gene_id
TX50_RS00105,0.1081060941387647,122.61403320410712,0.6827231033007958,0.7334419409226772,RNA,P2vsP1_rna,PMM0018,tier1:gene_id
TX50_RS00110,1.540562408058684,118.48371371296324,0.0014517005531702,0.0031391328550446,RNA,P2vsP1_rna,PMM0019,tier1:gene_id
TX50_RS00115,-0.5569219944000352,1285.6215432364038,0.0185847148259778,0.0319931637436097,RNA,P2vsP1_rna,PMM0020,tier1:gene_id
TX50_RS00120,-0.3722150016516976,42.339481703011565,0.4081805338414064,0.4803192423016167,RNA,P2vsP1_rna,PMM0021,tier1:gene_id
TX50_RS00125,-0.1127515499426307,155.75629339921082,0.7124025984917945,0.7604712859332824,RNA,P2vsP1_rna,PMM0022,tier1:gene_id
TX50_RS00130,-3.365317330583447,4439.613777640853,1.2641482973171988e-14,1.570428522371903e-13,RNA,P2vsP1_rna,PMM0023,tier1:gene_id
TX50_RS00135,0.3558251581007752,234.4198601386992,0.0897348654276913,0.1300883009782572,RNA,P2vsP1_rna,PMM0024,tier1:gene_id
TX50_RS00140,-1.7651749676049509,1824.020450747372,6.488328166410162e-06,2.085051290976599e-05,RNA,P2vsP1_rna,PMM0025,tier1:gene_id
TX50_RS00145,-1.9603328064576448,820.0887505729042,7.952538779040604e-11,5.772607560785944e-10,RNA,P2vsP1_rna,PMM0026,tier1:gene_id
TX50_RS00150,-1.2045474886883838,996.0900424406376,8.62940943197924e-11,6.215189439141468e-10,RNA,P2vsP1_rna,PMM0027,tier1:gene_id
TX50_RS00155,1.466006732122163,150.45836038586063,8.6058463043972e-09,4.512583997008276e-08,RNA,P2vsP1_rna,PMM0028,tier1:gene_id
TX50_RS00160,-0.5278238377085884,186.39220490896807,0.109730782469749,0.1551655296802944,RNA,P2vsP1_rna,PMM0029,tier1:gene_id
TX50_RS00165,5.21558509421573,286.6472569467633,7.041020096677175e-07,2.743774357673569e-06,RNA,P2vsP1_rna,PMM0030,tier1:gene_id
TX50_RS00170,-0.8693928570174289,274.3746596381312,0.0002165872213616,0.0005537333518513,RNA,P2vsP1_rna,PMM0031,tier1:gene_id
TX50_RS00175,1.818901306500437,126.50652751904808,3.500508486158188e-05,0.0001014935479324,RNA,P2vsP1_rna,PMM0032,tier1:gene_id
TX50_RS00180,2.3107579562838074,476.5836844367778,4.375917622351024e-07,1.768520418989464e-06,RNA,P2vsP1_rna,PMM0033,tier1:gene_id
TX50_RS00185,-1.0850210586870968,1087.254410304833,0.0001433790725639,0.0003807670922752,RNA,P2vsP1_rna,PMM0034,tier1:gene_id
TX50_RS00190,1.031526491079953,1366.6149771174128,0.0034051124229947,0.0067338280929095,RNA,P2vsP1_rna,PMM0035,tier1:gene_id
TX50_RS00195,0.5688826696217726,165.9775424972949,0.0897475744728441,0.1300883009782572,RNA,P2vsP1_rna,PMM0036,tier1:gene_id
TX50_RS00200,1.2278712475983176,760.4466399012803,3.0814474622330946e-05,9.024935526255472e-05,RNA,P2vsP1_rna,PMM0037,tier1:gene_id
TX50_RS00205,0.8698305676893668,72.88905629892997,0.0024472728414944,0.0050094698269613,RNA,P2vsP1_rna,PMM0038,tier1:gene_id
TX50_RS00210,0.3152495123997398,299.6021107577577,0.3909382878097058,0.4659541344080911,RNA,P2vsP1_rna,PMM0039,tier1:gene_id
TX50_RS00215,0.5006010049027089,172.53618513371424,0.0658994576665174,0.0988491864997762,RNA,P2vsP1_rna,PMM0040,tier1:gene_id
TX50_RS00220,-2.3655112389801003,223.2278772446376,1.5263366125837865e-06,5.627986195005157e-06,RNA,P2vsP1_rna,PMM0041,tier1:gene_id
TX50_RS00225,-0.3577345794265872,345.71979205146306,0.1887116243300528,0.2473832979000905,RNA,P2vsP1_rna,PMM0042,tier1:gene_id
TX50_RS00230,-0.4640890682671262,1509.4428467801056,0.0927417603101839,0.1341132799485551,RNA,P2vsP1_rna,PMM0043,tier1:gene_id
TX50_RS00235,-1.180760564607669,869.845608418173,1.5450744262050405e-07,6.620214728947986e-07,RNA,P2vsP1_rna,PMM0044,tier1:gene_id
TX50_RS00240,2.3240624757888977,296.96836552933166,4.4806644351649367e-10,3.0158944979964724e-09,RNA,P2vsP1_rna,PMM0045,tier1:gene_id
TX50_RS00245,-4.317425230800892,317.90652351652795,4.122249051876121e-23,2.1800808557207708e-21,RNA,P2vsP1_rna,PMM0046,tier1:gene_id
TX50_RS00250,0.8102821392956102,248.02044000703688,0.0035590676354754,0.0070307728850213,RNA,P2vsP1_rna,PMM0047,tier1:gene_id
TX50_RS00255,-0.3833303827494225,879.1178313774976,0.0211005269619662,0.0357993358447291,RNA,P2vsP1_rna,PMM0048,tier1:gene_id
TX50_RS00260,-0.2083687800459439,34.75861689718212,0.7210586151128211,0.7679398714463934,RNA,P2vsP1_rna,PMM0049,tier1:gene_id
