species,symbol,product,logFC,PValue
EZ55,EZ55_00798,spondin N,-2.563426942,5.83E-06
EZ55,EZ55_01828,uncharacterized protein DUF547,-2.440135941,4.44E-06
EZ55,EZ55_01827,pyruvate/2-oxoglutarate dehydrogenase complex,-2.298028576,1.83E-05
EZ55,EZ55_01829,putative thiamine transport system,-2.275973432,6.33E-06
EZ55,EZ55_00872,Ohr subfamily peroxiredoxin,-2.220061041,4.66E-05
EZ55,EZ55_02905,hypothetical protein,-2.094830811,0.000218263
EZ55,EZ55_03098,4-azaleucine resistance transporter AzlC,-2.08383455,2.59E-08
EZ55,EZ55_00797,spondin N,-2.031628085,4.21E-06
EZ55,EZ55_03398,hypothetical protein,-2.008981054,4.81E-10
EZ55,EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,-1.989588489,1.05E-09
EZ55,EZ55_04249,"benzoate/toluate 1, 2-dioxygenase beta subunit",-1.968027896,5.77E-07
EZ55,EZ55_04248,"benzoate 1, 2-dioxygenase alpha subunit",-1.944198965,2.35E-07
EZ55,EZ55_01060,flagellin,-1.924571588,1.15E-09
EZ55,EZ55_04247,integrase-like protein,-1.921042722,3.42E-06
EZ55,EZ55_00161,uncharacterized protein DUF3300,-1.875143418,4.19E-05
EZ55,EZ55_04246,hypothetical protein,-1.827140457,2.22E-06
EZ55,EZ55_04098,TonB-dependent receptor,-1.823151756,9.15E-05
EZ55,EZ55_03446,hypothetical protein,-1.811766476,3.68E-06
EZ55,EZ55_04251,"1, 2-dihydroxycyclohexa-3, 5-diene-1-carboxylate dehydrogenase",-1.805827238,5.84E-06
EZ55,EZ55_03399,phage shock protein C (PspC) family protein,-1.776083393,5.12E-08
EZ55,EZ55_01825,hypothetical protein,-1.771362591,1.46E-06
EZ55,EZ55_04240,hypothetical protein,-1.670375546,7.01E-12
EZ55,EZ55_03447,uncharacterized membrane protein YiaA,-1.656727236,0.001026657
EZ55,EZ55_03097,branched-subunit amino acid transport protein,-1.646686262,0.00045065
EZ55,EZ55_02876,betaine aldehyde dehydrogenase,-1.64259073,0.000207623
EZ55,EZ55_02632,hypothetical protein,-1.603439743,0.000262984
EZ55,EZ55_01932,glutamate-5-semialdehyde dehydrogenase,-1.59513544,3.20E-05
EZ55,EZ55_04099,beta-glucosidase,-1.569112487,5.07E-06
EZ55,EZ55_04250,"benzoate/toluate 1, 2-dioxygenase reductase subunit",-1.568636956,1.19E-06
