species,symbol,product,logFC,PValue,locus_tag
WH8102,SYNW1382,conserved hypothetical protein_SYNW1382,-1.815093538,7.86e-08,SYNW1382
WH8102,RNA_15,tRNA-Met,-1.534889687,3.52e-05,
WH8102,hypB,hydrogenase expression/formation protein HypB,1.468628463,3.71e-05,SYNW1414
WH8102,SYNW1416,"ABC transporter, nitrate-like",1.006280485,9.77e-05,SYNW1416
WH8102,SYNW2102,hypothetical protein_SYNW2102,-1.210253281,0.000798292,SYNW2102
WH8102,SYNW2488,conserved hypothetical protein_SYNW2488,-1.143910389,0.000942772,SYNW2488
WH8102,hypA2,putative hydrogenase expression/formation protein HypA2,1.211592174,0.006938878,
WH8102,SYNW1412,putative agmatine ureohydrolase,1.030688236,0.010328469,SYNW1412
WH8102,"csoS1, ccmk1",carboxysome shell protein CsoS1,1.275788501,0.014184149,
WH8102,"rbcL, cbbL","ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",1.18055396,0.019368937,SYNW1718
WH8102,"rbcS, cbbS","ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit",1.028342576,0.031368589,SYNW1717
WH8102,urtA1,"putative urea ABC transporter, urea binding protein",1.249666215,0.042737817,
WH8102,SYNW2100,hypothetical protein_SYNW2100,-1.003079147,0.049422849,SYNW2100
