NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
TonB-dependent_receptor,WP_014999639.1,P,Inorganic_ion_transport_and_metabolism,7.1%,2.5%,7.1,2.5,1.5058909297299572
elongation_factor_Tu_(tuf),WP_014999673.1,J,"Translation,_ribosomal_structure_and_biogenesis",4.9%,2.8%,4.9,2.8,0.8073549220576043
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014978639.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",3.1%,1.3%,3.1,1.3,1.253756592245783
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.9%,0.7%,2.9,0.7,2.050626073069968
isocitrate_lyase,WP_014999082.1,C,Energy_production_and_conversion,2.0%,2.4%,2.0,2.4,-0.2630344058337938
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,1.8%,1.2%,1.8,1.2,0.5849625007211562
DUF3192_domain-containing_protein,WP_014997556.1,Unk,Unk,1.6%,0.9%,1.6,0.9,0.8300749985576877
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014998325.1,C,Energy_production_and_conversion,1.6%,0.9%,1.6,0.9,0.8300749985576877
F0F1_ATP_synthase_subunit_beta_(atpD),WP_015000144.1,C,Energy_production_and_conversion,1.5%,1.6%,1.5,1.6,-0.09310940439148147
OmpA_family_protein,WP_014999868.1,M,Cell_wall/membrane/envelope_biogenesis,1.5%,0.8%,1.5,0.8,0.9068905956085185
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.4%,2.5%,1.4,2.5,-0.8365012677171207
DUF839_domain-containing_protein,WP_014998732.1,R,General_function_prediction_only,1.3%,,1.3,,
elongation_factor_G,WP_014997984.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,0.7%,1.1,0.7,0.6520766965796934
TonB-dependent_receptor_plug_domain-containing_protein,WP_014997332.1,P!!!P,Inorganic_ion_transport_and_metabolism!!!Inorganic_ion_transport_and_metabolism,1.1%,0.5%,1.1,0.5,1.1375035237499351
citrate_synthase,WP_014998320.1,C,Energy_production_and_conversion,1.0%,1.2%,1.0,1.2,-0.2630344058337938
30S_ribosomal_protein_S9_(rpsI),WP_014948330.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.0%,0.3%,1.0,0.3,1.7369655941662063
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,,0.9,,
