NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
TonB-dependent_receptor,WP_049587684.1,P,Inorganic_ion_transport_and_metabolism,13.3%,0.7%,13.3,0.7,4.247927513443586,MIT1002_01157,tier1:NCBI_PGAP_accession
elongation_factor_Tu_(tuf),WP_014977498.1,J,"Translation,_ribosomal_structure_and_biogenesis",6.9%,4.8%,6.9,4.8,0.5235619560570131,MIT1002_03533,tier1:NCBI_PGAP_accession
carboxypeptidase_regulatory-like_domain-containing_protein,WP_049586961.1,P,Inorganic_ion_transport_and_metabolism,5.7%,0.6%,5.7,0.6,3.2479275134435857,MIT1002_03495,tier1:NCBI_PGAP_accession
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.1%,0.5%,2.1,0.5,2.070389327891398,MIT1002_01163,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.9%,1.9%,1.9,1.9,0.0,MIT1002_03599,tier1:NCBI_PGAP_accession
MotA/TolQ/ExbB_proton_channel_family_protein,WP_049587691.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.8%,0.4%,1.8,0.4,2.169925001442312,MIT1002_01164,tier1:NCBI_PGAP_accession
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,1.7%,1.2%,1.7,1.2,0.5025003405291834,MIT1002_03802,tier1:NCBI_PGAP_accession
esterase-like_activity_of_phytase_family_protein,WP_049588550.1,S,Function_unknown,1.6%,,1.6,,,MIT1002_00601,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_beta_(atpD),WP_014951449.1,C,Energy_production_and_conversion,1.5%,0.8%,1.5,0.8,0.9068905956085184,MIT1002_04113,tier1:NCBI_PGAP_accession
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,1.4%,0.8%,1.4,0.8,0.807354922057604,MIT1002_01950,tier1:NCBI_PGAP_accession
elongation_factor_G,WP_049588862.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,1.0%,1.1,1.0,0.137503523749935,MIT1002_01524,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,1.4%,1.1,1.4,-0.3479233034203067,MIT1002_00390,tier1:NCBI_PGAP_accession
glutamate--ammonia_ligase,WP_014980177.1,E,Amino_acid_transport_and_metabolism,0.9%,0.9%,0.9,0.9,0.0,MIT1002_03183,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,0.9%,0.6%,0.9,0.6,0.5849625007211562,MIT1002_04115,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.8%,1.0%,0.8,1.0,-0.3219280948873623,MIT1002_01004,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_iron-sulfur_subunit_(sdhB),WP_012518362.1,C,Energy_production_and_conversion,0.8%,0.6%,0.8,0.6,0.415037499278844,MIT1002_01947,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.8%,0.7,0.8,-0.192645077942396,MIT1002_03735,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,1.9%,0.7,1.9,-1.4405725913859817,MIT1002_03586,tier1:NCBI_PGAP_accession
pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase_(aceF),WP_049586087.1,C,Energy_production_and_conversion,0.7%,,0.7,,,MIT1002_03002,tier1:NCBI_PGAP_accession
outer_membrane_channel_protein_TolC_(tolC),WP_049587315.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,,0.7,,,MIT1002_00670,tier1:NCBI_PGAP_accession
prepilin-type_N-terminal_cleavage/methylation_domain-containing_protein,WP_049586079.1,N!!!W,Cell_motility!!!Extracellular_structures,0.6%,,0.6,,,,unresolved
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,0.6%,,0.6,,,MIT1002_03492,tier1:NCBI_PGAP_accession
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,0.6%,0.4%,0.6,0.4,0.584962500721156,MIT1002_01951,tier1:NCBI_PGAP_accession
dihydrolipoyl_dehydrogenase_(lpdA),WP_049586089.1,C,Energy_production_and_conversion,0.6%,0.7%,0.6,0.7,-0.2223924213364478,MIT1002_03001,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.9%,0.5,0.9,-0.84799690655495,MIT1002_03588,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S17_(rpsQ),WP_014975444.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,1.4%,0.5,1.4,-1.4854268271702418,MIT1002_00393,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,1.3%,0.5,1.3,-1.37851162325373,MIT1002_00385,tier1:NCBI_PGAP_accession
chaperonin_GroEL_(groL),WP_014980670.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,,MIT1002_03935,tier1:NCBI_PGAP_accession
thioredoxin_TrxA_(trxA),WP_012517074.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,,MIT1002_00516,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,,MIT1002_03734,tier1:NCBI_PGAP_accession
aldehyde_dehydrogenase,WP_014950684.1,I,Lipid_transport_and_metabolism,0.5%,,0.5,,,MIT1002_03321,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,1.1%,0.5,1.1,-1.137503523749935,MIT1002_02189,tier1:NCBI_PGAP_accession
phosphopyruvate_hydratase,WP_049585952.1,G,Carbohydrate_transport_and_metabolism,0.5%,,0.5,,,MIT1002_00951,tier1:NCBI_PGAP_accession
2-oxoglutarate_dehydrogenase_complex_dihydrolipoyllysine-residue_succinyltransferase_(odhB),WP_014949449.1,C,Energy_production_and_conversion,0.5%,,0.5,,,MIT1002_01949,tier1:NCBI_PGAP_accession
elongation_factor_Ts_(tsf),WP_049585983.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,,MIT1002_01005,tier1:NCBI_PGAP_accession
"cytochrome-c_oxidase,_cbb3-type_subunit_II_(ccoO)",WP_014979357.1,C,Energy_production_and_conversion,0.4%,,0.4,,,MIT1002_02130,tier1:NCBI_PGAP_accession
Na(+)-translocating_NADH-quinone_reductase_subunit_A,WP_049586994.1,C,Energy_production_and_conversion,0.4%,,0.4,,,MIT1002_03488,tier1:NCBI_PGAP_accession
SapC_family_protein,WP_014950439.1,Unk,Unk,0.4%,,0.4,,,MIT1002_03036,tier1:NCBI_PGAP_accession
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",0.4%,0.4%,0.4,0.4,0.0,MIT1002_02756,tier1:NCBI_PGAP_accession
