Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 2.1,Light 3.1,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness 1.1,Darkness 2.1,Darkness 3.1,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_WH7803,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose,resolved_locus_tag,resolution_method
A0A359K053,2,2,8.670948267,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,4134.922936,9282.922483,1908.79669,5926.617983,4474.152339,0.0,8832.077459,563381.731,125817.8227,7399.990203,21957.14254,757.1290837,6.504509888,1920.559533,935.683449,12473.4699,356836.7551,88286.8526,0.00011,0.00073,3.3e-05,0.00013,9.5e-05,0.0,0.00021,0.01124,0.00354,0.00013,0.00033,2.4e-05,1.1e-07,3e-05,2.8e-05,0.0002,0.00702,0.00264,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,0.00029,7.5e-05,0.005,0.00016,1.9e-05,0.00329,0.26,17.21,0.12,20.29,0.21,0.13,0.12,0.12,,-1.9434164716336324,4.105175192265479,-3.0588936890535687,4.342696959981934,0.21,0.13,0.12,0.12,,empty
A0A2D5LGS0,2,2,13.51267815,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,27174.26614,20028.43393,17552.20165,23229.74559,19308.90978,22061.86362,33354.73753,1617669.524,134375.5458,30460.77595,26520.29371,27708.23812,13959.27789,66088.02891,31038.74873,44894.33606,525028.9743,46136.81003,0.0007,0.00158,0.0003,0.00051,0.00041,0.0003,0.00079,0.03228,0.00378,0.00053,0.0004,0.00086,0.00023,0.00103,0.00092,0.00072,0.01033,0.00138,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,0.00086,0.00041,0.01228,0.0006,0.00072,0.00414,0.47,14.29,1.21,6.91,0.17,0.18,0.35,0.19,,-1.0892673380970874,3.836934011321092,0.2750070474998697,2.788685710613534,0.17,0.18,0.35,0.19,,empty
A0A359K7S7,3,3,14.09560895,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,99769.6833,20157.13588,75442.66849,73664.93043,46576.17622,32946.30467,88833.33197,994423.5892,556920.9976,149351.9152,73771.10391,8221.996974,78283.5656,257644.9474,15317.97587,239258.5605,1470407.737,416777.0275,0.00256,0.00159,0.00129,0.00161,0.00099,0.00044,0.0021,0.01984,0.01565,0.00262,0.00112,0.00026,0.00127,0.004,0.00045,0.00381,0.02894,0.01246,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,0.00181,0.00101,0.01253,0.00133,0.00191,0.01507,0.56,6.91,1.43,11.32,0.01,0.1,0.34,0.11,,-0.8365012677171204,2.788685710613534,0.5160151470036647,3.500802053057157,0.01,0.1,0.34,0.11,,empty
A0A359KA81,2,2,8.688253641,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,68976.98066,25655.40588,6061.993578,40245.31106,22171.60091,6083.273869,42906.09058,518544.3422,398728.8852,28663.36049,11854.15892,3353.709012,45509.58309,18135.33916,6916.834296,38344.03931,849943.274,239066.238,0.00177,0.00202,0.0001,0.00088,0.00047,8.2e-05,0.00101,0.01035,0.01121,0.0005,0.00018,0.0001,0.00074,0.00028,0.0002,0.00061,0.01673,0.00715,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,0.0013,0.00048,0.00752,0.00026,0.00041,0.00816,0.37,5.79,1.56,31.11,0.1,0.11,0.04,0.12,,-1.434402824145775,2.533563348214512,0.6415460290875237,4.9593064897596575,0.1,0.11,0.04,0.12,,empty
A0A359JZP2,3,3,8.917428493,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,20312.29232,6118.766016,19451.57229,32847.92818,15377.04094,17346.03675,64231.97373,138141.624,112785.5525,20558.58591,19852.01607,6210.540963,10510.02512,22618.51705,7034.346484,263762.7596,133386.207,153764.1821,0.00052,0.00048,0.00033,0.00072,0.00033,0.00023,0.00152,0.00276,0.00317,0.00036,0.0003,0.00019,0.00017,0.00035,0.00021,0.0042,0.00263,0.0046,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,0.00045,0.00043,0.00248,0.00028,0.00024,0.00381,0.96,5.57,0.85,13.36,0.44,0.03,0.32,0.01,,-0.0588936890535685,2.4776773275653072,-0.2344652536370229,3.739848102699328,0.44,0.03,0.32,0.01,,empty
A0A2D5LH71,2,2,7.984680414,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,9905.844725,105932.8137,1910.029014,3339.017076,2777.186111,563.8272572,10598.56478,1566668.773,402980.6348,13681.90442,6497.286649,17055.54677,14561.75289,1421.268344,18599.93844,15628.99296,1246510.726,203989.5545,0.00025,0.00836,3.3e-05,7.3e-05,5.9e-05,7.6e-06,0.00025,0.03126,0.01133,0.00024,9.8e-05,0.00053,0.00024,2.2e-05,0.00055,0.00025,0.02453,0.0061,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,0.00288,4.7e-05,0.01428,0.00029,0.00027,0.01029,0.02,4.96,0.93,35.5,0.2,0.11,0.27,0.15,,-5.643856189774724,2.3103401206121505,-0.1046973786666932,5.149747119504682,0.2,0.11,0.27,0.15,,empty
A0A359K0D0,5,5,23.14567566,TonB-dependent receptor OS=Alteromonas sp. OX=232 GN=DEH24_02850 PE=3 SV=1,135425.3436,208634.9321,113669.9958,181965.4381,178040.1458,200758.4928,203910.7221,2396167.642,1762057.038,395253.1433,220193.875,63877.37023,201911.6774,751843.4937,111494.4339,250959.2114,2545384.532,1463532.598,0.00348,0.01646,0.00194,0.00397,0.0038,0.0027,0.00482,0.04782,0.04952,0.00694,0.00333,0.00199,0.00328,0.01168,0.00329,0.004,0.05009,0.04375,TonB-dependent receptor OS=Alteromonas sp. OX=232 GN=DEH24_02850 PE=3 SV=1,0.00729,0.00349,0.03405,0.00409,0.00609,0.03261,0.48,4.67,1.49,7.98,0.24,0.09,0.31,0.11,DEH24_02850,-1.0588936890535685,2.2234225499349374,0.5753123306874368,2.996388746447621,0.24,0.09,0.31,0.11,DEH24_02850,locus_tag:locus_tag_deh24
A0A359KBF7,4,4,15.0740447,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,74980.57539,145921.1266,320094.6614,272668.5653,193192.5893,771200.8207,75759.61815,2964303.458,450368.2555,157570.49,457076.9092,8971.720028,132540.9613,244931.1061,99940.43632,50594.22237,2473970.494,354274.6531,0.00193,0.01151,0.00546,0.00595,0.00412,0.01036,0.00179,0.05915,0.01266,0.00277,0.00692,0.00028,0.00216,0.00381,0.00295,0.00081,0.04869,0.01059,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,0.0063,0.00681,0.02453,0.00332,0.00297,0.02003,1.08,3.9,0.89,6.03,0.45,0.17,0.43,0.16,,0.1110313123887439,1.9634741239748856,-0.1681227588083269,2.5921580021253603,0.45,0.17,0.43,0.16,,empty
A0A359K482,5,5,18.72099018,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,19370.71281,25158.01303,42836.08213,24071.39109,22659.33816,30264.96905,25133.84925,319562.0139,178150.9396,50196.07887,59701.08302,7249.19668,45748.10573,37643.09951,6329.02175,61605.4922,373320.8964,94638.4605,0.0005,0.00198,0.00073,0.00053,0.00048,0.00041,0.00059,0.00638,0.00501,0.00088,0.0009,0.00023,0.00074,0.00059,0.00019,0.00098,0.00735,0.00283,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,0.00107,0.00047,0.00399,0.00067,0.00051,0.00372,0.44,3.73,0.75,5.55,0.16,0.09,0.09,0.12,,-1.1844245711374275,1.899175630480513,-0.4150374992788438,2.472487771462744,0.16,0.09,0.09,0.12,,empty
A0A359JZI0,2,2,5.680493355,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,25841.48233,25776.88992,54747.78132,12782.04959,54091.72438,320.3124618,1658.340227,342305.9159,156121.1562,3756.140246,214.6045222,14759.29741,13741.74721,6688.393516,37413.38607,1022.151526,641686.4448,122758.8655,0.00066,0.00203,0.00093,0.00028,0.00115,4.3e-06,3.9e-05,0.00683,0.00439,6.6e-05,3.2e-06,0.00046,0.00022,0.0001,0.0011,1.6e-05,0.01263,0.00367,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,0.00121,0.00048,0.00375,0.00018,0.00048,0.00544,0.4,3.1,2.71,30.85,0.03,0.13,0.11,0.15,,-1.3219280948873622,1.632268215499513,1.4382928515791469,4.947198584262056,0.03,0.13,0.11,0.15,,empty
