Accession,Peptide count,Unique peptides,Confidence score,Description,Control Light 1,Control Light 2,Control Light 3,Light+100 nM glucose 1,Light+100 nM glucose 2,Light+100 nM glucose 3,Light+5 mM glucose 1,Light+5 mM glucose 2,Light+5 mM glucose 3,Control Dark 1,Control Dark 2,Control Dark 3,Dark + 100 nM glucose 1,Dark + 100 nM glucose 2,Dark + 100 nM glucose 3,Dark + 5 mM glucose 1,Dark + 5 mM glucose 2,Dark + 5 mM glucose 3,Light 1,Light 2,Light 3,Light G nM 1,Light G nM 2,Light G nM 3,Light G mM 1,Light G mM 2,Light G mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness G nM 1,Darkness G nM 2,Darkness G nM 3,Darkness G mM 1,Darkness G mM 2,Darkness G mM 3,Marinobacter_8102,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,t.test G nM/L,FC G nM/L,t.test G mM/L,FC G mM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Marinobacter_8102.1,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D,resolved_locus_tag,resolution_method
E4PNU4,6,6,22.1134088,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisA PE=3 SV=1,88292.43374,137483.146,264602.9403,207384.8058,1248117.014,210987.2647,257149.411,1616477.834,2441084.982,445663.8684,245646.8628,235418.3205,342738.2277,1655964.928,28087.84271,1731667.597,2411229.599,2851816.21,7.46e-05,7.6e-05,0.0002,0.0001225,0.0001853,0.00017809,0.000145655,0.0002566,0.00035043,0.000384347,0.00019,0.00029,0.0001641,0.0002199,0.00095999,0.00068202,0.000355,0.00025028,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisA PE=3 SV=1,0.0001169,0.00016197,0.00025089,0.00021445,0.00044798,0.0004291,0.179,1.39,0.027,2.15,0.303,2.09,0.134,2.0,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisA PE=3 SV=1,0.4750848829487826,1.1043366598147355,1.063502942306158,1.0,HP15_3010,tier1:Description
E4PH20,4,4,28.70289588,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,1041571.701,1571357.318,1472786.255,6940601.042,36446296.07,1500299.257,7530827.549,42066626.15,38643030.44,1247086.089,1270755.032,2386096.428,15363826.03,52589087.64,52583.99624,18582014.31,49547464.6,70096763.18,0.000880416,0.00087,0.00111,0.004101,0.0054103,0.00126637,0.00426563,0.0066775,0.0055474,0.001075504,0.00096,0.00298,0.0073548,0.0069829,0.00179723,0.007318552,0.0072954,0.00615171,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,0.0009534,0.00359253,0.00549685,0.00376432,0.00537828,0.0069219,0.09,3.77,0.012,5.77,0.134,1.43,0.149,1.84,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,1.91456452349394,2.5285713188707577,0.5160151470036647,0.8797057662822882,,unresolved
E4PF61,3,3,26.65208459,2-dehydro-3-deoxy-phosphogluconate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2177 PE=3 SV=1,7014678.907,8790401.351,14754491.32,6649684.267,22401785.9,15785762.81,3976942.606,15517593.06,28611429.34,9667251.956,9291303.224,13839258.4,8932779.859,20013427.2,316040.4968,8212285.755,7462347.557,50395303.45,0.005929343,0.00484,0.01116,0.0039291,0.0033254,0.01332446,0.00225263,0.0024632,0.00410731,0.008337171,0.00701,0.01728,0.0042762,0.0026574,0.01080173,0.00323442,0.0010988,0.0044227,2-dehydro-3-deoxy-phosphogluconate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2177 PE=3 SV=1,0.0073117,0.00685965,0.00294105,0.00952214,0.00591177,0.0029186,0.382,0.94,0.044,0.4,0.011,0.62,0.156,0.31,2-dehydro-3-deoxy-phosphogluconate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2177 PE=3 SV=1,-0.0892673380970874,-1.3219280948873622,-0.6896598793878495,-1.6896598793878497,HP15_2177,locus_tag:Description
E4PIG2,4,4,11.16771579,2-dehydro-3-deoxyphosphooctonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=kdsA PE=3 SV=1,68777.37198,37920.91292,170803.9629,285426.9185,724881.3223,191150.4859,820110.1461,1830675.944,498574.232,71670.63632,128373.4795,258770.0325,678027.4864,1683846.808,778.4708059,639474.327,2720394.173,1551186.361,5.81e-05,2.1e-05,0.00013,0.0001686,0.0001076,0.00016135,0.000464529,0.0002906,7.16e-05,6.18e-05,9.7e-05,0.00032,0.0003246,0.0002236,2.66e-05,0.000251858,0.0004006,0.00013613,2-dehydro-3-deoxyphosphooctonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=kdsA PE=3 SV=1,6.94e-05,0.00014587,0.00027557,0.00024818,0.00019159,0.0002628,0.041,2.1,0.137,3.97,0.435,0.77,0.45,1.06,2-dehydro-3-deoxyphosphooctonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=kdsA PE=3 SV=1,1.070389327891398,1.989139007368233,-0.3770696490798233,0.0840642647884745,HP15_1273,tier1:Description
E4PRB0,6,6,30.94074178,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,408926.9098,387104.4366,195312.768,209201.9048,998393.6965,178882.4644,131414.1715,2671976.975,1835691.271,231810.7193,241468.4141,109175.1737,198752.9689,3280458.806,25630.90834,277845.8999,3161526.565,4844839.927,0.000345656,0.00021,0.00015,0.0001236,0.0001482,0.00015099,7.44e-05,0.0004241,0.00026352,0.000199917,0.00018,0.00014,9.51e-05,0.0004356,0.00087602,0.00010943,0.0004655,0.00042518,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,0.0002356,0.00014094,0.00025403,0.00013787,0.00046892,0.0003334,0.146,0.6,0.456,1.08,0.175,3.4,0.141,2.42,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,-0.7369655941662062,0.1110313123887439,1.765534746362977,1.2750070474998698,HP15_538,tier1:Description
E4PNI4,9,9,38.25060511,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,331869.5141,433932.0751,957825.6296,968216.0918,2564940.605,1265190.104,1860387.042,3245938.46,3225396.52,332144.4865,401909.5201,581264.9357,2026657.297,2857659.717,17033.59642,1829760.73,2135603.947,3855056.472,0.000280521,0.00024,0.00072,0.0005721,0.0003808,0.00106792,0.001053765,0.0005153,0.00046302,0.000286446,0.0003,0.00073,0.0009702,0.0003794,0.00058218,0.000720654,0.0003144,0.00033832,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,0.0004148,0.00067359,0.00067735,0.0006664,0.00064393,0.0004578,0.025,1.62,0.236,1.63,0.247,0.97,0.29,0.69,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,0.6959938131099002,0.7048719644563528,-0.043943347587597,-0.5353317329965558,HP15_538,tier1:Description
E4PQ16,4,4,15.60550308,2-methylisocitrate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=prpB2 PE=3 SV=1,360477.7123,1298059.117,1741478.881,326424.0324,2314325.468,2245505.333,280589.7651,1432384.88,2207509.819,499931.0434,2348605.423,598695.9149,566392.5512,2149652.95,26401.36126,543962.9346,1537228.137,3894187.061,0.000304703,0.00071,0.00132,0.0001929,0.0003435,0.00189539,0.000158932,0.0002274,0.0003169,0.000431147,0.00177,0.00075,0.0002711,0.0002854,0.00090235,0.000214241,0.0002263,0.00034175,2-methylisocitrate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=prpB2 PE=3 SV=1,0.0007791,0.0008106,0.0002344,0.00093008,0.00048631,0.0002608,0.461,1.04,0.08,0.3,0.213,0.52,0.147,0.28,2-methylisocitrate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=prpB2 PE=3 SV=1,0.0565835283663675,-1.7369655941662063,-0.9434164716336324,-1.8365012677171204,HP15_1932,tier1:Description
E4PIR7,10,10,56.67799449,2-oxoglutarate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=serA PE=3 SV=1,1442434.228,1199308.161,1063757.808,2098765.326,13080033.85,987692.9778,1993646.828,12538033.56,14674000.13,1052387.103,791783.253,774218.9915,2813124.916,13852666.74,91854.52107,3643965.516,12408367.05,26796989.69,0.001219256,0.00066,0.0008,0.0012401,0.0019417,0.00083369,0.001129246,0.0019903,0.00210653,0.000907593,0.0006,0.00097,0.0013467,0.0018394,0.00313943,0.001435181,0.001827,0.00235171,2-oxoglutarate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=serA PE=3 SV=1,0.0008949,0.00133848,0.00174201,0.00097023,0.00210849,0.0018713,0.2,1.5,0.106,1.95,0.062,2.17,0.002,1.93,2-oxoglutarate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=serA PE=3 SV=1,0.5849625007211562,0.963474123974886,1.1176950426697545,0.9486008474933556,HP15_2554,tier1:Description
E4PNT9,7,7,29.72561312,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gpmI PE=3 SV=1",302551.7249,519496.07,418583.8424,663071.7483,5241857.353,243059.0991,703020.675,5515604.468,9703572.42,204031.3853,291885.5787,119258.9259,1914639.893,8129430.188,9396.981533,1561934.48,5458545.851,18000326.58,0.00025574,0.00029,0.00032,0.0003918,0.0007781,0.00020516,0.000398207,0.0008755,0.001393,0.000175959,0.00022,0.00015,0.0009165,0.0010794,0.00032117,0.00061517,0.0008037,0.00157971,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gpmI PE=3 SV=1",0.0002862,0.00045836,0.00088891,0.00042854,0.00077239,0.0009995,0.215,1.6,0.077,3.11,0.054,1.8,0.011,2.33,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gpmI PE=3 SV=1",0.6780719051126377,1.6369145803558778,0.8479969065549501,1.2203299548795556,,unresolved
E4PGY8,4,4,14.76783299,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapD PE=3 SV=1",856247.8712,1353376.473,948769.8964,1197557.06,5080612.907,1767764.106,1267241.147,3977781.447,6633136.04,1344083.372,1156942.731,1425855.385,1352211.871,4291541.443,31852.42587,1322255.344,5708252.809,7001213.692,0.000723766,0.00075,0.00072,0.0007076,0.0007542,0.00149214,0.000717794,0.0006314,0.00095222,0.001159156,0.00087,0.00178,0.0006473,0.0005698,0.00108866,0.000520772,0.0008405,0.00061443,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapD PE=3 SV=1",0.000729,0.00098464,0.00076714,0.00110018,0.0007686,0.0006586,0.214,1.35,0.373,1.05,0.023,0.7,0.119,0.6,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapD PE=3 SV=1",0.4329594072761062,0.070389327891398,-0.5145731728297583,-0.7369655941662062,HP15_1160,tier1:Description
