Locus_Tag,Main Role,Subrole,Subsystem,Product,Gene,Locus_Tag,T8A_Low_Light_AX,T8B_Low_Light_AX,T9A_Mid_Light_AX,T9B_Mid_Light_AX,T10A_High_Light_AX,T10B_High_Light_AX,M14A_Low_Light_CC,M14B_Low_Light_CC,M13A_Mid_Light_CC,M13B_Mid_Light_CC,T18A_High_Light_CC,T18B_High_Light_CC,T10A_Low_Oxygen_AX,T10B_Low_Oxygen_AX,T15A_Mid_Oxygen_AX,T15B_Mid_Oxygen_AX,T16A_High_Oxygen_AX,T16B_High_Oxygen_AX,T18A_Low_Oxygen_CC,T18B_Low_Oxygen_CC,T19A_Mid_Oxygen_CC,T19B_Mid_Oxygen_CC,T20A_High_Oxygen_CC,T20B_High_Oxygen_CC
PNNL_EXON,None,None,None,None,None,PNNL_EXON,6.61557848,7.038801221,7.373251792,7.234022426,6.177710582,6.650451134,6.282777512,5.664744266,7.130069542,7.404992111,7.315154553,7.472149018,6.177710582,6.650451134,6.71671408,6.184353007,6.398876515,6.048832051,7.315154553,7.472149018,6.452767945,6.204438532,6.765450883,6.78697087
rTEr01,None,None,None,None,None,rTEr01,21.2682959,21.85094583,20.88715136,21.03598368,20.60204329,20.62695957,21.30389714,20.94269953,21.18688776,21.31180584,20.47011027,20.53695189,20.60204329,20.62695957,21.13816271,21.3814144,21.04012292,21.27672948,20.47011027,20.53695189,21.01095324,20.59244499,20.48262218,21.0132354
rTEr02,None,None,None,None,None,rTEr02,23.99561091,23.6525155,24.28197774,24.29645376,23.76545131,24.10545522,23.02830969,23.42807539,23.91613435,24.06073571,24.71486474,24.15864771,23.76545131,24.10545522,23.88954354,23.87704885,23.99067726,23.75216874,24.71486474,24.15864771,24.27920309,24.18166894,24.2397235,24.22068892
rTEr03,None,None,None,None,None,rTEr03,22.81825951,22.36715192,23.07206092,23.12154579,22.45999695,22.76871807,21.70623077,22.21337049,22.73651086,22.78398343,23.45258258,22.96303624,22.45999695,22.76871807,22.80800783,22.72202011,22.83321893,22.53421739,23.45258258,22.96303624,23.09796456,22.96795277,22.93498353,23.07316792
rTEs02,None,None,None,None,None,rTEs02,16.73311624,16.67443193,16.93987449,16.86321825,16.87821287,16.84333807,16.47157737,16.32406524,16.63460036,16.58977002,16.91505297,16.52507217,16.87821287,16.84333807,16.65973733,16.66196109,16.53439285,16.83274456,16.91505297,16.52507217,16.8665966,16.91717701,16.70044263,16.6638399
rTEs03,None,None,None,None,None,rTEs03,1.739332835,1.739332835,1.739332835,1.739332835,2.315629231,1.739332835,1.739332835,1.739332835,2.547878316,1.739332835,1.739332835,1.739332835,2.315629231,1.739332835,2.51402662,1.739332835,1.739332835,1.739332835,1.739332835,1.739332835,1.739332835,1.739332835,1.739332835,1.739332835
rTEs04,None,None,None,None,None,rTEs04,14.72011897,14.86153086,14.49494849,14.54839228,14.12240441,14.25432862,14.30336245,14.01281753,14.45320849,14.46648436,14.3030454,14.18873824,14.12240441,14.25432862,14.57228145,14.37677431,14.33454674,14.52793407,14.3030454,14.18873824,14.20280325,14.05917379,14.15401906,14.19421795
rTEt01,None,None,None,None,None,rTEt01,14.90477687,14.97817817,14.76227306,14.66524862,14.07015431,14.3790568,14.35545261,14.44391217,14.64173523,14.73370197,14.84008306,14.62537709,14.07015431,14.3790568,14.32287979,14.43683003,14.1241125,14.3590503,14.84008306,14.62537709,14.44178456,14.52549041,14.3188842,14.24943893
rTEt02,None,None,None,None,None,rTEt02,17.4585677,18.55951375,16.82694419,16.6679473,16.13864508,16.31192082,17.32796569,17.03294278,16.88767879,17.01391907,16.4061713,16.97787276,16.13864508,16.31192082,18.15101858,17.80376331,16.37969525,18.11040066,16.4061713,16.97787276,16.51063829,16.2863051,16.33599046,16.75770936
rTEt03,None,None,None,None,None,rTEt03,18.07397254,18.74903515,17.42918301,17.13859451,16.85380579,16.55280978,17.72480886,17.46902868,17.49054481,17.53384918,16.6932957,16.80559251,16.85380579,16.55280978,17.48824556,17.37214396,16.87285264,17.60383518,16.6932957,16.80559251,16.89849079,16.84479463,16.72444979,17.21004467
rTEt04,None,None,None,None,None,rTEt04,18.25664299,19.31986744,17.70756446,17.67573271,16.9185532,17.06596562,18.47547131,17.90581888,17.86037768,18.17720169,17.20767666,17.55214482,16.9185532,17.06596562,18.40049529,18.28490378,17.26424192,18.33543679,17.20767666,17.55214482,17.34531529,17.11121767,17.20780335,17.50615503
