RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
,tll0002,Intracellular trafficking_ assembly_ and processing,Peptidases,periplasmic stress response system,heat shock peptidase HtrA,htrA,4,H,555.4227617,566.545507,686.9478,602.9720229,tll0002,locus_tag:NCBI Locus Tag
,tll0007,Carbohydrate metabolism,Starch and sucrose metabolism,cellulose biosynthesis,UDP-forming cellullose synthase catalytic subunit CelA,celA,4,H,563.0905966,660.2898688,821.9839707,681.7881454,tll0007,locus_tag:NCBI Locus Tag
,tll0008,Unknown function,General,gliding motility,membrane PIN/TRAM domain protein YCF81,ycf81,4,H,14972.92088,20097.34046,25233.13111,20101.13082,tll0008,locus_tag:NCBI Locus Tag
,tll0009,Unknown function,General,,hypothetical protein,,4,H,2369.980879,3712.564038,5848.126231,3976.890383,tll0009,locus_tag:NCBI Locus Tag
,tll0013,Intracellular trafficking_ assembly_ and processing,Peptidases,,N-acyl-L-amino acid amidohydrolase Ama,ama,4,H,1941.329926,2146.17015,2512.322313,2199.940796,tll0013,locus_tag:NCBI Locus Tag
,tll0014,Regulatory functions,Small molecule interactions,,adenylate cyclase,,4,H,1627.296157,2109.378943,2559.477487,2098.717529,tll0014,locus_tag:NCBI Locus Tag
,tll0015,Terpenoids and polyketides metabolism,Carotenoid metabolism,carotenoid cleavage,all-trans-8'-apo-beta-carotenal 15_15'-oxygenase Diox1,diox1,4,H,3054.468869,3716.945398,4293.799293,3688.40452,tll0015,locus_tag:NCBI Locus Tag
,tll0016,Transport and binding proteins,Cofactors and prosthetic groups,folic acid uptake,folate transporter Fbp,fbp,4,H,2422.46009,3272.737997,3822.080642,3172.426243,tll0016,locus_tag:NCBI Locus Tag
,tll0019,Unknown function,General,,protein of unknown function DUF212,,3,G,3262.627003,2729.837035,2158.177715,2716.880585,tll0019,locus_tag:NCBI Locus Tag
,tll0020,Terpenoids and polyketides metabolism,Terpenoid backbone biosynthesis,C10-C20 isoprenoid biosynthesis,geranylgeranyl diphosphate synthase type II CrtE,crtE,3,G,8841.589636,7833.903133,7004.788314,7893.427027,tll0020,locus_tag:NCBI Locus Tag
,tll0021,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,folic acid biosynthesis,bifunctional methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase FolD,folD,3,G,4458.50464,3682.317883,3211.18653,3784.003018,tll0021,locus_tag:NCBI Locus Tag
,tll0022,Unknown function,General,,hypothetical protein,,4,H,928.7558185,915.4311666,1089.566526,977.9178372,tll0022,locus_tag:NCBI Locus Tag
,tll0024,Unknown function,General,,pentapeptide repeat protein,,2,F,238.2347736,173.8490278,208.9267915,207.003531,tll0024,locus_tag:NCBI Locus Tag
,tll0025,Regulatory functions,DNA interactions,Iron homeostasis,Fur family transcriptional regulator,,3,G,1241.02303,1005.586757,969.1326447,1071.914144,tll0025,locus_tag:NCBI Locus Tag
,tll0026,Transport and binding proteins,Cations and iron carrying compounds,,CAC2 family Ca2::H+ antiporter,,2,F,410.9085718,372.9567583,423.3121475,402.3924925,tll0026,locus_tag:NCBI Locus Tag
