RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
fig.6666666.52381.peg.10,SY28_RS00050,Amino acid metabolism,Lysine biosynthesis,lysine biosynthesis via alpha-aminoadipate (AAA pathway),alpha-aminoadipate--LysW ligase LysX,lysX,3,G,185.539297,130.2343774,103.0697641,139.6144795,SY28_00050,tier1:NCBI Locus Tag
fig.6666666.52381.peg.100,SY28_RS00500,Unknown function,General,,hypothetical protein,,3,G,14.12952973,15.4461884,21.35571795,16.97714536,SY28_00500,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1000,SY28_RS04985,Unknown function,General,,hypothetical protein,,3,G,31.61178341,30.04101209,15.45978612,25.70419387,SY28_04990,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1001,SY28_RS04990,Unknown function,General,,hypothetical protein,,3,G,25.82449141,48.35601342,10.25270411,28.14440298,,unresolved
fig.6666666.52381.peg.1002,SY28_RS04995,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,isoleucine biosynthesis from threonine and pyruvate,threonine ammonia-lyase IlvA,ilvA,3,G,36.72706167,11.91459089,4.296264414,17.64597232,SY28_05000,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1003,SY28_RS05000,Intracellular trafficking_ assembly_ and processing,Peptidases,,M28 family peptidase,,3,G,62.42216313,24.11593127,33.09568441,39.87792627,SY28_05005,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1004,SY28_RS05005,Unknown function,General,,hypothetical protein,,4,H,34.45219065,47.34754813,142.9556798,74.91847287,SY28_05010,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1005,SY28_RS05010,Unknown function,General,,hypothetical protein,,4,H,7.146030441,61.41180741,43.69168112,37.41650632,SY28_05015,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1007,SY28_RS05020,Transport and binding proteins,Unknown substrate,,ABC-type transport system ATPase component,,3,G,14.86068165,48.99302839,26.46529069,30.10633358,SY28_05025,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1008,SY28_RS05025,Intracellular trafficking_ assembly_ and processing,Enzyme assembly,cytochrome c biogenesis system II,c-type cytochrome biogenesis protein CcdA,ccdA,3,G,45.33932833,30.44970908,27.96854735,34.58586159,SY28_05030,tier1:NCBI Locus Tag
