RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
N/A,tll0002,Intracellular trafficking_ assembly_ and processing,Peptidases,periplasmic stress response system,heat shock peptidase HtrA,htrA,4,C,4,H,1080.76465,656.499785,555.4227617,764.2290654
N/A,tll0007,Carbohydrate metabolism,Starch and sucrose metabolism,cellulose biosynthesis,UDP-forming cellullose synthase catalytic subunit CelA,celA,4,C,4,H,2864.762477,728.6885888,563.0905966,1385.513887
N/A,tll0008,Unknown function,General,gliding motility,membrane PIN/TRAM domain protein YCF81,ycf81,4,C,4,H,47630.41645,26331.8332,14972.92088,29645.05685
N/A,tll0009,Unknown function,General,None,hypothetical protein,,4,C,4,H,13580.67706,5413.137319,2369.980879,7121.265085
N/A,tll0013,Intracellular trafficking_ assembly_ and processing,Peptidases,None,N-acyl-L-amino acid amidohydrolase Ama,ama,2,B,4,H,1266.33729,961.1921216,1941.329926,1389.619779
N/A,tll0014,Regulatory functions,Small molecule interactions,None,adenylate cyclase,,1,D,4,H,1024.617795,1855.629633,1627.296157,1502.514528
N/A,tll0015,Terpenoids and polyketides metabolism,Carotenoid metabolism,carotenoid cleavage,all-trans-8'-apo-beta-carotenal 15_15'-oxygenase Diox1,diox1,1,D,4,H,1283.81757,3069.487229,3054.468869,2469.257889
N/A,tll0016,Transport and binding proteins,Cofactors and prosthetic groups,folic acid uptake,folate transporter Fbp,fbp,1,D,4,H,1122.679886,2364.608269,2422.46009,1969.916082
N/A,tll0019,Unknown function,General,None,protein of unknown function DUF212,,1,D,3,G,1129.057202,2111.616078,3262.627003,2167.766761
N/A,tll0020,Terpenoids and polyketides metabolism,Terpenoid backbone biosynthesis,C10-C20 isoprenoid biosynthesis,geranylgeranyl diphosphate synthase type II CrtE,crtE,1,D,3,G,2410.059629,10319.2303,8841.589636,7190.293188
N/A,tll0021,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,folic acid biosynthesis,bifunctional methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase FolD,folD,1,D,3,G,1761.42517,2516.717034,4458.50464,2912.215615
N/A,tll0022,Unknown function,General,None,hypothetical protein,,4,C,4,H,1540.635928,896.8025635,928.7558185,1122.06477
N/A,tll0024,Unknown function,General,None,pentapeptide repeat protein,,2,B,2,F,190.6155753,119.0663217,238.2347736,182.6388902
N/A,tll0025,Regulatory functions,DNA interactions,Iron homeostasis,Fur family transcriptional regulator,,2,B,3,G,822.6674721,698.3859561,1241.02303,920.6921528
N/A,tll0026,Transport and binding proteins,Cations and iron carrying compounds,None,CAC2 family Ca2::H+ antiporter,,1,D,2,F,107.4464789,298.1679666,410.9085718,272.1743391
N/A,tll0030,Unknown function,General,None,hypothetical protein,,4,C,4,H,4078.562879,2082.902817,1245.822214,2469.09597
N/A,tll0032,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,KDO(2)-lipid A (Re LPS) biosynthesis and delivery,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD,lpxD,1,D,3,G,1274.879836,2281.678077,2588.127024,2048.228312
N/A,tll0037,Unknown function,Enzymes of unknown specificity,phosphate homeostasis,phosphate starvation-inducible ATPase PhoH,phoH,4,C,2,F,3625.67597,609.1388225,695.5565255,1643.457106
N/A,tll0039,Unknown function,General,None,KH domain RNA binding protein YlqC,ylqC,1,D,3,G,2053.936166,2585.474205,3196.705563,2612.038645
N/A,tll0043,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle_ Embden-Meyerhof pathway,glyceraldehyde 3-phosphate dehydrogenase GapA,gapA,1,D,1,E,2057.55222,7459.53348,7558.878731,5691.988143
N/A,tll0044,Unknown function,Enzymes of unknown specificity,None,rhodanese-like domain-containing protein,,1,D,1,E,3100.241653,9515.448913,8077.685813,6897.792126
