gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS05480,-1.399014735,3.2542e-14,2.02744e-13,WP_006195022.1,,photosystem II reaction center protein K,,unresolved
gene-H6G84_RS13615,-2.916721372,6.10367e-36,1.9013700000000001e-34,WP_011055119.1,Synpcc7942_B2633 anL01,DUF3854 domain-containing protein,Synpcc7942_B2633,tier1:gene ID
gene-H6G84_RS13620,-1.138973316,1.65358e-09,6.45764e-09,WP_011055120.1,Synpcc7942_B2656 anL02,hypothetical protein,Synpcc7942_B2656,tier1:gene ID
gene-H6G84_RS13625,-2.750255073,7.40099e-13,4.09654e-12,WP_011055121.1,Synpcc7942_B2657 anL03,hypothetical protein,Synpcc7942_B2657,tier1:gene ID
gene-H6G84_RS13630,-2.608031685,1.75889e-31,4.2451100000000005e-30,WP_011055123.1,anL05,DUF1254 domain-containing protein,,unresolved
gene-H6G84_RS13640,-2.036605475,2.05743e-07,6.36473e-07,WP_011055126.1,Synpcc7942_B2636 anL08,hypothetical protein,Synpcc7942_B2636,tier1:gene ID
gene-H6G84_RS13655,-1.523228857,7.07821e-11,3.18698e-10,WP_011055129.1,Synpcc7942_B2638 anL11,BrnT family toxin,Synpcc7942_B2638,tier1:gene ID
gene-H6G84_RS13660,-0.405678145,0.029439418,0.043334176,WP_011055130.1,Synpcc7942_B2639 anL12,BrnA antitoxin family protein,Synpcc7942_B2639,tier1:gene ID
gene-H6G84_RS13665,0.035676043,0.866951682,0.885460754,WP_011055132.1,Synpcc7942_B2640 anL15,DUF2442 domain-containing protein,Synpcc7942_B2640,tier1:gene ID
gene-H6G84_RS13680,-0.070846744,0.864446248,0.883912786,WP_011055135.1,Synpcc7942_B2643 anL18,DJ-1/PfpI family protein,Synpcc7942_B2643,tier1:gene ID
gene-H6G84_RS13690,-1.027927671,3.19284e-05,7.55621e-05,WP_011055137.1,,DUF305 domain-containing protein,,unresolved
gene-H6G84_RS13695,-0.570806715,0.00120274,0.002262739,WP_011055138.1,,HAMP domain-containing histidine kinase,,unresolved
