primary role id,primary role,secondary role id,secondary role,sub role id,sub role
-,Unclassified,,Role category not yet assigned,-,-
0,Non-coding gene (RNA),0.1,tRNA,-,-
0,Non-coding gene (RNA),0.2,rRNA,-,-
0,Non-coding gene (RNA),0.3,ncRNA,-,-
0,Non-coding gene (RNA),0.4,Other,-,-
A,Amino acid biosynthesis,A.1,"Aromatic amino acids family (Phe, Trp, Tyr)",-,-
A,Amino acid biosynthesis,A.2,"Aspartate family (Asp, Asn, Ile, Lys, Met, Thr)",-,-
A,Amino acid biosynthesis,A.3,"Glutamate family (Arg, Gln, Glu, Pro)",-,-
A,Amino acid biosynthesis,A.4,Histidine family,-,-
A,Amino acid biosynthesis,A.5,"Pyruvate family (Ala, Val, Leu)",-,-
A,Amino acid biosynthesis,A.6,"Serine family (Ser, Gly, Cys)",-,-
A,Amino acid biosynthesis,A.7,Other,-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.1,Lipoic acid,-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.2,Menaquinone and ubiquinone,-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.3,Molybdopterin,-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.4,Pantothenate and coenzyme A,-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.5,Pigments,B.5.1,Carotenoids
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.5,Pigments,B.5.2,Chlorophylls and porphyrins
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.5,Pigments,B.5.3,Hemes and phycobilins
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.6,"Pyridine nucleotides (NAD, NADP)",-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.7,"Riboflavin, FMN and FAD",-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.8,Siderophores,-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.9,"Thioredoxin, glutaredoxin, and glutathione",-,-
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.10,Vitamins,B.10.1,Biotin (b7)
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.10,Vitamins,B.10.2,Cobalamin (b12)
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.10,Vitamins,B.10.3,Folic acid (b9)
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.10,Vitamins,B.10.4,Pyridoxine (b6)
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.10,Vitamins,B.10.5,Thiamine (b1)
B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B.11,Other,-,-
C,Cell envelope,C.1,"Membranes, lipoproteins, and porins",-,-
C,Cell envelope,C.2,Murein sacculus and peptidoglycan,-,-
C,Cell envelope,C.3,Surface polysaccharides and lipopolysaccharides,-,-
C,Cell envelope,C.4,Surface structures,-,-
C,Cell envelope,C.5,Other,-,-
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.1,Iron
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.2,Light
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.3,Nitrogen
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.4,Oxidative stress
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.5,Phosphorus
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.6,Temperature
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.7,Trace metals
D,Cellular processes,D.1,Adaptation/acclimation to atypical conditions and detoxification,D.1.8,Other
D,Cellular processes,D.2,Cell division,-,-
D,Cellular processes,D.3,Cell growth and death,-,-
D,Cellular processes,D.4,Chaperones,-,-
D,Cellular processes,D.5,Chemotaxis and motility,-,-
D,Cellular processes,D.6,Circadian clock,-,-
D,Cellular processes,D.7,Protein and peptide secretion,-,-
D,Cellular processes,D.8,Toxin production and resistance,-,-
D,Cellular processes,D.9,Transformation,-,-
D,Cellular processes,D.10,Other,-,-
E,Central intermediary metabolism,E.1,Amino sugars,-,-
E,Central intermediary metabolism,E.2,One-carbon metabolism,-,-
E,Central intermediary metabolism,E.3,Phosphorus metabolism,-,-
E,Central intermediary metabolism,E.4,Nitrogen metabolism,-,-
E,Central intermediary metabolism,E.5,Polyamine biosynthesis,-,-
E,Central intermediary metabolism,E.6,Polysaccharides and glycoproteins biosynthesis,-,-
E,Central intermediary metabolism,E.7,Sulfur metabolism,-,-
E,Central intermediary metabolism,E.8,Other,-,-
F,DNA metabolism,F.1,"DNA replication, recombination, and repair",F.1.1,Base excision repair
F,DNA metabolism,F.1,"DNA replication, recombination, and repair",F.1.2,Nucleotide excision repair
F,DNA metabolism,F.1,"DNA replication, recombination, and repair",F.1.3,Mismatch repair
F,DNA metabolism,F.1,"DNA replication, recombination, and repair",F.1.4,Homologous recombination
F,DNA metabolism,F.1,"DNA replication, recombination, and repair",F.1.5,Non-homologous end-joining
