seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_008750.1,dnaA,dnaA,SPUTW3181_RS00015,Sputw3181_0001,Protein Homology,150,1535,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011635493.1,chromosomal replication initiator protein DnaA,WP_011787424.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",,Sputw3181_0001,
NC_008750.1,dnaN,dnaN,SPUTW3181_RS00020,Sputw3181_0002,Protein Homology,1556,2656,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007652338.1,DNA polymerase III subunit beta,WP_011787425.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,Sputw3181_0002,2.7.7.7
NC_008750.1,recF,recF,SPUTW3181_RS00025,Sputw3181_0003,Protein Homology,2853,3935,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_011845334.1,DNA replication/repair protein RecF,WP_011787426.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,Sputw3181_0003,
NC_008750.1,gyrB,gyrB,SPUTW3181_RS00030,Sputw3181_0004,Protein Homology,3952,6369,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084772.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_011787427.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,Sputw3181_0004,5.6.2.2
NC_008750.1,SPUTW3181_RS00035,,SPUTW3181_RS00035,Sputw3181_0005,Protein Homology,6571,7617,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006083816.1,HDOD domain-containing protein,WP_011787428.1,,,,,,Sputw3181_0005,
NC_008750.1,glyS,glyS,SPUTW3181_RS00040,Sputw3181_0006,Protein Homology,7705,9774,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011620845.1,glycine--tRNA ligase subunit beta,WP_011787429.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,Sputw3181_0006,6.1.1.14
NC_008750.1,glyQ,glyQ,SPUTW3181_RS00045,Sputw3181_0007,Protein Homology,9785,10690,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006083814.1,glycine--tRNA ligase subunit alpha,WP_011070431.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,Sputw3181_0007,6.1.1.14
NC_008750.1,SPUTW3181_RS00050,,SPUTW3181_RS00050,Sputw3181_0008,Protein Homology,10808,11410,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787430.1,DNA-3-methyladenine glycosylase I,WP_011787430.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,Sputw3181_0008,3.2.2.20
NC_008750.1,SPUTW3181_RS00055,,SPUTW3181_RS00055,Sputw3181_0009,Protein Homology,11528,14716,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011715312.1,amidohydrolase family protein,WP_011787431.1,GO:0016787,,hydrolase activity|0016787||IEA,,,Sputw3181_0009,
NC_008750.1,SPUTW3181_RS00060,,SPUTW3181_RS00060,Sputw3181_0010,Protein Homology,14938,15390,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011918267.1,MOSC domain-containing protein,WP_011787432.1,"GO:0003824,GO:0030151,GO:0030170",,"catalytic activity|0003824||IEA,molybdenum ion binding|0030151||IEA,pyridoxal phosphate binding|0030170||IEA",,,Sputw3181_0010,
