Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources
PMM0003,purL phosphoribosylformylglycinamidine synthetase II 2044:4383 forward,-0.04925810150862828,0.8624,2,F,outer membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0004,purF Glutamine amidotransferase 4430:5890 forward,0.45143533043700385,,1,F,unknown,iTRAQ1 protein list :: Ratio 114:115
PMM0013,CDS RNA-binding region RNP-1 (RNA recognition 16018:16683 forward,-0.17472800632999624,0.9283,4,R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0023,gap2 Glyceraldehyde 3-phosphate 24150:25172 forward,-0.47394303034385427,0.8744,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0044,alaS Alanyl-tRNA synthetase 44305:46965 forward,0.10587630384213118,0.4382,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0046,CDS Nucleoside diphosphate kinase 49017:49475 forward,-0.28246531465726743,0.3644,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0048,gatB Glutamyl-tRNA (Gln) amidotransferase subunit B 50672:52144 forward,0.17977713722264987,0.2134,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0051,CDS conserved hypothetical protein 54244:54915 reverse,0.13366797312236356,,2,D,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0075,CDS conserved hypothetical protein 79845:80951 forward,-0.5102521522177258,0.8169,2,S,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0090,CDS possible serine protease 95155:96303 reverse,0.3057494356921345,0.8788,4,O,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0109,CDS possible POLO box duplicated region. 111615:112325 forward,0.09860627968865518,0.4688,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0128,rpaA two-component response regulator 125358:126113 forward,-0.010958503727498306,0.4353,2,T&K,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0134,rpaB two-component response regulator 132148:132894 forward,-0.6176158744661762,0.2068,2,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0142,CDS RNA-binding region RNP-1 (RNA recognition 139098:139517 forward,0.7244147296713044,0.0249,2,R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
