protein_id,path_id,main,sub,path,ecpath,Category,Membrane transport
WP_002805124.1,K02710,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],K02710  psbI; photosystem II PsbI protein,Photosynthesis/Carbon fixation,
WP_002805124.1,K02710,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],K02710  psbI; photosystem II PsbI protein,Photosynthesis/Carbon fixation,
WP_002805169.1,K02110,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c",Energy/Carbohydrate/Glycan,
WP_002805169.1,K02110,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c",Photosynthesis/Carbon fixation,
WP_002805169.1,K02110,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c",Photosynthesis/Carbon fixation,
WP_002805854.1,K01601,09100 Metabolism,09101 Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],"K01601  rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]",Energy/Carbohydrate/Glycan,
WP_002805854.1,K01601,09100 Metabolism,09102 Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],"K01601  rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]",Photosynthesis/Carbon fixation,
WP_002806014.1,K02963,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02963  RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18",Genetic Info,
WP_002806014.1,K02963,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02963  RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18",Genetic Info,
WP_002806486.1,K02970,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21",Genetic Info,
WP_002806486.1,K02970,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21",Genetic Info,
WP_007099573.1,K02691,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],K02691  psaC; photosystem I subunit VII,Photosynthesis/Carbon fixation,
WP_007099573.1,K02691,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],K02691  psaC; photosystem I subunit VII,Photosynthesis/Carbon fixation,
WP_011131639.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03030 DNA replication [PATH:ko03030],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_011131639.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03430 Mismatch repair [PATH:ko03430],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_011131639.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03440 Homologous recombination [PATH:ko03440],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_011131639.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_011131639.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_011131641.1,K23269,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K23269  purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],AA/Nucleotide,
WP_011131642.1,K00764,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",AA/Nucleotide,
WP_011131642.1,K00764,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",AA/Nucleotide,
WP_011131642.1,K00764,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],"K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",Metabolism,
WP_011131643.1,K02469,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2],Genetic Info,
WP_011131643.1,K02469,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2],Genetic Info,
WP_011131645.1,K18979,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K18979  queG; epoxyqueuosine reductase [EC:1.17.99.6],Genetic Info,
WP_011131648.1,K03110,09120 Genetic Information Processing,"09123 Folding, sorting and degradation",03060 Protein export [PATH:ko03060],K03110  ftsY; fused signal recognition particle receptor,Genetic Info,
WP_011131648.1,K03110,09130 Environmental Information Processing,09131 Membrane transport,03070 Bacterial secretion system [PATH:ko03070],K03110  ftsY; fused signal recognition particle receptor,Membrane transport,Membrane transport
WP_011131648.1,K03110,09140 Cellular Processes,09145 Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024],K03110  ftsY; fused signal recognition particle receptor,Env. Info/Cellular Process,
WP_011131648.1,K03110,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K03110  ftsY; fused signal recognition particle receptor,Env. Info/Cellular Process,
WP_011131649.1,K07315,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],K07315  rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3],Genetic Info,
WP_011131650.1,K01755,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",AA/Nucleotide,
WP_011131650.1,K01755,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],"K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",AA/Nucleotide,
WP_011131650.1,K01755,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],"K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",Env. Info/Cellular Process,
WP_011131652.1,K05539,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K05539  dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-],Genetic Info,
WP_011131653.1,K07305,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K07305  msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],Metabolism,
WP_011131654.1,K03687,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03687  GRPE; molecular chaperone GrpE,Genetic Info,
WP_011131654.1,K03687,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],K03687  GRPE; molecular chaperone GrpE,Genetic Info,
WP_011131655.1,K03686,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03686  dnaJ; molecular chaperone DnaJ,Genetic Info,
WP_011131655.1,K03686,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],K03686  dnaJ; molecular chaperone DnaJ,Genetic Info,
WP_011131657.1,K06949,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]",Metabolism,
