locus_tag,island_id,product
BSR22_05965,RS50_1_1085327_1115045,NAD(P)H-quinone oxidoreductase subunit L
BSR22_05970,RS50_1_1085327_1115045,DUF3007 family protein
BSR22_05975,RS50_1_1085327_1115045,tryptophan synthase subunit alpha
BSR22_05980,RS50_1_1085327_1115045,AbrB family transcriptional regulator
BSR22_05985,RS50_1_1085327_1115045,YciI family protein
BSR22_05990,RS50_1_1085327_1115045,hypothetical protein
BSR22_05995,RS50_1_1085327_1115045,YkvA family protein
BSR22_06000,RS50_1_1085327_1115045,sigma-70 family RNA polymerase sigma factor
BSR22_06005,RS50_1_1085327_1115045,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
BSR22_06010,RS50_1_1085327_1115045,6-carboxytetrahydropterin synthase
BSR22_06015,RS50_1_1085327_1115045,ATP-dependent Clp protease ATP-binding subunit
BSR22_06020,RS50_1_1085327_1115045,plastocyanin
BSR22_06025,RS50_1_1085327_1115045,NAD-dependent epimerase/dehydratase family protein
BSR22_06030,RS50_1_1085327_1115045,uroporphyrinogen decarboxylase
BSR22_06035,RS50_1_1085327_1115045,"1,4-alpha-glucan branching protein GlgB"
BSR22_06040,RS50_1_1085327_1115045,CocE/NonD family hydrolase
BSR22_06045,RS50_1_1085327_1115045,hypothetical protein
BSR22_06050,RS50_1_1085327_1115045,DUF4332 domain-containing protein
BSR22_06055,RS50_1_1085327_1115045,DUF2518 family protein
BSR22_06060,RS50_1_1085327_1115045,translocation/assembly module TamB domain-containing protein
BSR22_06065,RS50_1_1085327_1115045,glutamate-5-semialdehyde dehydrogenase
BSR22_06070,RS50_1_1085327_1115045,dihydroneopterin aldolase
BSR22_06075,RS50_1_1085327_1115045,esterase/lipase family protein
BSR22_06080,RS50_1_1085327_1115045,M3 family metallopeptidase
BSR22_06085,RS50_1_1085327_1115045,NAD(P)H-quinone oxidoreductase subunit 4
BSR22_06090,RS50_1_1085327_1115045,homoserine kinase
BSR22_06095,RS50_1_1085327_1115045,glucokinase
BSR22_06220,RS50_1_1139597_1151102,3'-5' exonuclease
BSR22_06225,RS50_1_1139597_1151102,hypothetical protein
BSR22_06230,RS50_1_1139597_1151102,histidine--tRNA ligase
BSR22_06240,RS50_1_1139597_1151102,TIGR02450 family Trp-rich protein
BSR22_06245,RS50_1_1139597_1151102,hypothetical protein
BSR22_06250,RS50_1_1139597_1151102,chlorophyll a/b binding light-harvesting protein
