gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
BL107_RS00010,,BL107_RS00010,BL107_04802,Protein Homology,906.0,1709.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788190.1,inositol monophosphatase family protein,WP_009788190.1,,,,,BL107_04802,906.0,1709.0,-,CK_Syn_BL107_04802,BL107_04802,,CK_00001165,,,"COG0483,bactNOG62469,bactNOG14656,bactNOG07006,cyaNOG06246,cyaNOG01884","COG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",,,,Inositol monophosphatase family protein,"PF00459,PS00629,IPR020583,IPR000760","Inositol monophosphatase family,Inositol monophosphatase family signature 1.,Inositol monophosphatase%2C metal-binding site,Inositol monophosphatase-like",703,Unknown function / Enzymes of unknown specificity,,
BL107_RS00015,,BL107_RS00015,BL107_04807,Protein Homology,1703.0,3448.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788191.1,TolC family protein,WP_071984251.1,"GO:0055085,GO:0015562",,efflux transmembrane transporter activity|0015562||IEA,transmembrane transport|0055085||IEA,BL107_04807,1703.0,3469.0,-,CK_Syn_BL107_04807,BL107_04807,"GO:0006810,GO:0005215",CK_00052564,"D.1.9,D.7,L.1,Q.9"," Other,Protein and peptide secretion,Protein and peptide secretion and trafficking, Unknown substrate","COG1538,bactNOG12948,cyaNOG02368","COG: MU,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",,,"transport,transport,transporter activity",TolC-like outer membrane efflux protein%2C RND family,"TIGR00006,PF02321,IPR003423","16S rRNA (cytosine(1402)-N(4))-methyltransferase,Outer membrane efflux protein,Outer membrane efflux protein",141,Transport and binding proteins / Unknown substrate,,
BL107_RS00020,,BL107_RS00020,BL107_04812,Protein Homology,3515.0,4912.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006911574.1,TIGR03279 family radical SAM protein,WP_037987778.1,,,,,BL107_04812,3515.0,4834.0,-,CK_Syn_BL107_04812,BL107_04812,GO:0005515,CK_00000193,,,"COG1625,bactNOG04583,cyaNOG01538","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,protein binding,conserved hypothetical protein,"TIGR03279,PF04459,PS50106,IPR017673,IPR007549","putative radical SAM enzyme%2C TIGR03279 family,Protein of unknown function (DUF512),PDZ domain profile.,Putative radical SAM enzyme%2C CHP03279 family,Domain of unknown function DUF512",156,Hypothetical proteins / Conserved,,
BL107_RS00025,,BL107_RS00025,BL107_04817,Protein Homology,4932.0,5783.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788193.1,undecaprenyl-diphosphate phosphatase,WP_009788193.1,,,,,BL107_04817,4932.0,5783.0,-,CK_Syn_BL107_04817,uppP,"GO:0009252,GO:0046677,GO:0016311,GO:0050380,GO:0030288,GO:0016020",CK_00000194,C.2,Murein sacculus and peptidoglycan,"COG1968,bactNOG08293,bactNOG24558,bactNOG34388,bactNOG05803,cyaNOG00870","COG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,cyaNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms",3.6.1.27,undecaprenyl-diphosphate phosphatase%3B C55-isoprenyl diphosphatase%3B C55-isoprenyl pyrophosphatase%3B isoprenyl pyrophosphatase (ambiguous)%3B undecaprenyl pyrophosphate phosphatase%3B undecaprenyl pyrophosphate pyrophosphatase%3B UPP phosphatase%3B Und-PP pyrophosphatase%3B UppP (ambiguous)%3B BacA%3B undecaprenyl-diphosphate phosphohydrolase%3B undecaprenyl-diphosphatase,"peptidoglycan biosynthetic process,response to antibiotic,dephosphorylation,peptidoglycan biosynthetic process,response to antibiotic,dephosphorylation,undecaprenyl-diphosphatase activity,peptidoglycan biosynthetic process,response to antibiotic,dephosphorylation,undecaprenyl-diphosphatase activity,outer membrane-bounded periplasmic space,membrane",undecaprenyl-diphosphatase,"TIGR00753,PF02673,IPR003824","undecaprenyl-diphosphatase UppP,Bacitracin resistance protein BacA,Undecaprenyl-diphosphatase UppP",89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan,,3.6.1.27
BL107_RS00030,,BL107_RS00030,BL107_04822,Protein Homology,5871.0,6587.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359186.1,DUF3120 domain-containing protein,WP_009788194.1,,,,,BL107_04822,5871.0,6587.0,+,CK_Syn_BL107_04822,BL107_04822,,CK_00000195,"D.1.9,R.2"," Other,Conserved hypothetical proteins","NOG11450,COG0697,COG0477,COG0577,bactNOG07086,cyaNOG01626","COG: POORLY CHARACTERIZED [S] Function unknown,COG: GER,COG: GEPR,COG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized membrane protein (DUF3120),"PF11318,IPR021468","Protein of unknown function (DUF3120),Protein of unknown function DUF3120",156,Hypothetical proteins / Conserved,,
psbU,psbU,BL107_RS00035,BL107_04827,Protein Homology,6700.0,7107.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011934091.1,photosystem II complex extrinsic protein PsbU,WP_009788195.1,,,,,BL107_04827,6700.0,7107.0,+,CK_Syn_BL107_04827,psbU,"GO:0015979,GO:0009523",CK_00001319,J.8,Photosystem II,"COG1555,NOG14297,bactNOG41823,cyaNOG03844","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"photosynthesis,photosynthesis,photosystem II",photosystem II 12 kDa extrinsic PsbU protein,"PF06514,IPR010527","Photosystem II 12 kDa extrinsic protein (PsbU),Photosystem II PsbU%2C oxygen evolving complex",164,Energy metabolism / Photosynthesis,,
BL107_RS00045,,BL107_RS00045,BL107_04844,Protein Homology,8737.0,9666.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011365266.1,vitamin K epoxide reductase family protein,WP_009788198.1,GO:0015036,,disulfide oxidoreductase activity|0015036||IEA,,BL107_04844,8737.0,9666.0,-,CK_Syn_BL107_04844,SynDsbAB,"GO:0006457,GO:0055114,GO:0071236,GO:0045454,GO:0003756,GO:0005515,GO:0015035,GO:0030288,GO:0042597",CK_00000197,C.4,Surface structures,"COG4243,COG0526,COG0695,bactNOG14443,bactNOG94688,cyaNOG02962,cyaNOG02301","COG: POORLY CHARACTERIZED [S] Function unknown,COG: OC,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"protein folding,oxidation-reduction process,cellular response to antibiotic,cell redox homeostasis,protein folding,oxidation-reduction process,cellular response to antibiotic,cell redox homeostasis,protein disulfide isomerase activity,protein binding,protein disulfide oxidoreductase activity,protein folding,oxidation-reduction process,cellular response to antibiotic,cell redox homeostasis,protein disulfide isomerase activity,protein binding,protein disulfide oxidoreductase activity,outer membrane-bounded periplasmic space,periplasmic space",disulfide bond forming protein,"PF07884,PS51352,IPR012336,IPR012932","Vitamin K epoxide reductase family,Thioredoxin domain profile.,Thioredoxin-like fold,Vitamin K epoxide reductase",91,Cell envelope / Surface structures,,1.17.4.-
rimO,rimO,BL107_RS00050,BL107_04849,Protein Homology,9752.0,11164.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359182.1,30S ribosomal protein S12 methylthiotransferase RimO,WP_037987783.1,"GO:0018339,GO:0008172,GO:0016740,GO:0016782,GO:0051539,GO:1904047,GO:0005737",cytoplasm|0005737||IEA,"S-methyltransferase activity|0008172||IEA,transferase activity|0016740||IEA,transferase activity%2C transferring sulphur-containing groups|0016782||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA,S-adenosyl-L-methionine binding|1904047||IEA",peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid|0018339||IEA,BL107_04849,9788.0,11164.0,+,CK_Syn_BL107_04849,rimO,"GO:0006400,GO:0018339,GO:0016740,GO:0051536,GO:0051539",CK_00000198,K.2,Ribosomal proteins: synthesis and modification,"COG0621,bactNOG01897,cyaNOG01066","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.8.4.4,[ribosomal protein S12] (aspartate89-C3)-methylthiotransferase%3B RimO%3B [ribosomal protein S12]-Asp89:sulfur-(sulfur carrier)%2CS-adenosyl-L-methionine C3-methylthiotransferase%3B [ribosomal protein S12]-L-aspartate89:sulfur-(sulfur carrier)%2CS-adenosyl-L-methionine C3-methylthiotransferase,"tRNA modification,peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid,tRNA modification,peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid,transferase activity,iron-sulfur cluster binding,4 iron%2C 4 sulfur cluster binding",ribosomal protein S12 methylthiotransferase,"TIGR00089,TIGR01125,PF04055,PF00919,PS01278,PS50926,PS51449,IPR005840,IPR006638,IPR020612,IPR041582,IPR005839,IPR002792,IPR007197,IPR013848,IPR038135,IPR023404","radical SAM methylthiotransferase%2C MiaB/RimO family,ribosomal protein S12 methylthiotransferase RimO,Radical SAM superfamily,Uncharacterized protein family UPF0004,Methylthiotransferase radical SAM domain signature.,TRAM domain profile.,Methylthiotransferase N-terminal domain profile.,Ribosomal protein S12 methylthiotransferase RimO,Elp3/MiaB/NifB,Methylthiotransferase%2C conserved site,RimO%2C TRAM domain,Methylthiotransferase,TRAM domain,Radical SAM,Methylthiotransferase%2C N-terminal,Methylthiotransferase%2C N-terminal domain superfamily,Radical SAM%2C alpha/beta horseshoe",168,Protein synthesis / tRNA and rRNA base modification,,2.8.4.4
BL107_RS00055,,BL107_RS00055,BL107_04854,Protein Homology,11161.0,12387.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824898.1,MFS transporter,WP_009788200.1,"GO:0055085,GO:0022857",,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,BL107_04854,11161.0,12387.0,+,CK_Syn_BL107_04854,BL107_04854,"GO:0055085,GO:0005215,GO:0022857,GO:0016021",CK_00001166,"D.1.9,Q.9"," Other, Unknown substrate","COG0477,NOG285659,bactNOG98744,bactNOG84636,cyaNOG05679","COG: GEPR,bactNOG: GP,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"transmembrane transport,transmembrane transport,transporter activity,transmembrane transporter activity,transmembrane transport,transporter activity,transmembrane transporter activity,integral component of membrane",multidrug efflux transporter%2C MFS family,"PF05977,PS50850,IPR010290,IPR020846","Transmembrane secretion effector,Major facilitator superfamily (MFS) profile.,Transmembrane secretion effector,Major facilitator superfamily domain",141,Transport and binding proteins / Unknown substrate,,
BL107_RS00065,,BL107_RS00065,BL107_04864,Protein Homology,12694.0,13098.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359180.1,DUF4346 domain-containing protein,WP_009788202.1,,,,,BL107_04864,12694.0,13098.0,-,CK_Syn_BL107_04864,BL107_04864,,CK_00000199,R.2,Conserved hypothetical proteins,"COG0294,bactNOG33258,cyaNOG03349","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",,,,uncharacterised conserved protein UCP037673,"PF14251,IPR025595","Domain of unknown function (DUF4346),Domain of unknown function DUF4346",156,Hypothetical proteins / Conserved,,
