geneID,Path,KO,chr,start,end,strand,logFC,logCPM,LR,PValue,annot,bacterial_chemotaxis,biosynthesis_of_amino_acids,carbon_metabolism,fatty_acid_metabolism,flagellar_assembly,redox_genes,ribosome,tonb_associated_genes,resolved_locus_tag,resolution_method
AEZ55_0091,,,scf7180000008834,6535,9621,+,0.344083603,4.893448628,1.938454463,0.163836444,TonB-dependent receptor,,,,,,,,Y,EZ55_03915,tier1:geneID
AEZ55_0093,,K16087,scf7180000008834,10004,10939,-,0.802029789,3.205541313,9.337119111,0.002245583,TonB-dependent receptor,,,,,,,,Y,,unresolved
AEZ55_0094,,K16087,scf7180000008834,11092,12330,-,0.725569887,3.597576919,8.948230226,0.002777385,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03913,tier1:geneID
AEZ55_0101,,,scf7180000008834,18925,21831,-,0.079394242,5.148364249,0.062553844,0.802504088,TonB-dependent receptor,,,,,,,,Y,EZ55_03906,tier1:geneID
AEZ55_0124,1230.0,K01243,scf7180000008834,49147,50157,+,-0.390263412,4.173557386,2.469044569,0.116108484,phosphorylase family protein,,Y,,,,,,,EZ55_03884,tier1:geneID
AEZ55_0126,,,scf7180000008834,51113,53182,+,-0.049996418,5.258768626,0.054145771,0.816000241,TonB-dependent receptor,,,,,,,,Y,EZ55_03882,tier1:geneID
AEZ55_0160,,K02014,scf7180000008834,81174,83576,+,0.060115631,5.277498229,0.048059419,0.826475104,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03851,tier1:geneID
AEZ55_0166,,K02014,scf7180000008834,87147,89264,-,-0.116354607,4.45756331,0.287336102,0.591932698,TonB-dependent receptor,,,,,,,,Y,EZ55_03846,tier1:geneID
AEZ55_0187,,,scf7180000008834,110586,113531,-,-0.103262378,4.997226664,0.225007056,0.635250993,TonB-dependent receptor,,,,,,,,Y,EZ55_03830,tier1:geneID
AEZ55_0192,,K02014,scf7180000008834,117792,120200,-,1.219078998,7.100079582,4.778471048,0.028817696,TonB-dependent receptor,,,,,,,,Y,EZ55_03827,tier1:geneID
AEZ55_0206,2030.0,K03776,scf7180000008834,134173,135756,+,-0.060351498,5.145964472,0.075886906,0.782950731,PAS domain S-box,Y,,,,,,,,EZ55_03815,tier1:geneID
AEZ55_0211,3010.0,K02990,scf7180000008834,138747,139148,+,0.667200627,9.590880649,3.561897594,0.059120118,ribosomal protein S6,,,,,,,Y,,EZ55_03811,tier1:geneID
AEZ55_0212,3010.0,K02963,scf7180000008834,139160,139387,+,0.742901145,7.39953362,5.023316245,0.025008229,ribosomal protein S18,,,,,,,Y,,EZ55_03810,tier1:geneID
AEZ55_0213,3010.0,K02939,scf7180000008834,139414,139866,+,0.790866709,8.53174449,4.389329584,0.036164531,ribosomal protein L9,,,,,,,Y,,EZ55_03809,tier1:geneID
AEZ55_0216,,K16087,scf7180000008834,144710,146755,+,0.289085123,3.437766153,1.236245486,0.266195869,TonB-dependent receptor,,,,,,,,Y,EZ55_03806,tier1:geneID
AEZ55_0231,2030.0,K03409,scf7180000008834,158351,158815,-,-0.137212543,5.998786011,0.3520017,0.552982198,CheC-like family protein,Y,,,,,,,,EZ55_03793,tier1:geneID
AEZ55_0254,1230.0,K01652,scf7180000008834,178159,179799,+,1.39e-16,-0.66713161,0.0,1.0,acetolactate synthase,,Y,,,,,,,EZ55_03774,tier1:geneID
AEZ55_0303,3010.0,K02867,scf7180000008834,224504,224932,+,0.480349185,9.008709141,2.505604066,0.113441979,ribosomal protein L11,,,,,,,Y,,EZ55_03729,tier1:geneID
AEZ55_0304,3010.0,K02863,scf7180000008834,224937,225632,+,0.57166412,9.218462888,2.922052798,0.087376641,ribosomal protein L1,,,,,,,Y,,EZ55_03728,tier1:geneID
AEZ55_0305,3010.0,K02864,scf7180000008834,225939,226457,+,1.127604534,9.629920313,8.451569404,0.003647286,ribosomal protein L10,,,,,,,Y,,EZ55_03727,tier1:geneID
AEZ55_0306,3010.0,K02935,scf7180000008834,226514,226891,+,1.333981091,8.13565987,14.32026978,0.000154196,ribosomal protein L7/L12,,,,,,,Y,,EZ55_03726,tier1:geneID
AEZ55_0312,3010.0,K02950,scf7180000008834,235809,236183,+,0.580834735,9.754949061,2.813357907,0.093482515,ribosomal protein S12,,,,,,,Y,,EZ55_03723,tier1:geneID
AEZ55_0313,3010.0,K02992,scf7180000008834,236259,236729,+,0.580757949,9.301767456,2.626299453,0.105106426,ribosomal protein S7,,,,,,,Y,,EZ55_03722,tier1:geneID
AEZ55_0319,,K16090,scf7180000008834,243010,245328,+,0.881002864,4.31561816,9.559920199,0.001988718,TonB-dependent siderophore receptor,,,,,,,,Y,EZ55_03717,tier1:geneID
AEZ55_0323,,K19611,scf7180000008834,247625,249916,+,1.208230629,3.607861382,13.87105885,0.00019579,TonB-dependent siderophore receptor,,,,,,,,Y,EZ55_03714,tier1:geneID
AEZ55_0328,,,scf7180000008834,253001,253621,+,1.229097485,2.435301875,14.26217645,0.000159029,TonB family C-terminal domain protein,,,,,,,,Y,EZ55_03709,tier1:geneID
AEZ55_0341,,,scf7180000008834,265845,267023,+,0.105114738,4.638538163,0.143667015,0.704662379,gram-negative bacterial TonB protein,,,,,,,,Y,EZ55_03697,tier1:geneID
AEZ55_0379,1200.0,K00297,scf7180000008834,302728,303630,-,-0.255925656,6.632830526,0.396218982,0.529048421,"5,10-methylenetetrahydrofolate reductase",,,Y,,,,,,EZ55_03662,tier1:geneID
AEZ55_0381,1200.0,K00029,scf7180000008834,304273,305508,-,1.170228449,8.892276289,8.492861179,0.003565427,"malic enzyme, NAD binding domain protein",,,Y,,,,,,EZ55_03660,tier1:geneID
AEZ55_0384,3010.0,K02909,scf7180000008834,306710,306922,-,0.377414948,5.09925183,2.687963377,0.101108972,ribosomal protein L31,,,,,,,Y,,EZ55_03658,tier1:geneID
AEZ55_0414,,K02014,scf7180000008834,335898,338015,+,0.285238412,4.766205743,1.468841992,0.22552849,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03632,tier1:geneID
AEZ55_0451,,,scf7180000008834,388388,390751,+,-0.142124215,5.384892244,0.420299633,0.516787571,TonB-dependent receptor,,,,,,,,Y,EZ55_03601,tier1:geneID
AEZ55_0461,3010.0,K02874,scf7180000008834,404057,404425,+,0.263637807,10.06566088,0.624690987,0.429309409,ribosomal protein L14,,,,,,,Y,,EZ55_03590,tier1:geneID
