Synonym,Product,Expression med4 t=20+0.01,Expression med4+1a3 t=20 +0.01,q Value,log 2 fold change coculture/axenic,locus_tag
PMM0735,hypothetical protein,56.01,0.01,0.0,12.45146871,PMM0735
PMM1538,50S ribosomal protein L36,175.01,1.01,0.0,7.436938256,PMM1538
PMM1392,heat-labile enterotoxin subunit alpha,50.01,2.01,8.1200000000000005e-56,4.636949199,PMM1392
PMM0417,hypothetical protein,86.01,6.01,1.88e-25,3.839067509,PMM0417
PMM0647,hypothetical protein,35.01,3.01,3.93e-14,3.53993167,PMM0647
PMM0345,bacterioferritin comigratory protein,56.01,5.01,3.98e-17,3.48280192,PMM0345
PMM0501,hypothetical protein,75.01,10.01,1.54e-06,2.905640968,PMM0501
PMM0537,phosphoribosylanthranilate isomerase,15.01,2.01,1.35e-05,2.90065657,PMM0537
PMM1053,hypothetical protein,15.01,2.01,0.000503,2.90065657,PMM1053
PMM0181,hypothetical protein,114.01,17.01,2.6e-05,2.744705325,PMM0181
PMM0242,thioredoxin-like protein TxlA,33.01,5.01,2.53e-05,2.72002063,PMM0242
PMM0014,tRNA-dihydrouridine synthase A,39.01,6.01,4.21e-07,2.698407102,PMM0014
PMM1047,dienelactone hydrolase,13.01,2.01,5.67e-05,2.694353556,PMM1047
PMM0660,RNA recognition motif-containing protein,113.01,18.01,4.55e-06,2.649580353,PMM0660
PMM0798,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase,30.01,5.01,0.000386,2.58256081,PMM0798
PMM0636,isochorismatase hydrolase family protein,39.01,7.01,0.000853,2.476357649,PMM0636
PMM0394,hypothetical protein,50.01,9.01,3.84e-05,2.472617594,PMM0394
PMM0596,glucokinase,16.01,3.01,0.014590444,2.411137916,PMM0596
PMM1513,hypothetical protein,31.01,6.01,0.003267006,2.36729663,PMM1513
PMM0911,hypothetical protein,15.01,3.01,0.041751523,2.318088585,PMM0911
PMM0287,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,73.01,16.01,0.000352,2.189120772,PMM0287
PMM0276,hypothetical protein,18.01,4.01,0.033561542,2.167124039,PMM0276
PMM0344,hypothetical protein,54.01,13.01,0.035562189,2.053605586,PMM0344
PMM0087,hypothetical protein,65.01,16.01,0.013214198,2.021688346,PMM0087
PMM0006,hypothetical protein,42.01,11.01,0.003501913,1.931918317,PMM0006
PMM1015,hypothetical protein,42.01,11.01,0.045385938,1.931918317,PMM1015
PMM0772,hypothetical protein,38.01,10.01,0.03047356,1.924937051,PMM0772
PMM0463,hypothetical protein,34.01,9.01,0.046667738,1.916359995,PMM0463
PMM1126,hypothetical protein,11.01,3.01,0.033087122,1.870979077,PMM1126
PMM1461,7-cyano-7-deazaguanine reductase,64.01,18.01,0.017721493,1.829499127,PMM1461
PMM0524,phage integrase family protein,42.01,12.01,0.004381393,1.806496635,PMM0524
PMM0841,methionyl-tRNA formyltransferase,45.01,13.01,0.004195857,1.790624603,PMM0841
PMM0011,protein phosphatase 2C,31.01,9.01,0.006761848,1.783134515,PMM0011
PMM1637,transcriptional regulator,96.01,28.01,0.002679364,1.777242695,PMM1637
PMM1359,hypothetical protein,47.01,14.01,0.026609921,1.746510725,PMM1359
PMM0833,hypothetical protein,36.01,11.01,0.040303964,1.709583131,PMM0833
PMM0888,diaminopimelate epimerase,64.01,21.01,0.021977502,1.607221147,PMM0888
PMM0800,hypothetical protein,357.01,119.01,0.017097072,1.584881682,PMM0800
PMM0924,hypothetical protein,51.01,17.01,0.022740627,1.58439696,PMM0924
PMM1331,hypothetical protein,85.01,30.01,0.041715636,1.502189241,PMM1331
PMM1400,hemagglutinin-neuraminidase,130.01,47.01,0.033162943,1.46758301,PMM1400
PMM1644,photosystem II reaction center protein Z,836.01,355.01,0.033342468,1.235660536,PMM1644
PMM1119,porin,773.01,2860.01,0.038745446,-1.887461209,PMM1119
PMM1494,translation initiation factor IF-2,135.01,539.01,0.036150818,-1.997245769,PMM1494
PMM0051,hypothetical protein,366.01,1733.01,0.044091733,-2.243325008,PMM0051
PMM1510,30S ribosomal protein S7,629.01,3043.01,0.027772586,-2.274344217,PMM1510
PMM1667,hypothetical protein,807.01,3922.01,0.041782706,-2.280934758,PMM1667
PMM0318,protein methyltransferase,115.01,581.01,0.026609921,-2.336803687,PMM0318
PMM0970,"urea ABC transporter, substrate binding protein",171.01,887.01,0.020429654,-2.374869679,PMM0970
PMM1157,photosystem II PsbD protein (D2),530.01,2759.01,0.000722,-2.380059201,PMM1157
PMM1313,ATP-dependent Clp protease-like protein,123.01,678.01,0.020158374,-2.462530949,PMM1313
PMM1113,two-component response regulator,149.01,838.01,0.007696323,-2.491558307,PMM1113
PMM1186,inner membrane protein translocase component YidC,214.01,1208.01,0.007781884,-2.496882282,PMM1186
PMM1541,50S ribosomal protein L15,103.01,589.01,0.033342468,-2.51550773,PMM1541
PMM1341,two-component sensor histidine kinase,30.01,173.01,0.016015445,-2.527340204,PMM1341
