gi_id,refseq_protein_id,description,molecular_weight_da,mascot_probability_pct,predicted_localization,vesicle_proteome_member,resolved_locus_tag,resolution_method
33862463,NP_894023.1,LysM domain-containing protein,51020.8,97.7,Unknown,True,,unresolved
33862536,NP_894096.1,Possible pilin,17169.3,99.8,Extracellular,True,,unresolved
33862667,NP_894227.1,Cell wall hydrolase/autolysin,38871.4,99.9,Unknown,True,,unresolved
33862915,NP_894475.1,Hypothetical protein,28722.2,100.0,Outer Membrane,True,,unresolved
33863048,NP_894608.1,Carboxyl-terminal processing protease,48733.7,88.0,Unknown,True,,unresolved
33863264,NP_894824.1,"ABC transporter, substrate binding protein, phosphate",34297.4,89.0,Periplasmic,True,,unresolved
33863364,NP_894924.1,Hypothetical protein,18740.9,99.8,Unknown,True,,unresolved
33863369,NP_894929.1,Possible cAMP phosphodiesterase class-II,14691.4,99.8,Unknown,True,,unresolved
33863565,NP_895125.1,Hypothetical protein,63849.6,100.0,Cytoplasmic,True,,unresolved
33863660,NP_895220.1,Hypothetical protein,18329.3,87.2,Cytoplasmic,True,,unresolved
33863680,NP_895240.1,Chloroplast outer envelope membrane protein homolog,82961.2,100.0,Outer Membrane,True,,unresolved
33863780,NP_895340.1,Hypothetical protein,35923.6,87.6,Outer Membrane,True,,unresolved
33863782,NP_895342.1,Sulfatase,87437.9,98.4,Unknown,True,,unresolved
33863784,NP_895344.1,"Possible ABC transporter, solute binding protein",31284.7,98.6,Periplasmic,True,,unresolved
33863788,NP_895348.1,Hypothetical protein,56269.2,99.3,Unknown,True,,unresolved
33863790,NP_895350.1,Hypothetical protein,17057.0,89.0,Unknown,True,,unresolved
33863866,NP_895426.1,Putative magnesium chelatase family protein,11035.6,89.0,Cytoplasmic,True,,unresolved
33863867,NP_895427.1,Hypothetical protein,25709.4,100.0,Unknown,True,,unresolved
33863886,NP_895446.1,Possible protein phosphatase 2C,25307.4,100.0,Extracellular,True,,unresolved
33863903,NP_895463.1,Possible serine protease,40509.3,100.0,Periplasmic,True,,unresolved
33864108,NP_895668.1,Hypothetical protein,114133.8,99.8,Unknown,True,,unresolved
33864141,NP_895701.1,Hypothetical protein,25745.7,100.0,Unknown,True,,unresolved
33864244,NP_895804.1,Possible porin,62197.2,100.0,Extracellular,True,,unresolved
33864366,NP_895926.1,Hypothetical protein,26487.3,99.8,Unknown,True,,unresolved
33864411,NP_895971.1,Hypothetical protein,28534.4,99.8,Unknown,True,,unresolved
33864417,NP_895977.1,Hypothetical protein,80122.5,99.9,Unknown,True,,unresolved
33864493,NP_896053.1,"Putative urea ABC transporter, substrate binding protein",47029.6,89.0,Unknown,True,,unresolved
