SeqID	Localization	Score
WP_006041398.1 MULTISPECIES: cytochrome b6-f complex subunit PetN [Synechococcales]	CytoplasmicMembrane	9.86
WP_006041809.1 MULTISPECIES: translation initiation factor IF-1 [Synechococcales]	Cytoplasmic	9.97
WP_006042532.1 MULTISPECIES: hypothetical protein [Synechococcales]	Unknown	2.00
WP_006043540.1 MULTISPECIES: hyperconserved protein Hcp [Cyanophyceae]	Unknown	2.00
WP_011129402.1 MULTISPECIES: sulfurtransferase TusA family protein [Prochlorococcus]	Unknown	2.00
WP_011129410.1 MULTISPECIES: elongation factor P [Prochlorococcus]	Cytoplasmic	10.00
WP_011129434.1 MULTISPECIES: 50S ribosomal protein L20 [Prochlorococcus]	Cytoplasmic	9.26
WP_011129435.1 MULTISPECIES: 50S ribosomal protein L35 [Prochlorococcus]	Cytoplasmic	9.26
WP_011129459.1 MULTISPECIES: photosystem II reaction center protein PsbZ [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011129520.1 MULTISPECIES: single-stranded DNA-binding protein [Prochlorococcus]	Cytoplasmic	9.26
WP_011129521.1 MULTISPECIES: rod shape-determining protein [Prochlorococcus]	Cytoplasmic	9.97
WP_011129573.1 MULTISPECIES: DUF1651 domain-containing protein [Prochlorococcus]	Unknown	2.00
WP_011129603.1 MULTISPECIES: cysteine synthase A [Prochlorococcus]	Cytoplasmic	9.97
WP_011129606.1 MULTISPECIES: 30S ribosomal protein S4 [Prochlorococcus]	Cytoplasmic	9.97
WP_011129633.1 MULTISPECIES: NifU family protein [Prochlorococcus]	Unknown	2.00
WP_011129688.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011129694.1 MULTISPECIES: ATP-dependent Clp protease proteolytic subunit [Prochlorococcus]	Cytoplasmic	9.97
WP_011129731.1 MULTISPECIES: Bax inhibitor-1 family protein [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011129736.1 MULTISPECIES: TIGR03792 family protein [Prochlorococcus]	Cytoplasmic	8.96
WP_011129739.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011129759.1 MULTISPECIES: transcriptional repressor LexA [Prochlorococcus]	Cytoplasmic	9.26
WP_011129768.1 MULTISPECIES: acetate--CoA ligase [Prochlorococcus]	Cytoplasmic	9.97
WP_011129784.1 MULTISPECIES: 1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus]	Cytoplasmic	9.97
WP_011129805.1 MULTISPECIES: homoserine kinase [Prochlorococcus]	Unknown	2.00
WP_011129818.1 MULTISPECIES: Ycf51 family protein [Prochlorococcus]	Unknown	2.00
WP_011129820.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.50
WP_011129836.1 MULTISPECIES: YkvA family protein [Prochlorococcus]	Unknown	2.00
WP_011129842.1 MULTISPECIES: YciI family protein [Prochlorococcus]	Unknown	2.00
WP_011129843.1 MULTISPECIES: AbrB family transcriptional regulator [Prochlorococcus]	Unknown	2.00
WP_011129874.1 MULTISPECIES: ferritin [Prochlorococcus]	Cytoplasmic	9.97
WP_011129888.1 MULTISPECIES: c-type cytochrome [Prochlorococcus]	Periplasmic	9.84
WP_011129906.1 MULTISPECIES: DUF3727 domain-containing protein [Prochlorococcus]	Cytoplasmic	8.96
WP_011129909.1 MULTISPECIES: UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [Prochlorococcus]	Unknown	2.00
WP_011129911.1 MULTISPECIES: phosphoribulokinase [Prochlorococcus]	Cytoplasmic	8.96
WP_011129912.1 MULTISPECIES: prepilin peptidase [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011129913.1 MULTISPECIES: acetyl-CoA carboxylase, carboxyltransferase subunit beta [Prochlorococcus]	Cytoplasmic	9.97
WP_011129914.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011129917.1 MULTISPECIES: S66 peptidase family protein [Prochlorococcus]	CytoplasmicMembrane	9.76
WP_011129918.1 MULTISPECIES: phosphoribosylformylglycinamidine synthase subunit PurQ [Prochlorococcus]	Cytoplasmic	9.97
WP_011129920.1 MULTISPECIES: 2-oxoacid:acceptor oxidoreductase family protein [Prochlorococcus]	Cytoplasmic	8.96
WP_011129924.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011129926.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011129938.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.50
WP_011129940.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Cytoplasmic	8.96
WP_011129945.1 MULTISPECIES: glucose-1-phosphate adenylyltransferase [Prochlorococcus]	Unknown	2.00
WP_011129947.1 MULTISPECIES: class II fructose-bisphosphatase [Prochlorococcus]	Cytoplasmic	9.97
WP_011129948.1 MULTISPECIES: ribulose-phosphate 3-epimerase [Prochlorococcus]	Cytoplasmic	9.97
WP_011129954.1 MULTISPECIES: translational GTPase TypA [Prochlorococcus]	CytoplasmicMembrane	7.88
WP_011129956.1 MULTISPECIES: geranylgeranyl reductase [Prochlorococcus]	Cytoplasmic	8.96
WP_011129962.1 MULTISPECIES: translation elongation factor Ts [Prochlorococcus]	Cytoplasmic	10.00
WP_011129963.1 MULTISPECIES: 30S ribosomal protein S2 [Prochlorococcus]	Cytoplasmic	9.97
WP_011129965.1 MULTISPECIES: hypothetical protein [Synechococcales]	Unknown	2.00
WP_011129973.1 MULTISPECIES: biotin transporter BioY [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011129983.1 MULTISPECIES: photosystem II reaction center protein Psb28 [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011129988.1 MULTISPECIES: DUF6439 family protein [Prochlorococcus]	Unknown	2.00
WP_011129989.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011129990.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011129991.1 MULTISPECIES: class I SAM-dependent methyltransferase [Prochlorococcus]	Cytoplasmic	8.96
WP_011129997.1 MULTISPECIES: pyruvate dehydrogenase complex E1 component subunit beta [Prochlorococcus]	Cytoplasmic	9.97
WP_011130024.1 MULTISPECIES: 30S ribosomal protein S15 [Prochlorococcus]	Cytoplasmic	9.26
WP_011130043.1 MULTISPECIES: glycoside hydrolase family 104 protein [Prochlorococcus]	Unknown	2.50
WP_011130051.1 MULTISPECIES: ATP-dependent Clp protease adapter ClpS [Prochlorococcus]	Unknown	2.00
WP_011130058.1 MULTISPECIES: nucleoside triphosphate pyrophosphohydrolase family protein [Prochlorococcus]	Unknown	2.00
WP_011130065.1 MULTISPECIES: photosystem I reaction center subunit PsaK [Prochlorococcus]	Unknown	2.50
WP_011130073.1 MULTISPECIES: 50S ribosomal protein L28 [Prochlorococcus]	Cytoplasmic	9.26
WP_011130080.1 MULTISPECIES: phosphate ABC transporter permease subunit PstC [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011130100.1 MULTISPECIES: pantetheine-phosphate adenylyltransferase [Prochlorococcus]	Cytoplasmic	9.26
WP_011130108.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011130118.1 MULTISPECIES: 30S ribosomal protein S18 [Prochlorococcus]	Cytoplasmic	9.26
WP_011130137.1 MULTISPECIES: DUF565 domain-containing protein [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011130165.1 MULTISPECIES: DUF3531 family protein [Prochlorococcus]	Cytoplasmic	8.96
WP_011130187.1 MULTISPECIES: DUF3038 domain-containing protein [Prochlorococcus]	Unknown	2.00
WP_011130189.1 MULTISPECIES: DUF2949 domain-containing protein [Prochlorococcus]	Unknown	2.00
WP_011130191.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011130277.1 MULTISPECIES: SulP family inorganic anion transporter [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011130280.1 MULTISPECIES: DUF2811 domain-containing protein [Prochlorococcus]	Unknown	2.00
WP_011130339.1 MULTISPECIES: metallophosphoesterase family protein [Prochlorococcus]	Cytoplasmic	8.96
WP_011130342.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011130345.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011130361.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	Unknown	2.00
WP_011130364.1 MULTISPECIES: high light inducible protein [unclassified Prochlorococcus]	Unknown	2.00
WP_011130391.1 MULTISPECIES: DUF4079 domain-containing protein [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011130394.1 MULTISPECIES: 30S ribosomal protein S21 [Prochlorococcus]	Unknown	2.00
WP_011130397.1 MULTISPECIES: MAPEG family protein [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011130417.1 MULTISPECIES: hypothetical protein [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011130418.1 MULTISPECIES: chlorophyll a/b binding light-harvesting protein [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011130420.1 MULTISPECIES: photosystem II protein Y [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011130429.1 MULTISPECIES: isoprenyl transferase [Prochlorococcus]	Cytoplasmic	9.97
WP_011130431.1 MULTISPECIES: diaminopimelate decarboxylase [Prochlorococcus]	Cytoplasmic	9.97
WP_011130466.1 MULTISPECIES: BolA family protein [Prochlorococcus]	Unknown	2.00
WP_011130467.1 MULTISPECIES: Grx4 family monothiol glutaredoxin [Prochlorococcus]	Unknown	2.00
WP_011130468.1 MULTISPECIES: DUF6761 family protein [Prochlorococcus]	Unknown	2.00
WP_011130478.1 MULTISPECIES: GAP family protein [Prochlorococcus]	CytoplasmicMembrane	10.00
WP_011130493.1 MULTISPECIES: 2-isopropylmalate synthase [Prochlorococcus]	Cytoplasmic	9.97
WP_011130499.1 MULTISPECIES: thioredoxin [Prochlorococcus]	Cytoplasmic	9.26
WP_011130502.1 MULTISPECIES: cytochrome b6-f complex subunit V [Prochlorococcus]	CytoplasmicMembrane	9.82
WP_011130508.1 MULTISPECIES: crossover junction endodeoxyribonuclease RuvC [Prochlorococcus]	Cytoplasmic	9.97
WP_011130525.1 MULTISPECIES: high light inducible protein [Prochlorococcus]	Unknown	2.00
WP_011130544.1 MULTISPECIES: cytochrome b6-f complex subunit PetM [Synechococcales]	CytoplasmicMembrane	9.82
