alt_id,locus_tag,source_col,source_csv,paper
PMN2A_0001,PMN2A_0001,NCBI ID_3,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_RS02940,PMN2A_0001,NCBI ID_2,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
NATL2_06021,PMN2A_0001,NCBI ID,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
dnaA,PMN2A_0001,Gene Name,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_0001,PMN2A_0001,NCBI ID_3,Supplemental Table 2.csv,Coe 2024
PMN2A_RS02940,PMN2A_0001,NCBI ID_2,Supplemental Table 2.csv,Coe 2024
NATL2_06021,PMN2A_0001,NCBI ID,Supplemental Table 2.csv,Coe 2024
cds-WP_011293535.1,PMN2A_0001,Gene ID,Supplemental Table 2.csv,Coe 2024
dnaA,PMN2A_0001,Gene Name,Supplemental Table 2.csv,Coe 2024
PMN2A_0002,PMN2A_0002,NCBI ID_3,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_RS02945,PMN2A_0002,NCBI ID_2,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
NATL2_06031,PMN2A_0002,NCBI ID,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_0002,PMN2A_0002,NCBI ID_3,Supplemental Table 2.csv,Coe 2024
PMN2A_RS02945,PMN2A_0002,NCBI ID_2,Supplemental Table 2.csv,Coe 2024
NATL2_06031,PMN2A_0002,NCBI ID,Supplemental Table 2.csv,Coe 2024
cds-WP_011293536.1,PMN2A_0002,Gene ID,Supplemental Table 2.csv,Coe 2024
PMN2A_0003,PMN2A_0003,NCBI ID_3,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_RS02950,PMN2A_0003,NCBI ID_2,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
NATL2_06041,PMN2A_0003,NCBI ID,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
gor,PMN2A_0003,Gene Name,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_0003,PMN2A_0003,NCBI ID_3,Supplemental Table 2.csv,Coe 2024
PMN2A_RS02950,PMN2A_0003,NCBI ID_2,Supplemental Table 2.csv,Coe 2024
NATL2_06041,PMN2A_0003,NCBI ID,Supplemental Table 2.csv,Coe 2024
cds-WP_011293537.1,PMN2A_0003,Gene ID,Supplemental Table 2.csv,Coe 2024
gor,PMN2A_0003,Gene Name,Supplemental Table 2.csv,Coe 2024
PMN2A_0004,PMN2A_0004,NCBI ID_3,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
PMN2A_RS02955,PMN2A_0004,NCBI ID_2,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
NATL2_06051,PMN2A_0004,NCBI ID,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
ECM27,PMN2A_0004,Gene Name,table S3 DE genes natl2a axenic extended darkness sys003182233st3.csv,Biller 2018
