SeqID	Localization	Score
WP_006043540.1 MULTISPECIES: hyperconserved protein Hcp [Cyanophyceae]	Unknown	2.00
WP_009788866.1 MULTISPECIES: 30S ribosomal protein S10 [Synechococcales]	Cytoplasmic	9.26
WP_011125327.1 MULTISPECIES: high light inducible protein [Prochlorococcus]	Unknown	2.50
WP_011125758.1 MULTISPECIES: ATP synthase F0 subunit C [Prochlorococcus]	CytoplasmicMembrane	9.86
WP_011130577.1 MULTISPECIES: BMC domain-containing protein [Prochlorococcus]	Unknown	2.00
WP_011293535.1 chromosomal replication initiator protein DnaA [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293536.1 glutathione S-transferase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293537.1 glutathione-disulfide reductase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293538.1 calcium/sodium antiporter [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293539.1 dihydroorotase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293540.1 NAD(P)H-quinone oxidoreductase subunit L [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293541.1 DUF3007 family protein [Prochlorococcus marinus]	CytoplasmicMembrane	9.82
WP_011293542.1 tryptophan synthase subunit alpha [Prochlorococcus marinus]	Cytoplasmic	9.26
WP_011293543.1 YciI family protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293544.1 c-type cytochrome [Prochlorococcus marinus]	Unknown	2.00
WP_011293545.1 hypothetical protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293546.1 YkvA family protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293547.1 sigma-70 family RNA polymerase sigma factor [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293548.1 bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293549.1 6-carboxytetrahydropterin synthase [Prochlorococcus marinus]	Unknown	2.00
WP_011293550.1 ATP-dependent chaperone ClpB [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293551.1 MULTISPECIES: plastocyanin [Prochlorococcus]	Periplasmic	9.44
WP_011293552.1 NAD-dependent epimerase/dehydratase family protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293553.1 uroporphyrinogen decarboxylase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293554.1 1,4-alpha-glucan branching protein GlgB [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293555.1 CocE/NonD family hydrolase [Prochlorococcus marinus]	Unknown	2.00
WP_011293556.1 hypothetical protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293557.1 DUF4332 domain-containing protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293559.1 translocation/assembly module TamB [Prochlorococcus marinus]	Unknown	4.69
WP_011293560.1 glutamate-5-semialdehyde dehydrogenase [Prochlorococcus marinus]	Cytoplasmic	9.94
WP_011293561.1 dihydroneopterin aldolase [Prochlorococcus marinus]	Unknown	2.00
WP_011293562.1 esterase/lipase family protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293563.1 M3 family metallopeptidase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293565.1 homoserine kinase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293566.1 glucokinase [Prochlorococcus marinus]	Cytoplasmic	9.26
WP_011293567.1 threonine--tRNA ligase [Prochlorococcus marinus]	Cytoplasmic	10.00
WP_011293568.1 tryptophan--tRNA ligase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293569.1 hypothetical protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293570.1 YcjF family protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293571.1 metal ABC transporter substrate-binding protein [Prochlorococcus marinus]	Periplasmic	9.44
WP_011293572.1 metal ABC transporter ATP-binding protein [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293573.1 metal ABC transporter permease [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293574.1 DUF4336 domain-containing protein [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293575.1 MULTISPECIES: DUF760 domain-containing protein [Prochlorococcus]	Unknown	2.00
WP_011293576.1 signal peptidase I [Prochlorococcus marinus]	CytoplasmicMembrane	9.82
WP_011293577.1 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293578.1 1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus marinus]	Cytoplasmic	9.26
WP_011293579.1 glycogen synthase GlgA [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293580.1 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Prochlorococcus marinus]	Unknown	7.33
WP_011293581.1 bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293582.1 MnmC family methyltransferase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293583.1 3-phosphoshikimate 1-carboxyvinyltransferase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293585.1 2-phosphosulfolactate phosphatase family protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293586.1 carbon-nitrogen hydrolase family protein [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293587.1 N-acetylmuramoyl-L-alanine amidase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293588.1 glutamate racemase [Prochlorococcus marinus]	Unknown	2.00
WP_011293589.1 solanesyl diphosphate synthase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293590.1 HAD family hydrolase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293591.1 acetate--CoA ligase [Prochlorococcus marinus]	Cytoplasmic	9.26
WP_011293592.1 DUF1350 family protein [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293593.1 3'-5' exonuclease [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293594.1 hypothetical protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293595.1 histidine--tRNA ligase [Prochlorococcus marinus]	Cytoplasmic	10.00
WP_011293596.1 nucleotide sugar dehydrogenase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293598.1 TIGR02450 family Trp-rich protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293599.1 hypothetical protein [Prochlorococcus marinus]	Unknown	2.00
WP_011293600.1 chlorophyll a/b binding light-harvesting protein [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293601.1 sodium/glutamate symporter [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293602.1 hypothetical protein [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293603.1 glutathione S-transferase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293604.1 GIY-YIG nuclease family protein [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293605.1 hypothetical protein [Prochlorococcus marinus]	CytoplasmicMembrane	9.82
WP_011293606.1 SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293607.1 lycopene beta cyclase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293608.1 SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus]	Unknown	2.00
WP_011293609.1 mechanosensitive ion channel family protein [Prochlorococcus marinus]	CytoplasmicMembrane	10.00
WP_011293610.1 isochorismatase family protein [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293612.1 arsenosugar biosynthesis radical SAM (seleno)protein ArsS [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293614.1 hypothetical protein [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293616.1 hypothetical protein [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293618.1 homoserine O-succinyltransferase [Prochlorococcus marinus]	Cytoplasmic	9.97
WP_011293620.1 sirohydrochlorin chelatase [Prochlorococcus marinus]	Cytoplasmic	8.96
WP_011293621.1 DUF2811 domain-containing protein [Prochlorococcus marinus]	Unknown	2.00
