Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1585073	INSDC	BX548174.1	341305	341478	-	CAP16329.1	Conserved hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1585073	RefSeq	NC_005072.1	341305	341478	-	WP_173027943.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1585073	RefSeq	NZ_CAJWDD010000013.1	11004	11177	+	WP_173027943.1	hypothetical protein	uncultured Prochlorococcus sp.		GCF_913031015.1
1585073	RefSeq	NZ_CBFHHZ010000007.1	23988	24161	+	WP_173027943.1	hypothetical protein	Prochlorococcus sp.		GCF_965655815.1
1585073	RefSeq	NZ_CP138914.1	1238260	1238433	-	WP_173027943.1	hypothetical protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1585073	RefSeq	NZ_CP138922.1	932605	932778	+	WP_173027943.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1585073	RefSeq	NZ_CP138923.1	1103100	1103273	+	WP_173027943.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1585073	RefSeq	NZ_CP138976.1	285413	285586	+	WP_173027943.1	hypothetical protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1585073	RefSeq	NZ_JNAG01000006.1	431195	431368	+	WP_173027943.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1585073	INSDC	JNAG01000006.1	431195	431368	+	KGF86320.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1585073	INSDC	JAOOHU010000039.1	3445	3618	-	MDC3029266.1	hypothetical protein	Prochlorococcus sp. AH-716-P20		GCA_028450405.1
1585073	INSDC	JAOOMD010000038.1	1798	1971	+	MDC3138186.1	hypothetical protein	Prochlorococcus sp. AH-716-I19		GCA_028409135.1
1585073	INSDC	JAOONA010000052.1	570	743	-	MDC3159861.1	hypothetical protein	Prochlorococcus sp. AH-716-G10		GCA_028409595.1
1585073	INSDC	JBJLEM010000004.1	16022	16195	+	MFL2880366.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
