symbol,product,logFC,PValue,locus_tag
EZ55_01738,hypothetical protein,-1.850590858,0.002098257,EZ55_01738
EZ55_01737,glutathione S-transferase,-1.836315512,0.003490411,EZ55_01737
EZ55_01810,SM-20-related protein,-1.772884145,0.007615584,EZ55_01810
EZ55_01736,hypothetical protein,-1.767662503,0.002889565,EZ55_01736
EZ55_02372,hypothetical protein,-1.762287367,0.011772274,EZ55_02372
EZ55_02922,fucose permease,-1.604988601,0.001589168,EZ55_02922
EZ55_00368,SSU ribosomal protein S17P,-1.525510519,0.000591757,EZ55_00368
EZ55_00366,LSU ribosomal protein L16P,-1.473011078,0.000427404,EZ55_00366
EZ55_01395,glutathione synthase/RimK-type ligase-like,-1.470393847,0.002398011,EZ55_01395
EZ55_04065,ketol-acid reductoisomerase,-1.450472718,0.002675388,EZ55_04065
EZ55_00364,LSU ribosomal protein L22P,-1.439425334,0.000669075,EZ55_00364
EZ55_00365,SSU ribosomal protein S3P,-1.439410073,0.000590195,EZ55_00365
EZ55_00363,SSU ribosomal protein S19P,-1.43353087,0.000381037,EZ55_00363
EZ55_00367,LSU ribosomal protein L29P,-1.419557042,0.001650004,EZ55_00367
EZ55_00911,hypothetical protein,-1.386169523,0.003495376,
EZ55_02434,D-altronate dehydratase,-1.368172768,0.003635501,EZ55_02434
EZ55_02586,hypothetical protein,-1.339944296,0.035436815,EZ55_02586
EZ55_01485,propionyl-CoA synthetase,-1.27693739,0.000320572,EZ55_01485
EZ55_03499,putative solute:sodium symporter small subunit,-1.261015549,0.005277145,EZ55_03499
EZ55_04080,hypothetical protein,-1.196802963,6.66e-05,EZ55_04080
EZ55_00362,LSU ribosomal protein L2P,-1.190006736,0.002328859,EZ55_00362
EZ55_02876,betaine aldehyde dehydrogenase,-1.187745665,0.018476189,EZ55_02876
EZ55_03508,hypothetical protein,-1.171102566,0.002953956,EZ55_03508
EZ55_00444,N-acetyl-gamma-glutamyl-phosphate reductase,-1.130493416,0.005691245,EZ55_00444
EZ55_03892,glutamine--fructose-6-phosphate transaminase,-1.121097533,0.000569282,EZ55_03892
EZ55_04113,F-type H+-transporting ATPase subunit alpha,-1.113069457,0.005631354,EZ55_04113
EZ55_02884,hypothetical protein,-1.087693183,0.02741624,EZ55_02884
EZ55_04112,ATP synthase F1 subcomplex gamma subunit,-1.077629697,0.014299878,EZ55_04112
EZ55_03904,NAD(P) transhydrogenase subunit alpha,-1.039948411,0.016217616,EZ55_03904
EZ55_03498,cation/acetate symporter,-1.035659461,0.018037313,EZ55_03498
EZ55_00361,LSU ribosomal protein L23P,-1.032230787,0.007113664,EZ55_00361
EZ55_04282,benzaldehyde dehydrogenase (NAD+),-1.024931633,0.007619528,EZ55_04282
EZ55_02711,type IV pilus assembly protein PilW,1.00630231,0.003684151,EZ55_02711
EZ55_02158,hypothetical protein,1.010771503,0.040648239,EZ55_02158
EZ55_00300,cobalt-zinc-cadmium efflux system membrane fusion,1.018834751,0.001991317,EZ55_00300
EZ55_01831,putative thiamine transport system ATP-binding,1.03453144,0.003659849,EZ55_01831
EZ55_02929,Ca-activated chloride channel family protein,1.047569049,0.039643876,EZ55_02929
EZ55_01353,predicted patatin/cPLA2 family phospholipase,1.055010826,0.008708364,EZ55_01353
EZ55_00776,hypothetical protein,1.061670453,0.024076104,EZ55_00776
EZ55_03111,hypothetical protein,1.08350053,0.00046887,EZ55_03111
EZ55_01830,putative thiamine transport system permease,1.220101966,0.004291373,EZ55_01830
EZ55_03442,lactoylglutathione lyase family protein,1.237334254,0.001389074,EZ55_03442
EZ55_00896,urocanate hydratase,1.263635481,0.000612587,EZ55_00896
EZ55_00897,histidine ammonia-lyase,1.303398485,0.000413986,EZ55_00897
EZ55_03328,hypothetical protein,1.310287295,0.041260856,EZ55_03328
EZ55_02014,glycosidase,1.31291984,0.000586656,EZ55_02014
EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,1.322863135,0.001713105,EZ55_01814
EZ55_03329,hypothetical protein,1.368391678,0.002459521,EZ55_03329
EZ55_02930,sortase A,1.370435043,0.010162051,EZ55_02930
EZ55_01581,L-ascorbate metabolism protein UlaG,1.390961314,0.000725665,EZ55_01581
EZ55_04098,TonB-dependent receptor,1.584531272,0.002867994,EZ55_04098
EZ55_02006,iron complex outermembrane receptor protein,1.592360974,0.000746089,EZ55_02006
EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,1.697528178,0.002656016,EZ55_03462
EZ55_00798,spondin N,1.80543817,0.004709734,EZ55_00798
EZ55_00433,catalase,1.827229331,0.000629487,EZ55_00433
EZ55_02317,alpha-amylase,1.9570313,2.14e-06,EZ55_02317
EZ55_02008,TonB-dependent receptor,2.083820578,1.2e-06,EZ55_02008
EZ55_03522,catalase,2.417058333,3.56e-05,EZ55_03522
EZ55_03523,hypothetical protein,2.97627728,3.68e-05,EZ55_03523
