locus_tag,island_id,product,resolved_locus_tag,resolution_method
Pro0054,SS120_1_58490_75287,glutamate N-acetyltransferase/amino-acid acetyltransferase,Pro0054,locus_tag:locus_tag
Pro0055,SS120_1_58490_75287,hydrogenase/urease accessory protein,Pro0055,locus_tag:locus_tag
Pro0056,SS120_1_58490_75287,ABC transporter family protein,Pro0056,locus_tag:locus_tag
Pro0057,SS120_1_58490_75287,UDP-glycosyltransferase/glycogen phosphorylase,Pro0057,locus_tag:locus_tag
Pro0058,SS120_1_58490_75287,asparagine synthase (glutamine-hydrolyzing),Pro0058,locus_tag:locus_tag
Pro0059,SS120_1_58490_75287,dolichyl-phosphate-mannose-mannosyltransferase family protein,Pro0059,locus_tag:locus_tag
Pro0060,SS120_1_58490_75287,Glycosyltransferase,Pro0060,locus_tag:locus_tag
Pro0061,SS120_1_58490_75287,conserved hypothetical protein,Pro0061,locus_tag:locus_tag
Pro0062,SS120_1_58490_75287,dolichyl-phosphate-mannose-mannosyltransferase family protein,Pro0062,locus_tag:locus_tag
Pro0063,SS120_1_58490_75287,"GDP-mannose 4,6-dehydratase",Pro0063,locus_tag:locus_tag
Pro0064,SS120_1_58490_75287,GDP-L-fucose synthase,Pro0064,locus_tag:locus_tag
PRO_RS03015,SS120_1_552787_679270,hypothetical protein,PRO_RS03015,locus_tag:locus_tag
PRO_RS03030,SS120_1_552787_679270,Conserved hypothetical protein,PRO_RS03030,locus_tag:locus_tag
PRO_RS03115,SS120_1_552787_679270,hypothetical protein,PRO_RS03115,locus_tag:locus_tag
PRO_RS03125,SS120_1_552787_679270,hypothetical protein,PRO_RS03125,locus_tag:locus_tag
PRO_RS03220,SS120_1_552787_679270,Hypothetical protein,PRO_RS03220,locus_tag:locus_tag
PRO_RS03315,SS120_1_552787_679270,hypothetical protein,PRO_RS03315,locus_tag:locus_tag
PRO_RS03380,SS120_1_552787_679270,Hypothetical protein,PRO_RS03380,locus_tag:locus_tag
PRO_RS03420,SS120_1_552787_679270,Conserved hypothetical protein,PRO_RS03420,locus_tag:locus_tag
PRO_RS03475,SS120_1_552787_679270,hypothetical protein,PRO_RS03475,locus_tag:locus_tag
PRO_RS03485,SS120_1_552787_679270,Conserved hypothetical protein,PRO_RS03485,locus_tag:locus_tag
PRO_RS09295,SS120_1_552787_679270,hypothetical protein,PRO_RS09295,locus_tag:locus_tag
PRO_RS09300,SS120_1_552787_679270,conserved hypothetical protein,PRO_RS09300,locus_tag:locus_tag
PRO_RS09310,SS120_1_552787_679270,hypothetical protein,PRO_RS09310,locus_tag:locus_tag
PRO_RS09315,SS120_1_552787_679270,Conserved hypothetical protein,PRO_RS09315,locus_tag:locus_tag
PRO_RS09325,SS120_1_552787_679270,Conserved hypothetical protein,PRO_RS09325,locus_tag:locus_tag
PRO_RS09340,SS120_1_552787_679270,hypothetical protein,PRO_RS09340,locus_tag:locus_tag
PRO_RS09370,SS120_1_552787_679270,Conserved hypothetical protein,PRO_RS09370,locus_tag:locus_tag
PRO_RS09560,SS120_1_552787_679270,chlorophyll a-b binding domain-containing protein,PRO_RS09560,locus_tag:locus_tag
PRO_RS09590,SS120_1_552787_679270,hypothetical protein,PRO_RS09590,locus_tag:locus_tag
PRO_RS09595,SS120_1_552787_679270,hypothetical protein,PRO_RS09595,locus_tag:locus_tag
Pro0585,SS120_1_552787_679270,methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing),Pro0585,locus_tag:locus_tag
Pro0586,SS120_1_552787_679270,photosystem II PsbY protein,Pro0586,locus_tag:locus_tag
Pro0587,SS120_1_552787_679270,conserved hypothetical protein,Pro0587,locus_tag:locus_tag
Pro0588,SS120_1_552787_679270,conserved hypothetical protein,Pro0588,locus_tag:locus_tag
