"JBrowse","Name","Species","SubCluster","Clade","SubClade","Pigment type","Sequencing center","Genome status","GenBank Acc.","RefSeq Acc.","Genome size","Contigs","CDS","rRNA","tRNA","GC %"
"","Cya_NS01","Cyanobium sp.","5.2","5.2","5.2B","1","Genoscope","Complete","CP047940","","2,748,087","1","2,937","9","46","67.9"
"","Cya_PCC6307","Cyanobium gracile","5.2","5.2","5.2B","1","JGI","Complete","CP003495","NC_019675.1","3,342,364","1","3,290","6","44","68.7"
"","Cya_PCC7001","Cyanobium sp.","5.2","5.2","5.2B","1","JCVI","WGS high quality","LT578417","NZ_DS990556.1","2,832,412","1","2,809","9","46","68.7"
"","Syn_A15-127","Synechococcus sp.","5.1","WPC1","WPC1","3c","Genoscope","Complete","CP047948","","2,543,463","1","2,817","6","44","60.6"
"","Syn_A15-24","Synechococcus sp.","5.1","III","IIIa","3c","CGR, Liverpool, UK","Complete","CP047960","","2,305,373","1","2,711","6","45","59.6"
"","Syn_A15-28","Synechococcus sp.","5.1","III","IIIb","3c","Genoscope","Complete","CP047931","","2,341,586","1","2,761","6","45","60.1"
"","Syn_A15-44","Synechococcus sp.","5.1","II","IIa","2","Genoscope","Complete","CP047938","","2,621,965","1","3,145","9","46","60.8"
"","Syn_A15-60","Synechococcus sp.","5.1","VII","VIIa","3c","Genoscope","Complete","CP047933","","2,543,402","1","3,030","6","44","58.2"
"","Syn_A15-62","Synechococcus sp.","5.1","II","IIc","3dB","Genoscope","Complete","CP047950","","2,294,140","1","2,780","6","44","59.9"
"","Syn_A18-25c","Synechococcus sp.","5.1","VII","VIIa","3c","CGR, Liverpool, UK","Complete","CP047957","","2,511,360","1","2,993","6","44","58.2"
"","Syn_A18-40","Synechococcus sp.","5.1","III","IIIa","3dB","CGR, Liverpool, UK","Complete","CP047956","","2,401,547","1","2,781","6","45","59.5"
"","Syn_A18-46.1","Synechococcus sp.","5.1","III","IIIa","3c","CGR, Liverpool, UK","Complete","CP047955","","2,471,770","1","2,900","6","46","59.3"
"","Syn_BIOS-E4-1","Synechococcus sp.","5.1","CRD1","CRD1b","3cA","Genoscope","WGS high quality","CP047935","","3,314,220","1","4,340","6","44","55.1"
"","Syn_BIOS-U3-1","Synechococcus sp.","5.1","CRD1","CRD1a","3dA","Genoscope","Complete","CP047936","","2,710,834","1","3,397","6","44","55"
"","Syn_BL107","Synechococcus sp.","5.1","IV","IVa","3dA","JCVI","WGS high quality","AATZ00000000","","2,285,035","1","2,506","6","42","55"
"","Syn_BMK-MC-1","Synechococcus sp.","5.1","V","V","2","Genoscope","Complete","CP047939","","2,601,150","1","3,042","6","44","60.4"
"","Syn_BOUM118","Synechococcus sp.","5.1","III","IIIa","3c","Genoscope","WGS high quality","CP047947","","2,326,334","1","2,742","6","44","59.8"
"","Syn_CB0101","Synechococcus sp.","5.2","5.2","5.2A","1","TIGR","WGS low quality","ADXL00000000","","2,691,045","1","3,012","Undefined","40","64.2"
"","Syn_CB0205","Synechococcus sp.","5.2","5.2","5.2A","2","TIGR","WGS low quality","ADXM00000000","","2,431,158","1","2,727","4","42","52"
"","Syn_CC9311","Synechococcus sp.","5.1","I","Ia","3dA","JGI","Complete","CP000435","NC_008319","2,606,749","1","2,931","6","44","52.5"
"","Syn_CC9605","Synechococcus sp.","5.1","II","IIc","3c","JGI","Complete","CP000110","NC_007516","2,510,660","1","2,739","6","44","59.2"
"","Syn_CC9616","Synechococcus sp.","5.1","EnvC","EnvC","3f","JGI","WGS high quality","AZXL00000000","","2,645,910","1","3,210","3","42","56.5"
"","Syn_CC9902","Synechococcus sp.","5.1","IV","IVa","3dA","JGI","Complete","CP000097","NC_007513","2,234,829","1","2,391","6","44","54.2"
"","Syn_KORDI-100","Synechococcus sp.","5.1","UC-A","UC-A","3f","KIOST","Complete","CP006269","NZ_CP006269","2,789,000","1","3,014","3","43","57.5"
"","Syn_KORDI-49","Synechococcus sp.","5.1","WPC1","WPC1","3aA","KIOST","Complete","CP006270","NZ_CP006270","2,585,813","1","2,672","6","44","61.4"
"","Syn_KORDI-52","Synechococcus sp.","5.1","II","IIa","3bB","KIOST","Complete","CP006271","NZ_CP006271","2,572,069","1","2,783","9","46","59.1"
"","Syn_M16.1","Synechococcus sp.","5.1","II","IIa","3a","Genoscope","Complete","CP047954","","2,112,236","1","2,501","6","45","61.4"
"","Syn_MEDNS5","Synechococcus sp.","5.1","VI","VIa","3c","Genoscope","Complete","CP047952","","2,284,343","1","2,723","6","45","59.1"
"","Syn_MINOS11","Synechococcus sp.","5.3","5.3","5.3","3dB","Genoscope","Complete","CP047953","","2,284,343","1","2,672","3","42","60.5"
"","Syn_MITS9220","Synechococcus sp.","5.1","CRD1","CRD1a","3dA","CGR, Liverpool, UK","Complete","CP047958","","2,424,175","1","3,023","6","44","56.4"
"","Syn_MVIR-18-1","Synechococcus sp.","5.1","I","Ib","3aA","Genoscope","Complete","CP047942","","2,451,974","1","3,003","6","44","53.4"
"","Syn_NOUM97013","Synechococcus sp.","5.1","VII","VIIb","3a","Genoscope","Complete","CP047941","","2,552,712","1","2,916","6","45","58.8"
"","Syn_PROS-7-1","Synechococcus sp.","5.1","VI","VIb","2","Genoscope","Complete","CP047945","","2,565,218","1","2,832","6","45","59.3"
"","Syn_PROS-9-1","Synechococcus sp.","5.1","I","Ib","3dA","CGR, Liverpool, UK","Complete","CP047961","","2,273,940","1","2,725","6","45","53.9"
"","Syn_PROS-U-1","Synechococcus sp.","5.1","II","IIh","3dB","Genoscope","Complete","CP047951","","2,576,003","1","3,100","6","45","58.4"
"","Syn_RCC307","Synechococcus sp.","5.3","5.3","5.3","3eA","Genoscope","Complete","CT978603","NC_009482","2,224,915","1","2,555","3","42","60.8"
"","Syn_ROS8604","Synechococcus sp.","5.1","I","Ib","3a","Genoscope","Complete","CP047946","","2,876,904","1","3,705","6","44","54"
"","Syn_RS9902","Synechococcus sp.","5.1","II","IIa","3c","Genoscope","Complete","CP047949","","2,481,217","1","2,933","9","46","59.8"
"","Syn_RS9907","Synechococcus sp.","5.1","II","IIa","3a","Genoscope","Complete","CP047944","","2,581,635","1","2,952","9","47","60.4"
"","Syn_RS9909","Synechococcus sp.","5.1","VIII","VIII","1","Genoscope","Complete","CP047943","","2,603,169","1","2,809","6","45","64.4"
"","Syn_RS9915","Synechococcus sp.","5.1","III","IIIa","3dB","Genoscope","WGS high quality","CP047934","","2,417,983","1","2,855","6","44","59.5"
"","Syn_RS9916","Synechococcus sp.","5.1","IX","IX","3dA","JCVI","WGS high quality","AAUA00000000","","2,664,874","1","2,885","6","42","59.8"
"","Syn_RS9917","Synechococcus sp.","5.1","VIII","VIII","1","JCVI","WGS high quality","AANP00000000","","2,584,919","1","2,781","6","42","64.8"
"","Syn_SYN20","Synechococcus sp.","5.1","I","Ib","3a","CGR, Liverpool, UK","Complete","CP047959","","2,728,628","1","3,363","6","44","53.4"
"","Syn_TAK9802","Synechococcus sp.","5.1","II","IIa","3a","Genoscope","Complete","CP047937","","2,190,394","1","2,651","6","45","60.8"
"","Syn_WH5701","Synechococcus sp.","5.2","5.2","5.2B","1","JCVI","WGS low quality","AANO00000000","","3,051,556","1","3,107","8","46","66"
"","Syn_WH7803","Synechococcus sp.","5.1","V","V","3a","Genoscope","Complete","CT971583","NC_009481.1","2,366,981","1","2,577","6","44","60.2"
"","Syn_WH7805","Synechococcus sp.","5.1","VI","VIa","2","JCVI","WGS high quality","AAOK00000000","","2,627,147","2","2,866","6","45","57.5"
"","Syn_WH8016","Synechococcus sp.","5.1","I","Ib","3aA","JGI","WGS high quality","NZ_AGIK00000000","NZ_AGIK00000000","2,695,643","1","3,000","3","43","54.1"
