Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9312,Q31DF2,Q31DF2_PROM9 Type II secretion system protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0032 PE=4 SV=1,secretion system protein,Outside cytoplasm,S,1.77E-08,7.33E-08,2.050230564
MIT9312,Q31AV4,RL33_PROM9 50S ribosomal protein L33 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmG PE=3 SV=2,50S ribosomal protein L33,Cytoplasm,J,2.66E-09,9.68E-09,1.864792563
MIT9312,Q318X3,Q318X3_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1512 PE=4 SV=1,hypothetical protein,Extracellular,S,1.83E-08,6.09E-08,1.735254033
MIT9312,Q31A57,Q31A57_PROM9 Adhesin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1179 PE=4 SV=1,Adhesin-like protein,Outer membrane,S,3.54E-09,7.71E-09,1.122944748
MIT9312,Q31BG4,Q31BG4_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0721 PE=3 SV=1,porin,Outer membrane,S,4.72E-09,9.28E-09,0.975011319
MIT9312,Q318J1,RL16_PROM9 50S ribosomal protein L16 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplP PE=3 SV=1,50S ribosomal protein L16,Cytoplasm,J,4.72E-09,8.76E-09,0.891353389
MIT9312,Q318K8,RL17_PROM9 50S ribosomal protein L17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplQ PE=3 SV=1,50S ribosomal protein L17,Cytoplasm,J,8.56E-09,1.56E-08,0.862100967
MIT9312,Q31AY7,RL28_PROM9 50S ribosomal protein L28 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmB PE=3 SV=1,50S ribosomal protein L28,Cytoplasm,J,4.13E-09,7.45E-09,0.850799291
MIT9312,Q319X2,Q319X2_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1264 PE=3 SV=1,hypothetical protein,Outside cytoplasm,M,2.45E-08,3.87E-08,0.659678133
MIT9312,Q318X0,Q318X0_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1515 PE=3 SV=1,porin,Inner membrane,M,1.10E-07,1.70E-07,0.633726757
MIT9312,Q317Y1,RL35_PROM9 50S ribosomal protein L35 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmI PE=3 SV=1,50S ribosomal protein L35,Cytoplasm,J,5.90E-09,9.15E-09,0.632619121
