gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2785712097	530	63.05	186	526	71	408	0.0e+00	475	COG0593	Chromosomal replication initiation ATPase DnaA	408
2785712098	366	44.14	1	366	1	364	4.0e-93	334	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2785712099	362	35.69	1	361	1	363	1.0e-80	293	COG1195	Recombinational DNA repair ATPase RecF	363
2785712100	806	65.71	2	558	1	556	0.0e+00	910	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2785712101	157	32.69	20	120	12	110	2.0e-10	58.8	COG3654	Prophage maintenance system killer protein	132
2785712104	447	18.88	46	437	33	385	3.0e-09	56.6	COG0732	Restriction endonuclease S subunit	391
2785712105	544	25.05	7	542	1	489	8.0e-59	221	COG0286	Type I restriction-modification system, DNA methylase subunit	489
2785712106	1037	22.08	3	959	1	898	6.0e-61	229	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	962
2785712107	67	31.82	1	66	2	67	2.0e-08	50.6	COG3655	DNA-binding transcriptional regulator, XRE family	73
2785712113	275	28.92	6	167	1	150	3.0e-10	59.6	COG2856	Zn-dependent peptidase ImmA, M78 family	213
2785712114	122	33.66	17	117	1	101	2.0e-05	41.2	COG1396	Transcriptional regulator, contains XRE-family HTH domain	120
2785712116	111	44.83	1	58	1	58	9.0e-09	52.2	COG3422	Uncharacterized conserved protein YegP, UPF0339 family	59
2785712123	692	53.54	1	691	1	691	0.0e+00	842	COG0751	Glycyl-tRNA synthetase, beta subunit	691
2785712124	301	78.86	3	300	1	298	0.0e+00	575	COG0752	Glycyl-tRNA synthetase, alpha subunit	298
2785712125	202	54.4	15	194	3	184	4.0e-74	270	COG2818	3-methyladenine DNA glycosylase Tag	188
2785712127	167	36.59	1	158	1	164	5.0e-17	80.9	COG3078	Ribosome assembly protein YihI, activator of Der GTPase	169
2785712129	207	42.19	1	127	1	121	7.0e-25	107	COG2863	Cytochrome c553	121
2785712130	211	55	1	199	1	200	1.0e-65	242	COG0218	GTP-binding protein EngB required for normal cell division	200
2785712131	930	58.54	329	930	1	593	0.0e+00	796	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	593
2785712132	217	57.87	1	216	1	215	8.0e-76	276	COG3155	Enhancing lycopene biosynthesis protein 2	217
2785712133	483	42.74	1	483	1	488	2.0e-100	359	COG0168	Trk-type K+ transport system, membrane component	499
2785712134	459	37.93	1	230	1	225	2.0e-46	180	COG0569	Trk K+ transport system, NAD-binding component	225
2785712135	439	37.68	98	436	1	353	2.0e-81	296	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	355
2785712136	316	51.32	4	303	1	302	3.0e-116	411	COG0223	Methionyl-tRNA formyltransferase	307
2785712137	169	58.93	1	164	1	168	2.0e-58	218	COG0242	Peptide deformylase	168
2785712139	369	39.12	9	367	3	350	5.0e-84	304	COG0758	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	350
2785712140	158	60.13	1	158	1	157	2.0e-50	191	COG2922	Uncharacterized conserved protein Smg, DUF494 family	157
2785712141	180	32.26	54	176	3	126	2.0e-18	85.6	COG0551	ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1	140
