am_hot1a3_id,locus_tag
AMHOT1A3_single_00001,ACZ81_19895
AMHOT1A3_single_00004,ACZ81_19900
AMHOT1A3_single_00005,ACZ81_19905
AMHOT1A3_single_00006,ACZ81_19910
AMHOT1A3_single_00007,ACZ81_19915
AMHOT1A3_single_00008,ACZ81_19920
AMHOT1A3_single_00009,ACZ81_19925
AMHOT1A3_single_00010,ACZ81_RS21035
AMHOT1A3_single_00011,ACZ81_19930
AMHOT1A3_single_00012,ACZ81_19935
AMHOT1A3_single_00013,ACZ81_00005
AMHOT1A3_single_00014,ACZ81_00010
AMHOT1A3_single_00015,ACZ81_00015
AMHOT1A3_single_00016,ACZ81_00020
AMHOT1A3_single_00017,ACZ81_00025
AMHOT1A3_single_00018,ACZ81_00030
AMHOT1A3_single_00019,ACZ81_00035
AMHOT1A3_single_00020,ACZ81_00040
AMHOT1A3_single_00021,ACZ81_00045
AMHOT1A3_single_00022,ACZ81_00050
AMHOT1A3_single_00023,ACZ81_00055
AMHOT1A3_single_00024,ACZ81_00060
AMHOT1A3_single_00025,ACZ81_00065
AMHOT1A3_single_00026,ACZ81_00070
AMHOT1A3_single_00027,ACZ81_00075
AMHOT1A3_single_00028,ACZ81_00080
AMHOT1A3_single_00029,ACZ81_00085
AMHOT1A3_single_00030,ACZ81_00090
AMHOT1A3_single_00031,ACZ81_00095
AMHOT1A3_single_00032,ACZ81_00100
AMHOT1A3_single_00033,ACZ81_00105
AMHOT1A3_single_00034,ACZ81_00110
AMHOT1A3_single_00035,ACZ81_00115
AMHOT1A3_single_00036,ACZ81_00120
AMHOT1A3_single_00037,ACZ81_00125
AMHOT1A3_single_00038,ACZ81_00130
AMHOT1A3_single_00039,ACZ81_00135
AMHOT1A3_single_00040,ACZ81_00140
AMHOT1A3_single_00041,ACZ81_00145
AMHOT1A3_single_00042,ACZ81_00150
AMHOT1A3_single_00043,ACZ81_00155
AMHOT1A3_single_00045,ACZ81_00180
AMHOT1A3_single_00046,ACZ81_00185
AMHOT1A3_single_00047,ACZ81_00190
AMHOT1A3_single_00048,ACZ81_00195
AMHOT1A3_single_00049,ACZ81_00200
AMHOT1A3_single_00050,ACZ81_00205
AMHOT1A3_single_00051,ACZ81_00210
AMHOT1A3_single_00052,ACZ81_00215
AMHOT1A3_single_00053,ACZ81_00220
AMHOT1A3_single_00054,ACZ81_00225
AMHOT1A3_single_00055,ACZ81_00230
AMHOT1A3_single_00056,ACZ81_00235
AMHOT1A3_single_00057,ACZ81_00240
AMHOT1A3_single_00058,ACZ81_00245
AMHOT1A3_single_00059,ACZ81_00250
AMHOT1A3_single_00060,ACZ81_00255
AMHOT1A3_single_00061,ACZ81_00260
AMHOT1A3_single_00062,ACZ81_00265
AMHOT1A3_single_00063,ACZ81_00270
AMHOT1A3_single_00064,ACZ81_00275
AMHOT1A3_single_00065,ACZ81_00280
AMHOT1A3_single_00066,ACZ81_00285
AMHOT1A3_single_00067,ACZ81_00290
AMHOT1A3_single_00068,ACZ81_00295
AMHOT1A3_single_00069,ACZ81_00300
AMHOT1A3_single_00070,ACZ81_00305
AMHOT1A3_single_00071,ACZ81_00310
AMHOT1A3_single_00072,ACZ81_00315
AMHOT1A3_single_00073,ACZ81_00320
AMHOT1A3_single_00074,ACZ81_00325
AMHOT1A3_single_00075,ACZ81_00330
AMHOT1A3_single_00076,ACZ81_00335
AMHOT1A3_single_00077,ACZ81_00340
AMHOT1A3_single_00078,ACZ81_00345
AMHOT1A3_single_00079,ACZ81_00350
AMHOT1A3_single_00080,ACZ81_00355
AMHOT1A3_single_00081,ACZ81_00360
AMHOT1A3_single_00083,ACZ81_00370
AMHOT1A3_single_00084,ACZ81_00375
AMHOT1A3_single_00085,ACZ81_00380
AMHOT1A3_single_00086,ACZ81_00385
AMHOT1A3_single_00087,ACZ81_00390
AMHOT1A3_single_00088,ACZ81_00395
AMHOT1A3_single_00089,ACZ81_00400
AMHOT1A3_single_00090,ACZ81_00405
AMHOT1A3_single_00091,ACZ81_RS21400
AMHOT1A3_single_00093,ACZ81_00420
AMHOT1A3_single_00094,ACZ81_00425
AMHOT1A3_single_00095,ACZ81_00430
AMHOT1A3_single_00096,ACZ81_00435
AMHOT1A3_single_00097,ACZ81_00440
AMHOT1A3_single_00098,ACZ81_00445
AMHOT1A3_single_00099,ACZ81_00450
AMHOT1A3_single_00100,ACZ81_00455
AMHOT1A3_single_00101,ACZ81_00460
AMHOT1A3_single_00102,ACZ81_00465
AMHOT1A3_single_00103,ACZ81_00470
AMHOT1A3_single_00104,ACZ81_00475
AMHOT1A3_single_00105,ACZ81_00480
AMHOT1A3_single_00106,ACZ81_00485
AMHOT1A3_single_00107,ACZ81_00490
AMHOT1A3_single_00108,ACZ81_00495
AMHOT1A3_single_00109,ACZ81_00500
AMHOT1A3_single_00111,ACZ81_00505
AMHOT1A3_single_00112,ACZ81_00510
AMHOT1A3_single_00113,ACZ81_00515
AMHOT1A3_single_00114,ACZ81_00520
AMHOT1A3_single_00115,ACZ81_00525
AMHOT1A3_single_00116,ACZ81_00530
AMHOT1A3_single_00117,ACZ81_00535
AMHOT1A3_single_00118,ACZ81_00540
AMHOT1A3_single_00119,ACZ81_00545
AMHOT1A3_single_00120,ACZ81_00550
AMHOT1A3_single_00121,ACZ81_00555
AMHOT1A3_single_00122,ACZ81_00560
AMHOT1A3_single_00123,ACZ81_00565
AMHOT1A3_single_00124,ACZ81_00570
AMHOT1A3_single_00125,ACZ81_00575
AMHOT1A3_single_00126,ACZ81_00580
AMHOT1A3_single_00127,ACZ81_00585
AMHOT1A3_single_00128,ACZ81_00590
AMHOT1A3_single_00129,ACZ81_00595
AMHOT1A3_single_00130,ACZ81_00600
AMHOT1A3_single_00131,ACZ81_00605
AMHOT1A3_single_00132,ACZ81_00610
AMHOT1A3_single_00133,ACZ81_00615
AMHOT1A3_single_00134,ACZ81_00620
AMHOT1A3_single_00135,ACZ81_00625
AMHOT1A3_single_00136,ACZ81_00630
AMHOT1A3_single_00137,ACZ81_00635
AMHOT1A3_single_00138,ACZ81_00640
AMHOT1A3_single_00139,ACZ81_00645
AMHOT1A3_single_00140,ACZ81_00650
AMHOT1A3_single_00141,ACZ81_00655
AMHOT1A3_single_00142,ACZ81_00660
AMHOT1A3_single_00143,ACZ81_00665
AMHOT1A3_single_00144,ACZ81_00670
AMHOT1A3_single_00145,ACZ81_00675
AMHOT1A3_single_00146,ACZ81_00680
AMHOT1A3_single_00147,ACZ81_00685
AMHOT1A3_single_00148,ACZ81_00690
AMHOT1A3_single_00149,ACZ81_00695
AMHOT1A3_single_00150,ACZ81_00700
AMHOT1A3_single_00151,ACZ81_00705
AMHOT1A3_single_00152,ACZ81_00710
AMHOT1A3_single_00153,ACZ81_00715
AMHOT1A3_single_00154,ACZ81_00720
AMHOT1A3_single_00155,ACZ81_00725
AMHOT1A3_single_00156,ACZ81_00730
AMHOT1A3_single_00157,ACZ81_00735
AMHOT1A3_single_00158,ACZ81_00740
AMHOT1A3_single_00159,ACZ81_00745
AMHOT1A3_single_00160,ACZ81_00750
AMHOT1A3_single_00161,ACZ81_00755
AMHOT1A3_single_00162,ACZ81_00760
AMHOT1A3_single_00163,ACZ81_00765
AMHOT1A3_single_00164,ACZ81_00770
AMHOT1A3_single_00165,ACZ81_00775
AMHOT1A3_single_00166,ACZ81_00780
AMHOT1A3_single_00167,ACZ81_00785
AMHOT1A3_single_00168,ACZ81_00790
AMHOT1A3_single_00169,ACZ81_00795
AMHOT1A3_single_00170,ACZ81_00800
AMHOT1A3_single_00171,ACZ81_00805
AMHOT1A3_single_00172,ACZ81_00810
AMHOT1A3_single_00173,ACZ81_00820
AMHOT1A3_single_00174,ACZ81_00825
AMHOT1A3_single_00175,ACZ81_00830
AMHOT1A3_single_00176,ACZ81_00835
AMHOT1A3_single_00177,ACZ81_00840
AMHOT1A3_single_00178,ACZ81_00845
AMHOT1A3_single_00179,ACZ81_00850
AMHOT1A3_single_00180,ACZ81_00855
AMHOT1A3_single_00181,ACZ81_00860
AMHOT1A3_single_00182,ACZ81_00865
AMHOT1A3_single_00183,ACZ81_00870
AMHOT1A3_single_00184,ACZ81_00875
AMHOT1A3_single_00185,ACZ81_00880
AMHOT1A3_single_00186,ACZ81_00885
AMHOT1A3_single_00187,ACZ81_00890
AMHOT1A3_single_00188,ACZ81_00895
AMHOT1A3_single_00189,ACZ81_00900
AMHOT1A3_single_00190,ACZ81_00905
AMHOT1A3_single_00191,ACZ81_00910
AMHOT1A3_single_00192,ACZ81_00915
AMHOT1A3_single_00193,ACZ81_00920
AMHOT1A3_single_00194,ACZ81_00925
AMHOT1A3_single_00195,ACZ81_00930
AMHOT1A3_single_00196,ACZ81_00935
AMHOT1A3_single_00197,ACZ81_00940
AMHOT1A3_single_00198,ACZ81_00945
AMHOT1A3_single_00199,ACZ81_00950
AMHOT1A3_single_00200,ACZ81_00955
AMHOT1A3_single_00201,ACZ81_00960
AMHOT1A3_single_00203,ACZ81_00965
AMHOT1A3_single_00204,ACZ81_00970
AMHOT1A3_single_00205,ACZ81_00975
AMHOT1A3_single_00206,ACZ81_00980
AMHOT1A3_single_00207,ACZ81_00985
AMHOT1A3_single_00208,ACZ81_00990
AMHOT1A3_single_00209,ACZ81_00995
AMHOT1A3_single_00210,ACZ81_01000
AMHOT1A3_single_00211,ACZ81_01005
AMHOT1A3_single_00212,ACZ81_01010
AMHOT1A3_single_00213,ACZ81_01015
AMHOT1A3_single_00214,ACZ81_01020
AMHOT1A3_single_00215,ACZ81_01025
AMHOT1A3_single_00216,ACZ81_01030
AMHOT1A3_single_00217,ACZ81_01035
AMHOT1A3_single_00218,ACZ81_01040
AMHOT1A3_single_00219,ACZ81_01045
AMHOT1A3_single_00220,ACZ81_01050
AMHOT1A3_single_00221,ACZ81_01055
AMHOT1A3_single_00222,ACZ81_01060
AMHOT1A3_single_00223,ACZ81_01065
AMHOT1A3_single_00224,ACZ81_01070
AMHOT1A3_single_00225,ACZ81_01075
AMHOT1A3_single_00226,ACZ81_01080
AMHOT1A3_single_00227,ACZ81_01085
AMHOT1A3_single_00228,ACZ81_01090
AMHOT1A3_single_00229,ACZ81_01095
AMHOT1A3_single_00230,ACZ81_01100
AMHOT1A3_single_00231,ACZ81_01105
AMHOT1A3_single_00232,ACZ81_01110
AMHOT1A3_single_00233,ACZ81_01115
AMHOT1A3_single_00234,ACZ81_01120
AMHOT1A3_single_00235,ACZ81_01125
AMHOT1A3_single_00236,ACZ81_01130
AMHOT1A3_single_00237,ACZ81_01135
AMHOT1A3_single_00238,ACZ81_01140
AMHOT1A3_single_00239,ACZ81_01145
AMHOT1A3_single_00240,ACZ81_01150
AMHOT1A3_single_00241,ACZ81_01155
AMHOT1A3_single_00242,ACZ81_01160
AMHOT1A3_single_00243,ACZ81_01165
AMHOT1A3_single_00244,ACZ81_01170
AMHOT1A3_single_00245,ACZ81_01175
AMHOT1A3_single_00246,ACZ81_01180
AMHOT1A3_single_00247,ACZ81_01185
AMHOT1A3_single_00248,ACZ81_01190
AMHOT1A3_single_00249,ACZ81_01195
AMHOT1A3_single_00250,ACZ81_01200
AMHOT1A3_single_00251,ACZ81_01205
AMHOT1A3_single_00252,ACZ81_01210
AMHOT1A3_single_00253,ACZ81_01215
AMHOT1A3_single_00254,ACZ81_01220
AMHOT1A3_single_00255,ACZ81_01225
AMHOT1A3_single_00256,ACZ81_01230
AMHOT1A3_single_00258,ACZ81_01245
AMHOT1A3_single_00259,ACZ81_01250
AMHOT1A3_single_00260,ACZ81_01255
AMHOT1A3_single_00261,ACZ81_01260
AMHOT1A3_single_00262,ACZ81_01265
AMHOT1A3_single_00263,ACZ81_01270
AMHOT1A3_single_00264,ACZ81_01275
AMHOT1A3_single_00267,ACZ81_01290
AMHOT1A3_single_00268,ACZ81_01295
AMHOT1A3_single_00269,ACZ81_01300
AMHOT1A3_single_00270,ACZ81_01305
AMHOT1A3_single_00271,ACZ81_01310
AMHOT1A3_single_00272,ACZ81_01315
AMHOT1A3_single_00273,ACZ81_01320
AMHOT1A3_single_00274,ACZ81_01325
AMHOT1A3_single_00275,ACZ81_01330
AMHOT1A3_single_00276,ACZ81_01335
AMHOT1A3_single_00278,ACZ81_01355
AMHOT1A3_single_00279,ACZ81_01360
AMHOT1A3_single_00280,ACZ81_01365
AMHOT1A3_single_00281,ACZ81_01370
AMHOT1A3_single_00282,ACZ81_01375
AMHOT1A3_single_00283,ACZ81_01380
AMHOT1A3_single_00284,ACZ81_01385
AMHOT1A3_single_00285,ACZ81_01390
AMHOT1A3_single_00286,ACZ81_01395
AMHOT1A3_single_00287,ACZ81_01400
AMHOT1A3_single_00288,ACZ81_RS21410
AMHOT1A3_single_00289,ACZ81_RS21415
AMHOT1A3_single_00291,ACZ81_01420
AMHOT1A3_single_00292,ACZ81_01425
AMHOT1A3_single_00293,ACZ81_01430
AMHOT1A3_single_00294,ACZ81_01435
AMHOT1A3_single_00295,ACZ81_01440
AMHOT1A3_single_00296,ACZ81_01445
AMHOT1A3_single_00297,ACZ81_01450
AMHOT1A3_single_00298,ACZ81_01455
AMHOT1A3_single_00299,ACZ81_01460
AMHOT1A3_single_00300,ACZ81_01465
AMHOT1A3_single_00301,ACZ81_01470
AMHOT1A3_single_00302,ACZ81_01475
AMHOT1A3_single_00303,ACZ81_01480
AMHOT1A3_single_00304,ACZ81_01485
AMHOT1A3_single_00305,ACZ81_01490
AMHOT1A3_single_00306,ACZ81_01495
AMHOT1A3_single_00307,ACZ81_01500
AMHOT1A3_single_00308,ACZ81_01505
AMHOT1A3_single_00309,ACZ81_01515
AMHOT1A3_single_00310,ACZ81_01520
AMHOT1A3_single_00311,ACZ81_01525
AMHOT1A3_single_00312,ACZ81_01530
AMHOT1A3_single_00313,ACZ81_01535
AMHOT1A3_single_00314,ACZ81_01540
AMHOT1A3_single_00315,ACZ81_01545
AMHOT1A3_single_00316,ACZ81_RS21190
AMHOT1A3_single_00317,ACZ81_01550
AMHOT1A3_single_00318,ACZ81_01555
AMHOT1A3_single_00319,ACZ81_01560
AMHOT1A3_single_00320,ACZ81_01565
AMHOT1A3_single_00321,ACZ81_01570
AMHOT1A3_single_00322,ACZ81_01575
AMHOT1A3_single_00323,ACZ81_01580
AMHOT1A3_single_00324,ACZ81_01585
AMHOT1A3_single_00325,ACZ81_01590
AMHOT1A3_single_00326,ACZ81_01595
AMHOT1A3_single_00327,ACZ81_01600
AMHOT1A3_single_00328,ACZ81_01605
AMHOT1A3_single_00329,ACZ81_01635
AMHOT1A3_single_00330,ACZ81_01640
AMHOT1A3_single_00331,ACZ81_01645
AMHOT1A3_single_00332,ACZ81_01650
