SeqID	Localization	Score
WP_010179497.1 MULTISPECIES: 30S ribosomal protein S10 [Alteromonadaceae]	Cytoplasmic	9.97
WP_012516526.1 MULTISPECIES: DNA polymerase III subunit beta [Alteromonas]	Cytoplasmic	9.97
WP_012516577.1 MULTISPECIES: 50S ribosomal protein L33 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012516628.1 MULTISPECIES: DUF2960 family protein [Gammaproteobacteria]	Unknown	2.00
WP_012516741.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516828.1 MULTISPECIES: formyltransferase family protein [Alteromonas]	Cytoplasmic	8.96
WP_012516840.1 MULTISPECIES: nuclear transport factor 2 family protein [Alteromonas]	Unknown	4.90
WP_012516842.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_012516843.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_012516848.1 MULTISPECIES: hypothetical protein [Alteromonas]	Periplasmic	9.84
WP_012516849.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516866.1 MULTISPECIES: MerR family DNA-binding protein [Alteromonas]	Cytoplasmic	9.26
WP_012516868.1 MULTISPECIES: cupredoxin domain-containing protein [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516876.1 MULTISPECIES: hypothetical protein [Alteromonas]	Cytoplasmic	8.96
WP_012516879.1 MULTISPECIES: hypothetical protein [Alteromonas]	Cytoplasmic	8.96
WP_012516916.1 MULTISPECIES: copper resistance protein B [Gammaproteobacteria]	OuterMembrane	9.92
WP_012516919.1 MULTISPECIES: DUF305 domain-containing protein [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_012516958.1 MULTISPECIES: 50S ribosomal protein L4 [Alteromonas]	Cytoplasmic	9.97
WP_012516959.1 MULTISPECIES: 50S ribosomal protein L23 [Alteromonas]	Cytoplasmic	9.26
WP_012516961.1 MULTISPECIES: 30S ribosomal protein S19 [Alteromonas]	Cytoplasmic	9.97
WP_012516988.1 MULTISPECIES: P-II family nitrogen regulator [Alteromonas]	CytoplasmicMembrane	7.88
WP_012517074.1 MULTISPECIES: thioredoxin TrxA [Alteromonas]	Cytoplasmic	9.26
WP_012517169.1 MULTISPECIES: 50S ribosomal protein L21 [Alteromonas]	Cytoplasmic	9.97
WP_012517170.1 MULTISPECIES: 50S ribosomal protein L27 [Alteromonas]	Cytoplasmic	9.26
WP_012517256.1 MULTISPECIES: GatB/YqeY domain-containing protein [Alteromonas]	Cytoplasmic	9.97
WP_012517258.1 MULTISPECIES: 30S ribosomal protein S21 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012517279.1 MULTISPECIES: MotA/TolQ/ExbB proton channel family protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_012517332.1 MULTISPECIES: stringent starvation protein SspA [Alteromonas]	Cytoplasmic	9.97
WP_012517338.1 MULTISPECIES: ribosome hibernation promoting factor [Alteromonas]	Cytoplasmic	9.26
WP_012517538.1 MULTISPECIES: transcriptional regulator NrdR [Alteromonas]	Cytoplasmic	9.97
WP_012517628.1 MULTISPECIES: flagellar hook assembly protein FlgD [Alteromonas]	Extracellular	9.71
WP_012517675.1 MULTISPECIES: flagellar biosynthesis protein FliQ [Alteromonas]	CytoplasmicMembrane	10.00
WP_012517682.1 MULTISPECIES: chemotaxis response regulator CheY [Alteromonadaceae]	Cytoplasmic	9.97
WP_012517705.1 MULTISPECIES: carbon storage regulator CsrA [Alteromonas]	Unknown	2.00
WP_012517736.1 MULTISPECIES: MotA/TolQ/ExbB proton channel family protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_012517737.1 MULTISPECIES: biopolymer transporter ExbD [Alteromonas]	Unknown	2.00
WP_012517742.1 MULTISPECIES: hotdog domain-containing protein [Alteromonas]	Cytoplasmic	9.97
WP_012517787.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	CytoplasmicMembrane	9.82
WP_012518092.1 MULTISPECIES: 50S ribosomal protein L20 [Alteromonas]	Cytoplasmic	9.26
WP_012518206.1 MULTISPECIES: 50S ribosomal protein L32 [Alteromonas]	Cytoplasmic	9.26
WP_012518211.1 MULTISPECIES: acyl carrier protein [Alteromonadaceae]	Cytoplasmic	9.97
WP_012518257.1 MULTISPECIES: 30S ribosomal protein S15 [Alteromonas]	Cytoplasmic	9.26
WP_012518362.1 MULTISPECIES: succinate dehydrogenase iron-sulfur subunit [Alteromonas]	CytoplasmicMembrane	9.82
WP_012518654.1 MULTISPECIES: MoxR family ATPase [Alteromonas]	Cytoplasmic	8.96
WP_012518842.1 MULTISPECIES: type II toxin-antitoxin system ParD family antitoxin [Alteromonas]	Unknown	2.00
WP_012518957.1 MULTISPECIES: RNA polymerase sigma factor RpoE [Alteromonas]	Cytoplasmic	9.97
WP_012518978.1 MULTISPECIES: nucleoid-associated protein HU-beta [Alteromonas]	Cytoplasmic	9.26
WP_012519000.1 MULTISPECIES: nucleoside-diphosphate kinase [Alteromonas]	Cytoplasmic	9.26
WP_012519076.1 MULTISPECIES: adenylate kinase [Alteromonas]	Cytoplasmic	9.97
WP_012519212.1 MULTISPECIES: 50S ribosomal protein L17 [Gammaproteobacteria]	Cytoplasmic	9.97
WP_012519214.1 MULTISPECIES: 30S ribosomal protein S4 [Gammaproteobacteria]	Cytoplasmic	9.97
WP_012519215.1 MULTISPECIES: 30S ribosomal protein S11 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_012519216.1 MULTISPECIES: 30S ribosomal protein S13 [Gammaproteobacteria]	Cytoplasmic	9.97
WP_012519217.1 MULTISPECIES: 50S ribosomal protein L36 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_012519221.1 MULTISPECIES: 30S ribosomal protein S5 [Alteromonas]	Cytoplasmic	9.97
WP_012519224.1 MULTISPECIES: 30S ribosomal protein S8 [Alteromonas]	Cytoplasmic	9.97
WP_012519228.1 MULTISPECIES: 50S ribosomal protein L14 [Alteromonas]	Cytoplasmic	9.26
WP_012519465.1 MULTISPECIES: division/cell wall cluster transcriptional repressor MraZ [Alteromonas]	Cytoplasmic	9.97
WP_012519516.1 MULTISPECIES: DUF3545 family protein [Alteromonas]	Unknown	2.00
WP_012519905.1 MULTISPECIES: cold-shock protein [Alteromonas]	Cytoplasmic	9.26
WP_012519953.1 MULTISPECIES: 50S ribosomal protein L9 [Alteromonas]	Cytoplasmic	9.97
WP_012519954.1 MULTISPECIES: 30S ribosomal protein S18 [Alteromonas/Salinimonas group]	Cytoplasmic	9.26
WP_012520075.1 MULTISPECIES: peptidylprolyl isomerase PpiC [Alteromonas]	Cytoplasmic	9.26
WP_012520088.1 MULTISPECIES: co-chaperone GroES [Alteromonas]	Cytoplasmic	9.97
WP_012520109.1 MULTISPECIES: DNA-binding transcriptional regulator Fis [Alteromonas]	Cytoplasmic	9.26
WP_012520154.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012520217.1 MULTISPECIES: F0F1 ATP synthase subunit gamma [Alteromonas]	Cytoplasmic	9.12
WP_012520222.1 MULTISPECIES: F0F1 ATP synthase subunit C [Alteromonas/Salinimonas group]	CytoplasmicMembrane	10.00
WP_012520223.1 MULTISPECIES: F0F1 ATP synthase subunit A [Alteromonas]	CytoplasmicMembrane	10.00
WP_014947732.1 MULTISPECIES: DUF494 family protein [Alteromonas]	Cytoplasmic	8.96
WP_014947747.1 hypothetical protein [Alteromonas macleodii]	CytoplasmicMembrane	9.82
WP_014947757.1 MULTISPECIES: 50S ribosomal protein L28 [Alteromonas]	Cytoplasmic	9.26
WP_014947805.1 MULTISPECIES: DNA-directed RNA polymerase subunit omega [Alteromonas]	Cytoplasmic	8.96
WP_014947861.1 MULTISPECIES: inorganic diphosphatase [Alteromonas]	Cytoplasmic	9.26
WP_014947881.1 MULTISPECIES: single-stranded DNA-binding protein [Alteromonas]	Cytoplasmic	9.26
WP_014947929.1 MULTISPECIES: oxidative damage protection protein [Alteromonas]	Unknown	2.00
WP_014947935.1 MULTISPECIES: chemotaxis protein CheW [Alteromonas]	Cytoplasmic	9.97
WP_014947941.1 MULTISPECIES: response regulator [Alteromonas]	Cytoplasmic	9.26
WP_014947959.1 MULTISPECIES: DUF3392 family protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_014947975.1 MULTISPECIES: 50S ribosomal protein L3 [Alteromonas]	Cytoplasmic	9.26
WP_014947977.1 MULTISPECIES: 50S ribosomal protein L22 [Alteromonas]	Cytoplasmic	9.97
WP_014947978.1 MULTISPECIES: 30S ribosomal protein S3 [Alteromonas]	Cytoplasmic	9.97
WP_014947980.1 MULTISPECIES: 50S ribosomal protein L29 [Alteromonas]	Cytoplasmic	9.26
WP_014948032.1 MULTISPECIES: shikimate kinase AroK [Alteromonas]	Cytoplasmic	9.97
WP_014948068.1 MULTISPECIES: protein-export chaperone SecB [Alteromonas]	Cytoplasmic	9.26
WP_014948069.1 MULTISPECIES: glutaredoxin 3 [Alteromonas]	Unknown	2.00
