Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1747925	INSDC	BX548175.1	1934928	1935422	-	CAE22000.1	unnamed protein product	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
1747925	RefSeq	NC_005071.1	1934928	1935422	-	WP_011131192.1	hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
1747925	RefSeq	NZ_CP138943.1	2008713	2009207	-	WP_011131192.1	hypothetical protein	Prochlorococcus sp. MIT 1313	MIT 1313	GCF_047303155.1
1747925	RefSeq	NZ_CP138944.1	230239	230733	-	WP_011131192.1	hypothetical protein	Prochlorococcus sp. MIT 1312	MIT 1312	GCF_047303165.1
1747925	RefSeq	NZ_CP138946.1	230210	230704	-	WP_011131192.1	hypothetical protein	Prochlorococcus sp. MIT 1227	MIT 1227	GCF_047303345.1
1747925	RefSeq	NZ_CP138958.1	183957	184451	-	WP_011131192.1	hypothetical protein	Prochlorococcus sp. MIT 1318	MIT 1318	GCF_047304505.1
1747925	RefSeq	NZ_CP138972.1	727775	728269	+	WP_011131192.1	hypothetical protein	Prochlorococcus sp. MIT 1327	MIT 1327	GCF_047304785.1
1747925	RefSeq	NZ_JABBYP010000031.1	88681	89175	+	WP_011131192.1	hypothetical protein	Prochlorococcus sp. P1361	150NLHA	GCF_012933585.1
1747925	RefSeq	NZ_JABBYQ010000057.1	110407	110901	-	WP_011131192.1	hypothetical protein	Prochlorococcus sp.P1363	150SLHA	GCF_012933595.1
1747925	RefSeq	NZ_JABBYR010000079.1	88615	89109	+	WP_011131192.1	hypothetical protein	Prochlorococcus sp. P1344	150SLHB	GCF_012933605.1
1747925	RefSeq	NZ_LVHM01000051.1	138838	139332	-	WP_011131192.1	hypothetical protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCF_001632005.1
1747925	RefSeq	NZ_LVHN01000013.1	177913	178407	-	WP_011131192.1	hypothetical protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCF_001632065.1
1747925	RefSeq	NZ_LVHO01000027.1	637743	638237	+	WP_011131192.1	hypothetical protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCF_001632045.1
1747925	RefSeq	NZ_LVHR01000034.1	130221	130715	-	WP_011131192.1	hypothetical protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCF_001632125.1
1747925	INSDC	LVHM01000051.1	138838	139332	-	KZR63719.1	hypothetical protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCA_001632005.1
1747925	INSDC	LVHN01000013.1	177913	178407	-	KZR68440.1	hypothetical protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCA_001632065.1
1747925	INSDC	LVHO01000027.1	637743	638237	+	KZR71323.1	hypothetical protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCA_001632045.1
1747925	INSDC	LVHR01000034.1	130221	130715	-	KZR78873.1	hypothetical protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCA_001632125.1
1747925	INSDC	JAKUPE010000034.1	695	1189	+	MCH2565938.1	hypothetical protein	Prochlorococcus sp. ALOHA_A2.0_51		GCA_022450905.1
1747925	INSDC	JABBYR010000079.1	88615	89109	+	NMO84845.1	hypothetical protein	Prochlorococcus sp. P1344	150SLHB	GCA_012933605.1
1747925	INSDC	JABBYP010000031.1	88681	89175	+	NMP06368.1	hypothetical protein	Prochlorococcus sp. P1361	150NLHA	GCA_012933585.1
1747925	INSDC	JABBYQ010000057.1	110407	110901	-	NMP14214.1	hypothetical protein	Prochlorococcus sp.P1363	150SLHA	GCA_012933595.1
