Gene ID,Description/Gene name,Pathway,log2FoldChange,Unnamed: 4,resolved_locus_tag,resolution_method
M744_12485,unknown function,,-1.63,,M744_12485,locus_tag:Gene ID
M744_04190,unknown function,,-1.35,,M744_04190,locus_tag:Gene ID
M744_13560,unknown function,,-1.2,,M744_13560,locus_tag:Gene ID
M744_01435,unknown function,,-2.06,,M744_01435,locus_tag:Gene ID
M744_10885,unknown function,,-1.62,,M744_10885,locus_tag:Gene ID
M744_RS14125,unknown function,,-1.55,,M744_RS14125,locus_tag:Gene ID
M744_09240,unknown function,,-1.36,,M744_09240,locus_tag:Gene ID
M744_00250,unknown function,,-1.35,,M744_00250,locus_tag:Gene ID
M744_01115,unknown function,,-1.34,,M744_01115,locus_tag:Gene ID
M744_03175,unknown function,,-1.32,,M744_03175,locus_tag:Gene ID
M744_01890,unknown function,,-1.3,,M744_01890,locus_tag:Gene ID
M744_00320,unknown function,,-1.24,,M744_00320,locus_tag:Gene ID
M744_05505,unknown function,,-1.22,,M744_05505,locus_tag:Gene ID
M744_09615,unknown function,,-1.2,,M744_09615,locus_tag:Gene ID
M744_04490,unknown function,,-1.2,,M744_04490,locus_tag:Gene ID
M744_07135,unknown function,,-1.13,,M744_07135,locus_tag:Gene ID
M744_03835,unknown function,,-1.13,,M744_03835,locus_tag:Gene ID
M744_03345,unknown function,,-1.1,,M744_03345,locus_tag:Gene ID
M744_00195,unknown function,,-1.1,,M744_00195,locus_tag:Gene ID
M744_03995,"thioredoxin-dependent peroxiredoxin, TPx-Q",Oxidative reducible protein,-1.11,,M744_03995,locus_tag:Gene ID
M744_11065,"high light inducible protein, Hli",Oxidative reducible protein,-1.1,,M744_11065,locus_tag:Gene ID
M744_11810,"damage-inducible protein, DinB",Oxidative reducible protein,-1.45,,M744_11810,locus_tag:Gene ID
M744_06055,"flavoprotein, Flv",Oxidative reducible protein,-1.35,,M744_06055,locus_tag:Gene ID
M744_09730,"flavoprotein, Flv",Oxidative reducible protein,-1.04,,M744_09730,locus_tag:Gene ID
M744_06705,"pyruvate dehydrogenase, Pdh",Carbohydrate metabolism,-1.58,,M744_06705,locus_tag:Gene ID
M744_03660,"ornithine carbamoyltransferase, Otc",Amino acid metabolism,-2.49,,M744_03660,locus_tag:Gene ID
M744_04075,"acetolactate synthase small subunit, Als",Amino acid metabolism,-1.23,,M744_04075,locus_tag:Gene ID
M744_05730,"L-aspartate semialdehyde sulfurtransferase, Asa",Amino acid metabolism,-1.02,,M744_05730,locus_tag:Gene ID
M744_10480,"cytochrome b6-f complex iron-sulfur subunit, PetC",Photosynthesis,-1.24,,M744_10480,locus_tag:Gene ID
M744_01175,"phycobiliprotein lyase, CpcT",Photosynthesis - antenna proteins,-1.09,,M744_01175,locus_tag:Gene ID
M744_10320,"RNA methyltransferase, Rnmt",Ribosome biogenesis,-1.52,,M744_10320,locus_tag:Gene ID
M744_04525,"S-adenosylmethionine:tRNA ribosyltransferase-isomerase, QueA",Transfer RNA biogenesis,-1.37,,M744_04525,locus_tag:Gene ID
M744_03685,"translation initiation factor IF-1, InfA",Translation factors,-1.13,,M744_03685,locus_tag:Gene ID
M744_11220,"ATP-dependent chaperone, ClpB",Chaperones and folding catalysts,-1.8,,M744_11220,locus_tag:Gene ID
M744_02450,tRNA-Cys,Translation,-1.28,,,unresolved
M744_12460,"chemotaxis protein, CheY",Bacterial motility proteins,-1.54,,M744_12460,locus_tag:Gene ID
M744_12455,"chemotaxis protein, CheW",Bacterial motility proteins,-1.42,,M744_12455,locus_tag:Gene ID
M744_12445,"chemotaxis family, PixL",Bacterial motility proteins,-1.31,,M744_12445,locus_tag:Gene ID
M744_12450,"methyl-accepting chemotaxis protein, PixJ",Bacterial motility proteins,-1.23,,M744_12450,locus_tag:Gene ID
M744_00010,serine protease，HtrA,Protein families: signaling and cellular processes,-1.49,,M744_00010,locus_tag:Gene ID
M744_08450,"bacitracin ABC transporter ATP-binding protein, CmpD",Transporter,-2.52,,M744_08450,locus_tag:Gene ID
M744_08660,"molybdate ABC transporter substrate-binding protein, ModA",Transporter,-1.34,,M744_08660,locus_tag:Gene ID
M744_06915,hemolysin secretion protein D,Transporter,-1.16,,M744_06915,locus_tag:Gene ID
M744_10340,arsenite/tail-anchored protein-transporting ATPase,Transporter,-1.02,,M744_10340,locus_tag:Gene ID
M744_11255,metal ABC transporter ATPase,Transporter,-1.36,,M744_11255,locus_tag:Gene ID
M744_13595,heavy metal transporter,Transporter,-1.52,,M744_13595,locus_tag:Gene ID
M744_13590,circadian clock protein reporter CikA,Circadian clock,-1.03,,M744_13590,locus_tag:Gene ID
M744_10560,circadian clock protein KaiB,Circadian clock,-1.21,,M744_10560,locus_tag:Gene ID
M744_02550,"NAD+ synthase (glutamine-hydrolysing), NadE",Metabolism of cofactors and vitamins,-1.15,,M744_02550,locus_tag:Gene ID
M744_09255,iron uptake porin,,-1.86,,M744_09255,locus_tag:Gene ID
M744_10365,cyclic nucleotide-binding domain-containing protein,,-1.82,,M744_10365,locus_tag:Gene ID
M744_09995,"replicative DNA helicase, DnaB",Protein families: genetic information processing,-1.14,,M744_09995,locus_tag:Gene ID
M744_05475,Crp/Fnr family transcriptional regulator,,-1.34,,M744_05475,locus_tag:Gene ID
M744_07365,tetratricopeptide repeat protein,,-1.34,,M744_07365,locus_tag:Gene ID
M744_09590,glyoxalase,,-1.18,,M744_09590,locus_tag:Gene ID
,,,,,,empty
