GID,SYMBOL,KID,KO,PRODUCT,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
PMT9312_0001,PMT9312_0001,pmi:PMT9312_0001,K02338,"DNA polymerase III, beta subunit",Q31DI3,"DNA polymerase III, beta subunit (EC 2.7.7.7).",2.7.7.7,205,205..1362,385
PMT9312_0002,PMT9312_0002,pmi:PMT9312_0002,,hypothetical protein,Q31DI2,Hypothetical protein.,,1364,1364..2068,234
PMT9312_0003,PMT9312_0003,pmi:PMT9312_0003,K01952,phosphoribosylformylglycinamidine synthase II,Q31DI1,Phosphoribosylformylglycinamidine synthase 2 (EC 6.3.5.3) (Phosphoribosylformylglycinamidine synthase II) (FGAM synthase II).,6.3.5.3,2072,2072..4411,779
PMT9312_0004,PMT9312_0004,pmi:PMT9312_0004,K00764,amidophosphoribosyltransferase,Q31DI0,Amidophosphoribosyltransferase.,2.4.2.14,4459,4459..5919,486
PMT9312_0005,PMT9312_0005,pmi:PMT9312_0005,K02469,"DNA gyrase/topoisomerase IV, subunit A",Q31DH9,"DNA gyrase/topoisomerase IV, subunit A.",5.99.1.3,5916,complement(5916..8357),813
PMT9312_0006,PMT9312_0006,pmi:PMT9312_0006,,TPR repeat,Q31DH8,TPR repeat.,,8435,complement(8435..9298),287
PMT9312_0007,PMT9312_0007,pmi:PMT9312_0007,,hypothetical protein,Q31DH7,Hypothetical protein.,,9303,complement(9303..10247),314
PMT9312_0008,PMT9312_0008,pmi:PMT9312_0008,,hypothetical protein,Q31DH6,Hypothetical protein.,,10395,10395..11129,244
PMT9312_0009,nusB,pmi:PMT9312_0009,K03625,antitermination protein NusB,Q31DH5,Antitermination protein NusB.,,11133,11133..11759,208
PMT9312_0010,ftsY,pmi:PMT9312_0010,K03110,signal recognition particle-docking protein FtsY,Q31DH4,Signal recognition particle-docking protein FtsY.,,11818,11818..13110,430
PMT9312_0011,PMT9312_0011,pmi:PMT9312_0011,K07315,serine phosphatase,Q31DH3,Serine phosphatase.,,13177,13177..14520,447
PMT9312_0012,PMT9312_0012,pmi:PMT9312_0012,K01755,argininosuccinate lyase,Q31DH2,Argininosuccinate lyase (EC 4.3.2.1) (Arginosuccinase) (ASAL).,4.3.2.1,14583,14583..15962,459
PMT9312_0013,PMT9312_0013,pmi:PMT9312_0013,,RNA-binding region RNP-1,Q31DH1,RNA-binding region RNP-1.,,16075,16075..16743,222
PMT9312_0014,PMT9312_0014,pmi:PMT9312_0014,K05539,tRNA-dihydrouridine synthase A,Q31DH0,TRNA-dihydrouridine synthase A.,1.-.-.-,16740,complement(16740..17744),334
PMT9312_0015,PMT9312_0015,pmi:PMT9312_0015,K07305,methionine sulfoxide reductase B,Q31DG9,Methionine sulfoxide reductase B (EC 1.8.4.6).,1.8.4.12,17768,17768..18262,164
PMT9312_0016,grpE,pmi:PMT9312_0016,K03687,heat shock protein GrpE,Q31DG8,Heat shock protein GrpE.,,18338,18338..19057,239
PMT9312_0017,dnaJ,pmi:PMT9312_0017,K03686,heat shock protein DnaJ,Q31DG7,Heat shock protein DnaJ.,,19087,19087..20211,374
