SeqID	Localization	Score
WP_000122829.1 MULTISPECIES: helix-turn-helix domain-containing protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_000127614.1 MULTISPECIES: helix-turn-helix transcriptional regulator [Gammaproteobacteria]	Unknown	2.00
WP_000224748.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Unknown	2.00
WP_000414662.1 MULTISPECIES: phage recombination protein Bet [Gammaproteobacteria]	Unknown	2.00
WP_000451746.1 MULTISPECIES: helix-turn-helix domain-containing protein [Gammaproteobacteria]	Unknown	2.00
WP_000455722.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Unknown	2.00
WP_000791199.1 MULTISPECIES: RadC family protein [Gammaproteobacteria]	Cytoplasmic	9.97
WP_001083515.1 MULTISPECIES: methylation-associated defense system helix-turn-helix domain-containing protein MAD1 [Gammaproteobacteria]	Unknown	2.00
WP_004588585.1 MULTISPECIES: hypothetical protein [Alteromonadales]	Unknown	2.00
WP_006991848.1 MULTISPECIES: hydrogenase expression/formation C-terminal domain-containing protein [Alteromonadaceae]	Cytoplasmic	8.96
WP_007146785.1 MULTISPECIES: helix-turn-helix transcriptional regulator [Gammaproteobacteria]	Unknown	2.00
WP_008305436.1 MULTISPECIES: AAA family ATPase [Alteromonadales]	Cytoplasmic	9.97
WP_008305438.1 MULTISPECIES: DUF58 domain-containing protein [Alteromonadales]	Cytoplasmic	9.26
WP_008305441.1 MULTISPECIES: vWA domain-containing protein [Alteromonadales]	CytoplasmicMembrane	10.00
WP_008305447.1 MULTISPECIES: alpha/beta fold hydrolase [Alteromonadales]	Unknown	2.00
WP_008305448.1 MULTISPECIES: GMC family oxidoreductase [Alteromonadales]	CytoplasmicMembrane	7.88
WP_008305450.1 MULTISPECIES: coniferyl aldehyde dehydrogenase [Alteromonadales]	Cytoplasmic	9.97
WP_008305452.1 MULTISPECIES: AMP-binding protein [Alteromonadales]	Cytoplasmic	9.97
WP_008305453.1 MULTISPECIES: CaiB/BaiF CoA transferase family protein [Alteromonadales]	Cytoplasmic	9.97
WP_008305454.1 MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Alteromonadales]	Cytoplasmic	9.97
WP_008305455.1 MULTISPECIES: acyl-CoA dehydrogenase family protein [Alteromonadales]	Cytoplasmic	9.97
WP_008305456.1 MULTISPECIES: thiolase family protein [Alteromonadales]	Cytoplasmic	8.96
WP_008305457.1 MULTISPECIES: enoyl-CoA hydratase/isomerase family protein [Alteromonadales]	Cytoplasmic	9.97
WP_008305458.1 MULTISPECIES: AraC family transcriptional regulator [Alteromonadales]	Cytoplasmic	9.97
WP_008305465.1 MULTISPECIES: AraC family transcriptional regulator [Alteromonadales]	Cytoplasmic	9.26
WP_008305468.1 MULTISPECIES: acyl-CoA dehydrogenase family protein [Alteromonadales]	Cytoplasmic	9.26
WP_008305469.1 MULTISPECIES: electron transfer flavoprotein subunit beta/FixA family protein [Alteromonadales]	Cytoplasmic	8.96
WP_008305470.1 MULTISPECIES: electron transfer flavoprotein subunit alpha/FixB family protein [Alteromonadales]	Unknown	2.00
WP_008305471.1 MULTISPECIES: electron transfer flavoprotein-ubiquinone oxidoreductase [Alteromonadales]	Cytoplasmic	8.96
WP_008305473.1 MULTISPECIES: SLC13 family permease [Alteromonadales]	CytoplasmicMembrane	10.00
WP_008844395.1 MULTISPECIES: translation initiation factor IF-1 [Alteromonadaceae]	Cytoplasmic	9.97
WP_010179497.1 MULTISPECIES: 30S ribosomal protein S10 [Alteromonadaceae]	Cytoplasmic	9.97
WP_011788469.1 MULTISPECIES: conjugative transfer system coupling protein TraD [Gammaproteobacteria]	Unknown	2.50
WP_011788470.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_011788471.1 MULTISPECIES: IncC plasmid conjugative DNA transfer DtrJ family protein [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_011788472.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_011788474.1 MULTISPECIES: type IV conjugative transfer system protein TraL [Gammaproteobacteria]	CytoplasmicMembrane	9.82
WP_011788476.1 MULTISPECIES: TraB/VirB10 family protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_011788478.1 MULTISPECIES: TraA family conjugative transfer protein [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_011788479.1 MULTISPECIES: heavy metal translocating P-type ATPase [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_011788488.1 MULTISPECIES: Cu(I)-responsive transcriptional regulator [Gammaproteobacteria]	Cytoplasmic	9.26
WP_011788489.1 MULTISPECIES: ArsR/SmtB family transcription factor [Gammaproteobacteria]	Cytoplasmic	8.96
WP_011788490.1 MULTISPECIES: cation diffusion facilitator family transporter [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_011788492.1 MULTISPECIES: heavy metal translocating P-type ATPase [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_011788494.1 MULTISPECIES: efflux RND transporter permease subunit [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_011788495.1 MULTISPECIES: efflux transporter outer membrane subunit [Gammaproteobacteria]	OuterMembrane	10.00
WP_011788497.1 MULTISPECIES: heavy-metal-associated domain-containing protein [Gammaproteobacteria]	Unknown	2.00
WP_011788498.1 MULTISPECIES: IS66 family insertion sequence element accessory protein TnpB [Gammaproteobacteria]	Unknown	2.00
WP_012516531.1 MULTISPECIES: glycine--tRNA ligase subunit alpha [Alteromonas]	Cytoplasmic	9.97
WP_012516533.1 MULTISPECIES: DUF2489 domain-containing protein [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516536.1 MULTISPECIES: c-type cytochrome [Alteromonas]	Periplasmic	10.00
WP_012516537.1 MULTISPECIES: ribosome biogenesis GTP-binding protein YihA/YsxC [Alteromonas]	Cytoplasmic	8.96
WP_012516540.1 MULTISPECIES: TrkH family potassium uptake protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516541.1 MULTISPECIES: Trk system potassium transporter TrkA [Alteromonas]	CytoplasmicMembrane	7.88
WP_012516544.1 MULTISPECIES: peptide deformylase [Alteromonas]	Cytoplasmic	9.97
WP_012516547.1 MULTISPECIES: DUF494 family protein [Alteromonas]	Cytoplasmic	8.96
WP_012516548.1 MULTISPECIES: DNA topoisomerase family protein [Alteromonas]	Unknown	2.00
WP_012516549.1 MULTISPECIES: L-threonylcarbamoyladenylate synthase type 1 TsaC [Alteromonas]	Unknown	2.00
WP_012516550.1 MULTISPECIES: oxygen-dependent coproporphyrinogen oxidase [Alteromonas]	Cytoplasmic	9.97
WP_012516551.1 MULTISPECIES: OmpW family outer membrane protein [Alteromonas]	OuterMembrane	10.00
WP_012516552.1 MULTISPECIES: group II truncated hemoglobin [Alteromonas]	Cytoplasmic	8.96
WP_012516553.1 shikimate dehydrogenase [Alteromonas mediterranea]	Cytoplasmic	9.26
WP_012516554.1 MULTISPECIES: gamma carbonic anhydrase family protein [Alteromonas]	Cytoplasmic	9.97
WP_012516564.1 MULTISPECIES: DUF885 domain-containing protein [Alteromonas]	Unknown	4.90
WP_012516565.1 MULTISPECIES: DUF1820 family protein [Alteromonas]	Cytoplasmic	8.96
WP_012516566.1 MULTISPECIES: M28 family metallopeptidase [Alteromonas]	Unknown	2.50
WP_012516567.1 MULTISPECIES: glycosyltransferase family 2 protein [Alteromonas]	Cytoplasmic	8.96
WP_012516568.1 MULTISPECIES: nucleoid occlusion factor SlmA [Alteromonas]	Cytoplasmic	9.97
WP_012516569.1 MULTISPECIES: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Alteromonas]	Cytoplasmic	9.26
WP_012516570.1 MULTISPECIES: RadC family protein [Alteromonas]	Cytoplasmic	9.97
WP_012516571.1 MULTISPECIES: hypothetical protein [Alteromonas]	Extracellular	9.65
WP_012516576.1 MULTISPECIES: 50S ribosomal protein L28 [Alteromonas]	Cytoplasmic	9.26
WP_012516577.1 MULTISPECIES: 50S ribosomal protein L33 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012516579.1 MULTISPECIES: bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase [Alteromonas]	Cytoplasmic	9.26
WP_012516580.1 MULTISPECIES: pantetheine-phosphate adenylyltransferase [Alteromonas]	Cytoplasmic	9.97
WP_012516581.1 MULTISPECIES: 3-deoxy-D-manno-octulosonic acid kinase [Alteromonas]	CytoplasmicMembrane	7.88
WP_012516582.1 MULTISPECIES: glycosyltransferase family 9 protein [Alteromonas]	Cytoplasmic	8.96
WP_012516583.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516586.1 MULTISPECIES: glycine C-acetyltransferase [Alteromonas]	Cytoplasmic	9.97
WP_012516588.1 MULTISPECIES: thiosulfate sulfurtransferase GlpE [Alteromonas]	Cytoplasmic	9.26
WP_012516589.1 MULTISPECIES: rhomboid family intramembrane serine protease GlpG [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516590.1 MULTISPECIES: flagellar basal body-associated protein FliL [Alteromonas]	CytoplasmicMembrane	9.97
WP_012516592.1 MULTISPECIES: 4-hydroxybenzoate octaprenyltransferase [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516594.1 MULTISPECIES: helix-turn-helix domain-containing protein [Alteromonas]	Unknown	2.00
WP_012516595.1 MULTISPECIES: ubiquinone biosynthesis accessory factor UbiK [Alteromonas]	Cytoplasmic	8.96
WP_012516596.1 MULTISPECIES: DNA helicase Rep [Alteromonas]	Cytoplasmic	9.97
WP_012516598.1 MULTISPECIES: c-type cytochrome [Alteromonas]	Unknown	2.50
WP_012516600.1 MULTISPECIES: helix-turn-helix domain-containing protein [Alteromonas]	Unknown	2.00
WP_012516603.1 MULTISPECIES: YeeE/YedE family protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516604.1 YeeE/YedE family protein [Alteromonas mediterranea]	CytoplasmicMembrane	10.00
WP_012516605.1 MULTISPECIES: RrF2 family transcriptional regulator [Alteromonas]	Cytoplasmic	8.96
WP_012516607.1 MULTISPECIES: MBL fold metallo-hydrolase [Alteromonas]	Cytoplasmic	8.96
WP_012516611.1 hypothetical protein [Alteromonas mediterranea]	CytoplasmicMembrane	9.86
WP_012516614.1 MULTISPECIES: cytochrome d ubiquinol oxidase subunit II [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516615.1 MULTISPECIES: cytochrome ubiquinol oxidase subunit I [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516628.1 MULTISPECIES: DUF2960 family protein [Gammaproteobacteria]	Unknown	2.00
WP_012516649.1 MULTISPECIES: HlyD family secretion protein [Alteromonadaceae]	CytoplasmicMembrane	9.82
WP_012516657.1 MULTISPECIES: MBL fold metallo-hydrolase [Alteromonas]	Cytoplasmic	8.96
WP_012516670.1 uroporphyrinogen-III synthase [Alteromonas mediterranea]	Unknown	2.00
WP_012516671.1 MULTISPECIES: hydroxymethylbilane synthase [Alteromonas]	Cytoplasmic	9.97
WP_012516677.1 MULTISPECIES: bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase [Alteromonas]	Cytoplasmic	8.96
WP_012516679.1 MULTISPECIES: tRNA (guanosine(18)-2'-O)-methyltransferase TrmH [Alteromonas]	Cytoplasmic	9.97
WP_012516682.1 MULTISPECIES: peroxiredoxin [Alteromonas]	Unknown	2.00
WP_012516683.1 hypothetical protein [Alteromonas mediterranea]	Unknown	4.90
WP_012516684.1 extracellular solute-binding protein [Alteromonas mediterranea]	Periplasmic	9.76
WP_012516685.1 ABC transporter permease [Alteromonas mediterranea]	CytoplasmicMembrane	10.00
WP_012516686.1 ABC transporter ATP-binding protein [Alteromonas mediterranea]	CytoplasmicMembrane	9.82
WP_012516687.1 mechanosensitive ion channel family protein [Alteromonas mediterranea]	CytoplasmicMembrane	10.00
WP_012516696.1 diguanylate phosphodiesterase [Alteromonas mediterranea]	CytoplasmicMembrane	7.88
WP_012516697.1 ArgP/LysG family DNA-binding transcriptional regulator [Alteromonas mediterranea]	Cytoplasmic	9.97
WP_012516698.1 LysE/ArgO family amino acid transporter [Alteromonas mediterranea]	CytoplasmicMembrane	10.00
WP_012516699.1 MULTISPECIES: DMT family transporter [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516700.1 DUF1499 domain-containing protein [Alteromonas mediterranea]	CytoplasmicMembrane	9.46
WP_012516702.1 MULTISPECIES: efflux RND transporter periplasmic adaptor subunit [Alteromonas]	CytoplasmicMembrane	9.97
WP_012516704.1 MULTISPECIES: alpha/beta hydrolase [Alteromonas]	Unknown	2.00
WP_012516705.1 MULTISPECIES: bifunctional acetyl-CoA hydrolase/transferase family protein/GNAT family N-acetyltransferase [Alteromonas]	Cytoplasmic	9.97
WP_012516708.1 MULTISPECIES: DUF6436 domain-containing protein [Alteromonas]	Unknown	2.00
WP_012516710.1 MULTISPECIES: ATP-grasp domain-containing protein [Alteromonas]	Unknown	2.00
WP_012516712.1 MULTISPECIES: GTP cyclohydrolase II [Alteromonas]	Cytoplasmic	9.97
WP_012516717.1 MULTISPECIES: magnesium transporter [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516719.1 MULTISPECIES: GGDEF domain-containing response regulator [Alteromonas]	Cytoplasmic	9.97
WP_012516720.1 MULTISPECIES: DNA helicase II [Alteromonas]	Cytoplasmic	9.97
WP_012516721.1 MULTISPECIES: serine O-acetyltransferase [Alteromonas]	Cytoplasmic	9.97
WP_012516723.1 MULTISPECIES: tyrosine recombinase XerC [Alteromonas]	Cytoplasmic	9.97
WP_012516724.1 MULTISPECIES: DUF484 family protein [Alteromonas]	Unknown	2.00
WP_012516725.1 MULTISPECIES: diaminopimelate epimerase [Alteromonas]	Cytoplasmic	9.97
WP_012516726.1 MULTISPECIES: diaminopimelate decarboxylase [Alteromonas]	Cytoplasmic	9.97
WP_012516729.1 phosphatase PAP2 family protein [Alteromonas mediterranea]	CytoplasmicMembrane	10.00
WP_012516732.1 MULTISPECIES: flavin prenyltransferase UbiX [Alteromonas]	Cytoplasmic	9.26
WP_012516743.1 MULTISPECIES: MFS transporter [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516745.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516746.1 MULTISPECIES: alpha/beta hydrolase family protein [Alteromonas]	Unknown	2.00
WP_012516748.1 MULTISPECIES: LacI family DNA-binding transcriptional regulator [Alteromonas]	Cytoplasmic	9.97
WP_012516750.1 MULTISPECIES: UDP-glucose--hexose-1-phosphate uridylyltransferase [Alteromonas]	Unknown	2.00
WP_012516753.1 MULTISPECIES: single-stranded DNA-binding protein [Alteromonas]	Cytoplasmic	9.26
WP_012516764.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.50
WP_012516775.1 MULTISPECIES: prepilin-type N-terminal cleavage/methylation domain-containing protein [Alteromonas]	Unknown	2.00
WP_012516782.1 MULTISPECIES: rod shape-determining protein [Alteromonas]	Cytoplasmic	9.97
WP_012516784.1 MULTISPECIES: rod shape-determining protein MreD [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516794.1 MULTISPECIES: two-component system response regulator ArcA [Alteromonas]	Cytoplasmic	9.97
WP_012516795.1 MULTISPECIES: sensor histidine kinase [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516800.1 MULTISPECIES: A/G-specific adenine glycosylase [Alteromonas]	Cytoplasmic	9.97
WP_012516801.1 MULTISPECIES: oxidative damage protection protein [Alteromonas]	Unknown	2.00
WP_012516828.1 MULTISPECIES: formyltransferase family protein [Alteromonas]	Cytoplasmic	8.96
WP_012516830.1 MULTISPECIES: heavy metal response regulator transcription factor [Alteromonas]	Cytoplasmic	9.97
WP_012516831.1 MULTISPECIES: DUF411 domain-containing protein [Alteromonas]	Periplasmic	9.84
WP_012516837.1 MULTISPECIES: copper resistance CopC family protein [Alteromonas]	Unknown	2.50
WP_012516845.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516846.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.50
WP_012516848.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Periplasmic	9.84
WP_012516849.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Unknown	2.00
WP_012516859.1 MULTISPECIES: hypothetical protein [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516861.1 MULTISPECIES: hydrogenase maturation nickel metallochaperone HypA/HybF [Alteromonas]	Unknown	2.00
WP_012516862.1 MULTISPECIES: hydrogenase nickel incorporation protein HypB [Alteromonas]	Cytoplasmic	9.97
WP_012516865.1 MULTISPECIES: hydrogenase expression/formation protein HypE [Alteromonas]	Cytoplasmic	8.96
WP_012516876.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
