Synonym,Product,Expression 9313 t=20 + 0.01,Expression t=20 9313+1A3 + 0.01,q Value,log 2 fold change coculture/axenic,
PMT1571,hypothetical protein,24.01,794.01,0,5.047449869,
PMT1599,magnesium chelatase family protein,1.01,20.01,5.45E-50,4.308293969,
PMT1570,hypothetical protein,158.01,3017.01,0,4.255031708,
PMT1572,hypothetical protein,19.01,351.01,0,4.206681695,
PMT2117,D12 class N6 adenine-specific DNA met,59.01,943.01,0,3.998241706,
PMT1940,C9 family peptidase,40.01,637.01,0,3.992883487,
PMT1005,gamma-thionins family protein,1.01,16.01,9.04E-40,3.98654611,
PMT0631,hypothetical protein,67.01,1037.01,0,3.951909589,
PMT0328,bromo domain-containing protein,413.01,5687.01,3.66E-139,3.783421723,
PMT2138,hypothetical protein,40.01,538.01,0,3.749200455,
PMT0923,hypothetical protein,30.01,396.01,9.17E-281,3.722021637,
PMT0168,"negative factor, (F-protein) or Nef",359.01,4642.01,7.48E-281,3.692653696,
PMT0169,chitin synthase,26.01,300.01,2.07E-169,3.527872285,
PMT1576,ABC transporter ATP-binding protein,19.01,215.01,4.20E-201,3.499573323,
PMT0928,hypothetical protein,32.01,362.01,7.44E-191,3.499434968,
PMT0959,kinesin motor domain,16.01,180.01,1.15E-124,3.491031841,
PMT0962,kinesin motor domain,17.01,182.01,4.67E-119,3.419562671,
PMT2137,hypothetical protein,94.01,973.01,6.95E-282,3.3715685,
PMT2118,tRNA synthetase class I (C),586.01,5445.01,2.78E-225,3.21593751,
PMT1007,hypothetical protein,35.01,325.01,1.53E-115,3.214645141,
PMT0983,kinesin motor domain,49.01,454.01,1.13E-130,3.211576023,
PMT1573,ABC transporter,20.01,185.01,1.53E-158,3.20881018,
PMT0943,hypothetical protein,440.01,4012.01,3.61E-221,3.188716985,
PMT1223,hypothetical protein,225.01,1937.01,1.21E-155,3.105770377,
PMT0246,Profilin,225.01,1819.01,1.71E-165,3.015092449,
PMT1017,hypothetical protein,8.01,64.01,6.53E-54,2.998423161,
PMT0956,kinesin motor domain,16.01,126.01,3.66E-56,2.976493016,
PMT1577,hypothetical protein,146.01,1149.01,9.41E-153,2.976252268,
PMT1153,high light inducible protein,1258.01,8401.01,1.44E-87,2.739419394,
PMT0925,hypothetical protein,1373.01,9056.01,7.85E-30,2.721533418,
PMT0929,hemolysin-type calcium-binding domain-containing protein,179.01,1161.01,4.27E-89,2.697268311,
PMT0971,bZIP transcription factor,24.01,154.01,1.12E-50,2.681316721,
PMT0827,hypothetical protein,8.01,47.01,4.59E-22,2.553093533,
PMT0924,carbamoyl-phosphate synthase L chain,101.01,592.01,9.29E-78,2.551123418,
PMT1941,hypothetical protein,7.01,39.01,7.14E-20,2.476357649,
PMT0483,malic enzyme,744.01,3771.01,9.27E-33,2.341557059,
PMT0449,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",12.01,59.01,1.21E-37,2.296723307,
PMT0916,hypothetical protein,267.01,1301.01,1.70E-49,2.284666372,
PMT1038,hypothetical protein,9.01,41.01,4.18E-15,2.186376733,
PMT1224,protein ligase,32.01,142.01,1.46E-31,2.149397942,
PMT1554,pentapeptide repeat-containing protein,5.01,22.01,4.78E-12,2.135276637,
PMT0915,outer membrane protein,41.01,175.01,7.12E-28,2.093389711,
PMT0265,two component sensor histidine kinase,20.01,77.01,7.04E-23,1.944324629,
PMT1006,cystine-knot domain-containing protein,6.01,23.01,2.73E-09,1.936824088,
PMT1383,hypothetical protein,6.01,22.01,4.06E-08,1.872722249,
PMT1801,hypothetical protein,10.01,36.01,4.75E-09,1.846955625,
PMT2122,REJ domain-containing protein,12.01,42.01,1.21E-08,1.806496635,
PMT0294,site-specific recombinase,4.01,14.01,4.37E-07,1.804782814,
PMT0947,hypothetical protein,19.01,64.01,1.24E-08,1.751538777,
PMT0912,hypothetical protein,36.01,121.01,9.15E-12,1.748656769,
PMT0184,enolase-phosphatase E-1,12.01,40.01,7.52E-11,1.736124478,
PMT0836,hypothetical protein,16.01,53.01,9.55E-08,1.727291233,
PMT0911,hypothetical protein,19.01,62.01,7.09E-08,1.705742357,
PMT0127,type II alternative sigma-70 family RNA polymerase sigma factor,40.01,129.01,1.16E-16,1.689050364,
PMT1152,high light inducible protein,278.01,881.01,6.83E-15,1.664021617,
PMT0487,fibronectin type I domain-containing protein,19.01,57.01,1.73E-07,1.584456469,
PMT1564,phosphate-binding protein,52.01,151.01,1.13E-09,1.537783146,
PMT0671,hypothetical protein,28.01,81.01,5.83E-08,1.532158024,
PMT1698,WRKY DNA-binding domain,8.01,23.01,7.09E-05,1.522386836,
PMT1068,type II alternative sigma-70 family RNA polymerase sigma factor,43.01,122.01,3.99E-13,1.50425536,
PMT1154,high light inducible protein,1049.01,2962.01,1.68E-14,1.49754808,
PMT1583,hypothetical protein,31.01,84.01,2.06E-07,1.437827541,
PMT0926,hypothetical protein,55.01,145.01,2.02E-07,1.398386585,
PMT0829,hypothetical protein,11.01,29.01,4.95E-05,1.397735827,
PMT1380,hypothetical protein,16.01,42.01,5.50E-05,1.391759478,
PMT0644,Holliday junction DNA helicase RuvA,20.01,51.01,5.42E-07,1.350058933,
PMT0511,hypothetical protein,27.01,68.01,8.95E-06,1.332253252,
PMT0245,hypothetical protein,171.01,427.01,6.63E-11,1.320189165,
PMT0759,hypothetical protein,10.01,24.01,4.72E-04,1.262193429,
PMT0172,hypothetical protein,16.01,38.01,1.36E-04,1.247405717,
PMT0167,hypothetical protein,36.01,84.01,3.32E-05,1.222163468,
PMT0861,hypothetical protein,9.01,21.01,6.96E-04,1.221477151,
PMT0235,hypothetical protein,17.01,39.01,2.82E-04,1.197460857,
PMT0870,hypothetical protein,17.01,39.01,8.77E-04,1.197460857,
PMT0159,hypothetical protein,24.01,55.01,2.91E-04,1.196058499,
PMT0261,hypothetical protein,21.01,48.01,2.43E-08,1.192258774,
PMT0242,hypothetical protein,47.01,107.01,1.62E-05,1.186706036,
PMT2114,FYVE zinc finger,15.01,34.01,8.93E-04,1.180035029,
PMT0794,spectrin repeat-containing protein,217.01,491.01,6.70E-09,1.177990882,
PMT0696,heat shock protein 90,186.01,415.01,0.006854557,1.157765916,
PMT0751,M23/M37 familypeptidase,38.01,84.01,2.11E-07,1.144182042,
PMT1657,hypothetical protein,23.01,50.01,2.97E-04,1.119955621,
PMT1658,30S ribosomal protein S14,47.01,102.01,6.03E-05,1.117671,
PMT1557,oxidoreductase,6.01,13.01,2.94E-04,1.114184066,
PMT0842,pyrimidine dimer DNA glycosylase,22.01,47.01,7.66E-05,1.094808535,
PMT0378,cell division protein FtsH3,319.01,679.01,0.008971915,1.089831173,
PMT2116,hypothetical protein,144.01,304.01,1.70E-07,1.077949785,
PMT0904,hypothetical protein,40.01,84.01,8.21E-05,1.070200438,
PMT1278,Paralytic/GBP/PSP peptide,33.01,69.01,8.21E-05,1.063902294,
PMT1640,high light inducible protein,104.01,217.01,9.45E-06,1.061039282,
PMT0605,tRNA 2-selenouridine synthase,26.01,54.01,6.10E-06,1.054160149,
PMT1765,hypothetical protein,13.01,27.01,2.57E-04,1.053872678,
PMT1644,hypothetical protein,46.01,95.01,7.39E-05,1.046131912,
PMT0099,"imidazoleglycerol-phosphate synthase, glutamine amidotransferase subunit",93.01,192.01,2.76E-07,1.045723708,
PMT0244,hypothetical protein,21.01,43.01,0.001411572,1.033595969,
PMT0149,hypothetical protein,53.01,108.01,1.06E-05,1.026828443,
PMT0585,glycosyl transferase family protein,40.01,6.01,0.007408019,-2.734923733,
PMT0651,hypothetical protein,53.01,1.01,0,-5.713837343,
PMT0992,high light inducible protein,46.01,0.01,0,-12.16773174,
PMT0944,hypothetical protein,0.01,9.01,1,9.815383296,
PMT0624,hypothetical protein,0.01,7.01,1,9.453270634,
PMT0831,hypothetical protein,0.01,6.01,1,9.231221181,
PMT0970,capsid protein,0.01,4.01,1,8.647458426,
PMT0957,hypothetical protein,1.01,9.01,1,3.157171813,
PMT1390,hypothetical protein,1.01,9.01,1,3.157171813,
PMT0290,Phage integrase,1.01,4.01,1,1.989246944,
PMT0880,hypothetical protein,4.01,12.01,1,1.582562009,
PMT1020,hypothetical protein,3.01,9.01,1,1.581763619,
PMT0800,hypothetical protein,2.01,5.01,1,1.317615102,
PMT1389,hypothetical protein,5.01,11.01,1,1.13593196,
PMT2221,serine protease inhibitor,5.01,11.01,1,1.13593196,
PMT1643,hypothetical protein,52.01,104.01,7.75E-05,0.999861299,
PMT0846,hypothetical protein,39.01,78.01,1.37E-04,0.999815075,
PMT0906,hypothetical protein,7.01,14.01,0.010324238,0.998970606,
PMT0377,hypothetical protein,6.01,12.01,1,0.998799255,
PMT0237,hypothetical protein,4.01,8.01,1,0.998200006,
PMT0835,C-type lectin domain-containing protein,4.01,8.01,1,0.998200006,
PMT1479,extracellular link domain-containing protein,1179.01,2352.01,9.48E-06,0.996318239,
PMT0917,hypothetical protein,106.01,211.01,8.57E-06,0.99311101,
PMT0275,SAM-binding motif-containing protein,57.01,112.01,1.76E-04,0.974340632,
PMT0630,gonadotropin-releasing hormone,51.01,100.01,5.29E-06,0.971292256,
PMT0098,LPS biosynthesis protein,145.01,284.01,1.53E-06,0.969789335,
PMT1041,hypothetical protein,23.01,45.01,6.36E-04,0.967984581,
PMT0243,REJ domain-containing protein,22.01,43.01,0.003640219,0.966512986,
PMT2119,hypothetical protein,57.01,111.01,2.56E-04,0.961402737,
PMT0481,hypothetical protein,17.01,33.01,6.79E-04,0.956519998,
PMT2130,hypothetical protein,16.01,31.01,0.007820311,0.953760218,
PMT1654,cell division topological specificity factor MinE,76.01,147.01,2.87E-05,0.951653155,
PMT0987,hypothetical protein,13.01,25.01,0.006038366,0.942884095,
PMT2123,hypothetical protein,20.01,38.01,0.005442124,0.925657858,
PMT0772,methionyl-tRNA formyltransferase,27.01,51.01,6.59E-05,0.917286461,
PMT1171a,cytochrome b6-f complex subunit PetM,32.01,60.01,0.009545292,0.906680253,
PMT0991,tRNA synthetase class I (E and Q),8.01,15.01,0.017575648,0.906049829,
PMT2093,ribonuclease HI,15.01,28.01,7.07E-04,0.900018006,
PMT1015,hypothetical protein,96.01,177.01,6.39E-05,0.882574282,
PMT0423,endolysin,29.01,53.01,3.82E-04,0.869714245,
PMT0293,hypothetical protein,40.01,73.01,8.85E-04,0.867733451,
PMT0734,arginine repressor domain-containing protein,22.01,40.01,0.002257215,0.862201483,
PMT1945,C1q domain-containing protein,20.01,36.01,0.006302214,0.847676432,
PMT0304,hypothetical protein,10.01,18.01,0.047369137,0.847356207,
PMT0914,hypothetical protein,10.01,18.01,0.01353639,0.847356207,
PMT1208,hypothetical protein,5.01,9.01,1,0.846716503,
PMT1676,"E2 (early) protein, C terminal",5.01,9.01,1,0.846716503,
PMT0368,inorganic polyphosphate/ATP-NAD kinase,19.01,34.01,7.70E-04,0.839200474,
PMT0100,imidazole glycerol phosphate synthase subunit HisF,33.01,59.01,1.51E-04,0.83805632,
PMT1494,hypothetical protein,65.01,116.01,9.84E-04,0.835515611,
PMT0376,potassium channel,23.01,41.01,0.001263922,0.83371476,
PMT1985,pectate lyase,18.01,32.01,0.001251256,0.829724496,
PMT0610,hypothetical protein,22.01,39.01,0.008328171,0.825684853,
PMT0518,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase,13.01,23.01,0.003574717,0.822640022,
PMT0161,hypothetical protein,21.01,37.01,0.005971033,0.816838974,
PMT1634,hypothetical protein,21.01,37.01,0.01635196,0.816838974,
PMT1008,hypothetical protein,150.01,264.01,2.32E-05,0.815533899,
PMT2255,molecular chaperone DnaK,809.01,1423.01,0.040069631,0.81471636,
PMT2153,hypothetical protein,72.01,126.01,2.37E-05,0.807269057,
PMT0818,S4 domain-containing protein,16.01,28.01,0.023012524,0.806968676,
PMT1256,arsenate reductase,35.01,61.01,0.001922468,0.801278669,
PMT0922,SAP domain-containing protein,75.01,130.01,4.02E-04,0.793467748,
PMT0732,ATP adenylyltransferase,26.01,45.01,6.00E-04,0.791179165,
PMT0882,hypothetical protein,11.01,19.01,0.028982141,0.787944063,
PMT0457,hypothetical protein,291.01,502.01,3.55E-05,0.786647373,
PMT1211,hypothetical protein,18.01,31.01,0.010999588,0.783935345,
PMT1088,hypothetical protein,17.01,29.01,0.005348232,0.770167155,
PMT0234,Phage integrase,27.01,46.01,2.99E-04,0.768453817,
PMT0150,hypothetical protein,85.01,144.01,0.001105686,0.76046453,
PMT1565,cytochrome P450 enzyme,32.01,54.01,1.18E-04,0.754703871,
PMT2202,ABC transporter ATP-binding protein,40.01,67.01,4.06E-04,0.744015778,
PMT0683,hypothetical protein,46.01,77.01,6.30E-04,0.74309834,
PMT1806,NAD binding site:FAD-dependent pyridine nucleotide-disulfide,21.01,35.01,3.43E-04,0.7366909,
PMT1318,guanylate kinase,9.01,15.01,0.012406339,0.736324966,
PMT1615,hypothetical protein,9.01,15.01,0.02984545,0.736324966,
PMT2121,aldo/keto reductase,229.01,379.01,7.92E-05,0.726825317,
PMT0387,bacterioferritin comigratory protein,99.01,163.01,1.30E-04,0.719314321,
PMT0248,lysyl hydrolase,45.01,74.01,0.004514789,0.717474652,
PMT1024,VIC family potassium channel protein,28.01,46.01,0.00100268,0.716005473,
PMT1815,aspartyl/glutamyl-tRNA amidotransferase subunit C,195.01,318.01,1.10E-04,0.705524026,
PMT0278,hypothetical protein,107.01,172.01,1.74E-04,0.684746818,
PMT1581,hypothetical protein,63.01,101.01,8.43E-04,0.680845412,
PMT2173,hypothetical protein,35.01,56.01,8.92E-04,0.677917367,
PMT0067,hypothetical protein,30.01,48.01,5.92E-04,0.677891617,
PMT0211,recombination protein O,15.01,24.01,0.00652623,0.677711427,
PMT0953,M1 family peptidase,5.01,8.01,1,0.676991639,
PMT0680,hypothetical protein,47.01,75.01,0.004572945,0.674115262,
PMT0466,hypothetical protein,121.01,193.01,2.25E-04,0.673549323,
PMT1480,hypothetical protein,962.01,1522.01,5.18E-04,0.661854042,
PMT0041,hypothetical protein,129.01,204.01,8.82E-04,0.661156973,
PMT1078,photosystem II oxygen evolving complex protein PsbP,83.01,130.01,2.17E-04,0.647265546,
PMT2066,diacylglycerol kinase,76.01,119.01,8.22E-04,0.646821664,
PMT1686,dihydrobiliverdin:ferredoxin oxidoreductase,43.01,67.01,0.001121528,0.639704276,
PMT1949,ribonuclease III,52.01,81.01,3.76E-04,0.63931097,
PMT1932,heme oxygenase,9.01,14.01,0.051292395,0.636857945,
PMT0949,hypothetical protein,20.01,31.01,0.027889538,0.632012359,
PMT0723,hypothetical protein,131.01,203.01,2.79E-04,0.631873857,
PMT1566,hypothetical protein,33.01,51.01,0.009427571,0.627876962,
PMT1607,AsnC family regulatory protein,164.01,253.01,2.89E-04,0.625410626,
PMT0385,esterase/lipase/thioesterase family protein,59.01,91.01,6.94E-04,0.625065616,
PMT1455,imidazoleglycerol-phosphate dehydratase,26.01,40.01,0.003068106,0.621294229,
PMT2125,hypothetical protein,67.01,103.01,0.002057499,0.620336086,
PMT0241,hypothetical protein,28.01,43.01,0.014506895,0.618730148,
PMT2142,hypothetical protein,15.01,23.01,0.033109214,0.616337007,
PMT2190,multidrug efflux ABC transporter,15.01,23.01,0.009705152,0.616337007,
PMT1822,hypothetical protein,17.01,26.01,0.004454821,0.612683258,
PMT1155,GTP-dependent nucleic acid-binding protein EngD,19.01,29.01,0.003348346,0.609791764,
PMT1833,hypothetical protein,40.01,61.01,0.005919559,0.608685102,
PMT0316,PIN domain superfamily protein,107.01,163.01,4.13E-04,0.607214849,
PMT1387,hypothetical protein,199.01,303.01,3.55E-04,0.60652448,
PMT2203,ABC transporter substrate-binding protein,27.01,41.01,0.002312269,0.602482104,
PMT1169,translation initiation factor IF-1,320.01,485.01,4.89E-04,0.599897505,
PMT1348,aldo/keto reductase,39.01,59.01,5.49E-04,0.59711546,
PMT0325,hypothetical protein,47.01,71.01,0.004660994,0.595054526,
PMT1552,CopG family protein,108.01,163.01,0.001341272,0.593795582,
PMT0856,large-conductance mechanosensitive channel mscL,68.01,102.01,0.002424338,0.584891789,
PMT1694,hypothetical protein,56.01,84.01,0.002044424,0.584876639,
PMT0588,ABC transporter transmembrane protein,36.01,54.01,8.89E-04,0.584828949,
PMT0788,ABC transporter ATP-binding protein,26.01,39.01,0.006921555,0.584777599,
PMT1659,hypothetical protein,14.01,21.01,0.020992794,0.584619206,
PMT2224,class IV aminotransferase,12.01,18.01,0.010271242,0.58456203,
PMT1112,pseudouridylate synthase,10.01,15.01,0.026408842,0.584482003,
PMT0968,hypothetical protein,8.01,12.01,1,0.584362003,
PMT0745,hypothetical protein,6.01,9.01,1,0.584162115,
PMT0219,tropomyosin,4.01,6.01,1,0.583762754,
PMT0296,TPR repeat-containing protein,4.01,6.01,1,0.583762754,
PMT0834,hypothetical protein,2.01,3.01,1,0.582567986,
PMT1582,hypothetical protein,2.01,3.01,1,0.582567986,
PMT0586,hypothetical protein,915.01,1365.01,5.47E-04,0.577052105,
PMT1586,methionine sulfoxide reductase family protein,80.01,119.01,0.001649529,0.572830573,
PMT1285,hypothetical protein,409.01,607.01,5.69E-04,0.569584167,
PMT1330,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,27.01,40.01,0.006955836,0.566866989,
PMT0942,hypothetical protein,34.01,50.01,0.00605748,0.556257599,
PMT0413,NAD binding site,15.01,22.01,0.008694952,0.552235168,
PMT1404,hypothetical protein,78.01,114.01,0.003436096,0.547429393,
PMT0773,hypothetical protein,13.01,19.01,0.019565555,0.54713757,
PMT2110,ABC transporter ATP-binding protein,13.01,19.01,0.004683814,0.54713757,
PMT0510,N-acetyltransferase GCN5,63.01,92.01,7.69E-04,0.546209858,
PMT1879,retinal pigment epithelial membrane protein,81.01,118.01,7.74E-04,0.542737204,
PMT1393,hypothetical protein,22.01,32.01,0.017291191,0.540363532,
PMT0107,hypothetical protein,128.01,186.01,8.75E-04,0.539123667,
PMT0274,imidazole glycerol phosphate synthase subunit HisF,20.01,29.01,0.011369849,0.535829128,
PMT1520,arylsulfatase regulatory protein,9.01,13.01,0.017218878,0.530021951,
PMT1534,hypothetical protein,169.01,244.01,8.69E-04,0.529831663,
PMT1117,hypothetical protein,41.01,59.01,0.017606085,0.524983715,
PMT0463,YciI-like protein,48.01,69.01,0.016501815,0.523470497,
PMT0865,RecF protein:ABC transporter,16.01,23.01,8.90E-04,0.523287676,
PMT0014,RNA recognition motif-containing protein,46.01,66.01,0.003400466,0.520737142,
PMT1808,methylpurine-DNA glycosylase (MPG),23.01,33.01,0.012396571,0.520642155,
PMT2168,hypothetical protein,192.01,275.01,9.47E-04,0.51830263,
PMT0046,hypothetical protein,81.01,116.01,8.68E-04,0.518077258,
PMT0352,"integral membrane protein, interacts with FtsH",1770.01,2533.01,0.097895261,0.517095262,
PMT0108,ABC transporter ATP-binding protein,58.01,83.01,0.001218618,0.516983525,
PMT0247,hypothetical protein,7.01,10.01,1,0.513955625,
PMT0967,hypothetical protein,7.01,10.01,1,0.513955625,
PMT1070,helix-hairpin-helix DNA-binding motif-containing protein,40.01,57.01,0.002599368,0.510854373,
PMT1189,hypothetical protein,33.01,47.01,0.006461517,0.510064542,
PMT0609,hypothetical protein,19.01,27.01,0.051411303,0.506735108,
PMT1172,hypothetical protein,53.01,75.01,0.017653221,0.500818402,
PMT0554,glycine betaine/proline ABC transporter,75.01,106.01,0.001115536,0.499045514,
PMT2217,type II alternative RNA polymerase sigma factor,85.01,120.01,0.001243731,0.49745016,
PMT0901,hypothetical protein,59.01,83.01,0.00118553,0.492325686,
PMT0937,hypothetical protein,52.01,73.01,0.012386051,0.489305042,
PMT0860,hypothetical protein,75.01,105.01,0.004711676,0.485371874,
PMT0223,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,5.01,7.01,1,0.484603841,
PMT0758,kinase,5.01,7.01,1,0.484603841,
PMT0886,hypothetical protein,5.01,7.01,1,0.484603841,
PMT1106,cytochrome C biogenesis protein,76.01,106.01,0.001251256,0.479939222,
PMT2180,hypothetical protein,138.01,192.01,0.001470409,0.476408643,
PMT1097,two-component response regulator,191.01,265.01,0.001470815,0.47239863,
PMT2132,hypothetical protein,42.01,58.01,0.023672101,0.465568833,
PMT0667,3-dehydroquinate synthase,21.01,29.01,0.008158903,0.465474134,
PMT1513,hypothetical protein,29.01,40.01,0.006558871,0.463810333,
PMT0873,transglycosylase,37.01,51.01,0.003343437,0.462864965,
PMT1197,RuBisCo-expression protein CbbX,32.01,44.01,0.005123062,0.459308695,
PMT1304,short chain dehydrogenase,32.01,44.01,0.007597337,0.459308695,
PMT0905,hypothetical protein,24.01,33.01,0.044447593,0.459267735,
PMT0060,hypothetical protein,43.01,59.01,0.004789595,0.456287327,
PMT1929,ABC transporter transmembrane region:ATP/GTP-binding site,35.01,48.01,0.002127543,0.455567874,
PMT2152,guanylate cyclase,35.01,48.01,0.002184033,0.455567874,
