SeqID	Localization	Score
WP_010179497.1 MULTISPECIES: 30S ribosomal protein S10 [Alteromonadaceae]	Cytoplasmic	9.97
WP_012516526.1 MULTISPECIES: DNA polymerase III subunit beta [Alteromonas]	Cytoplasmic	9.97
WP_012516568.1 MULTISPECIES: nucleoid occlusion factor SlmA [Alteromonas]	Cytoplasmic	9.97
WP_012516577.1 MULTISPECIES: 50S ribosomal protein L33 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012516940.1 MULTISPECIES: LacI family DNA-binding transcriptional regulator [Alteromonas]	Cytoplasmic	9.97
WP_012516958.1 MULTISPECIES: 50S ribosomal protein L4 [Alteromonas]	Cytoplasmic	9.97
WP_012516959.1 MULTISPECIES: 50S ribosomal protein L23 [Alteromonas]	Cytoplasmic	9.26
WP_012516961.1 MULTISPECIES: 30S ribosomal protein S19 [Alteromonas]	Cytoplasmic	9.97
WP_012516988.1 MULTISPECIES: P-II family nitrogen regulator [Alteromonas]	CytoplasmicMembrane	7.88
WP_012517074.1 MULTISPECIES: thioredoxin TrxA [Alteromonas]	Cytoplasmic	9.26
WP_012517169.1 MULTISPECIES: 50S ribosomal protein L21 [Alteromonas]	Cytoplasmic	9.97
WP_012517170.1 MULTISPECIES: 50S ribosomal protein L27 [Alteromonas]	Cytoplasmic	9.26
WP_012517258.1 MULTISPECIES: 30S ribosomal protein S21 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012517279.1 MULTISPECIES: MotA/TolQ/ExbB proton channel family protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_012517332.1 MULTISPECIES: stringent starvation protein SspA [Alteromonas]	Cytoplasmic	9.97
WP_012517338.1 MULTISPECIES: ribosome hibernation promoting factor [Alteromonas]	Cytoplasmic	9.26
WP_012517538.1 MULTISPECIES: transcriptional regulator NrdR [Alteromonas]	Cytoplasmic	9.97
WP_012517628.1 MULTISPECIES: flagellar hook assembly protein FlgD [Alteromonas]	Extracellular	9.71
WP_012517675.1 MULTISPECIES: flagellar biosynthesis protein FliQ [Alteromonas]	CytoplasmicMembrane	10.00
WP_012517682.1 MULTISPECIES: chemotaxis response regulator CheY [Alteromonadaceae]	Cytoplasmic	9.97
WP_012517705.1 MULTISPECIES: carbon storage regulator CsrA [Alteromonas]	Unknown	2.00
WP_012517736.1 MULTISPECIES: MotA/TolQ/ExbB proton channel family protein [Gammaproteobacteria]	CytoplasmicMembrane	10.00
WP_012517737.1 MULTISPECIES: ExbD/TolR family protein [Alteromonas]	Unknown	2.00
WP_012517742.1 MULTISPECIES: acyl-CoA thioesterase [Alteromonas]	Cytoplasmic	9.97
WP_012517787.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	CytoplasmicMembrane	9.82
WP_012517852.1 MULTISPECIES: dihydroneopterin triphosphate 2'-epimerase [Alteromonas]	Unknown	2.00
WP_012517879.1 MULTISPECIES: outer membrane protein assembly factor BamE [Alteromonas]	OuterMembrane	9.92
WP_012518091.1 MULTISPECIES: 50S ribosomal protein L35 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012518092.1 MULTISPECIES: 50S ribosomal protein L20 [Alteromonas]	Cytoplasmic	9.26
WP_012518127.1 MULTISPECIES: phenylalanine--tRNA ligase subunit alpha [Alteromonas]	Cytoplasmic	10.00
WP_012518206.1 MULTISPECIES: 50S ribosomal protein L32 [Alteromonas]	Cytoplasmic	9.26
WP_012518211.1 MULTISPECIES: acyl carrier protein [Alteromonadaceae]	Cytoplasmic	9.97
WP_012518257.1 MULTISPECIES: 30S ribosomal protein S15 [Alteromonas]	Cytoplasmic	9.26
WP_012518305.1 MULTISPECIES: MarR family winged helix-turn-helix transcriptional regulator [Alteromonas]	Cytoplasmic	9.97
WP_012518312.1 MULTISPECIES: DUF1244 domain-containing protein [Alteromonas]	Unknown	2.00
WP_012518362.1 MULTISPECIES: succinate dehydrogenase iron-sulfur subunit [Alteromonas]	CytoplasmicMembrane	9.82
WP_012518366.1 MULTISPECIES: succinate--CoA ligase subunit alpha [Alteromonadales]	Cytoplasmic	9.97
WP_012518842.1 MULTISPECIES: type II toxin-antitoxin system ParD family antitoxin [Alteromonas]	Unknown	2.00
WP_012518957.1 MULTISPECIES: RNA polymerase sigma factor RpoE [Alteromonas]	Cytoplasmic	9.97
WP_012518978.1 MULTISPECIES: nucleoid-associated protein HU-beta [Alteromonas]	Cytoplasmic	9.26
WP_012519000.1 MULTISPECIES: nucleoside-diphosphate kinase [Alteromonas]	Cytoplasmic	9.26
WP_012519093.1 MULTISPECIES: DUF2788 domain-containing protein [Gammaproteobacteria]	CytoplasmicMembrane	9.82
WP_012519109.1 MULTISPECIES: 5'-deoxynucleotidase [Alteromonas]	Cytoplasmic	8.96
WP_012519212.1 MULTISPECIES: 50S ribosomal protein L17 [Gammaproteobacteria]	Cytoplasmic	9.97
WP_012519214.1 MULTISPECIES: 30S ribosomal protein S4 [Gammaproteobacteria]	Cytoplasmic	9.97
WP_012519215.1 MULTISPECIES: 30S ribosomal protein S11 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_012519216.1 MULTISPECIES: 30S ribosomal protein S13 [Gammaproteobacteria]	Cytoplasmic	9.97
WP_012519217.1 MULTISPECIES: 50S ribosomal protein L36 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_012519221.1 MULTISPECIES: 30S ribosomal protein S5 [Alteromonas]	Cytoplasmic	9.97
WP_012519224.1 MULTISPECIES: 30S ribosomal protein S8 [Alteromonas]	Cytoplasmic	9.97
WP_012519228.1 MULTISPECIES: 50S ribosomal protein L14 [Alteromonas]	Cytoplasmic	9.26
WP_012519465.1 MULTISPECIES: division/cell wall cluster transcriptional repressor MraZ [Alteromonas]	Cytoplasmic	9.97
WP_012519516.1 MULTISPECIES: DUF3545 family protein [Alteromonas]	Unknown	2.00
WP_012519633.1 MULTISPECIES: DNA polymerase III subunit chi [Alteromonas]	Unknown	2.00
WP_012519853.1 MULTISPECIES: YhgN family NAAT transporter [Alteromonas]	CytoplasmicMembrane	10.00
WP_012519854.1 MULTISPECIES: YjaG family protein [Alteromonas]	Cytoplasmic	8.96
WP_012519905.1 MULTISPECIES: transcription antiterminator/RNA stability regulator CspE [Alteromonas]	Cytoplasmic	9.26
WP_012519953.1 MULTISPECIES: 50S ribosomal protein L9 [Alteromonas]	Cytoplasmic	9.97
WP_012519954.1 MULTISPECIES: 30S ribosomal protein S18 [Alteromonas/Salinimonas group]	Cytoplasmic	9.26
WP_012520075.1 MULTISPECIES: peptidylprolyl isomerase PpiC [Alteromonas]	Cytoplasmic	9.26
WP_012520077.1 MULTISPECIES: cytochrome o ubiquinol oxidase subunit IV [Alteromonas]	CytoplasmicMembrane	10.00
WP_012520088.1 MULTISPECIES: co-chaperone GroES [Alteromonas]	Cytoplasmic	9.97
WP_012520109.1 MULTISPECIES: DNA-binding transcriptional regulator Fis [Alteromonas]	Cytoplasmic	9.26
WP_012520152.1 MULTISPECIES: YheV family putative zinc ribbon protein [Alteromonas]	Unknown	2.00
WP_012520154.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012520217.1 MULTISPECIES: F0F1 ATP synthase subunit gamma [Alteromonas]	Cytoplasmic	9.12
WP_012520222.1 MULTISPECIES: F0F1 ATP synthase subunit C [Alteromonas/Salinimonas group]	CytoplasmicMembrane	10.00
WP_012520223.1 MULTISPECIES: F0F1 ATP synthase subunit A [Alteromonas]	CytoplasmicMembrane	10.00
WP_014290886.1 MULTISPECIES: 50S ribosomal protein L34 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_014947710.1 DNA replication/repair protein RecF [Alteromonas macleodii]	Unknown	6.58
WP_014947711.1 MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B [Alteromonas]	Cytoplasmic	9.97
WP_014947712.1 hypothetical protein [Alteromonas macleodii]	Cytoplasmic	8.96
WP_014947713.1 hypothetical protein [Alteromonas macleodii]	Unknown	2.50
WP_014947715.1 glycine--tRNA ligase subunit beta [Alteromonas macleodii]	Cytoplasmic	9.97
WP_014947716.1 MULTISPECIES: glycine--tRNA ligase subunit alpha [Alteromonas]	Cytoplasmic	9.97
WP_014947717.1 DNA-3-methyladenine glycosylase I [Alteromonas macleodii]	Unknown	2.00
WP_014947718.1 MULTISPECIES: DUF2489 domain-containing protein [Alteromonas]	Cytoplasmic	8.96
WP_014947719.1 MULTISPECIES: Der GTPase-activating protein YihI [Alteromonas]	Cytoplasmic	8.96
WP_014947720.1 MULTISPECIES: class I SAM-dependent methyltransferase [Alteromonas]	Cytoplasmic	8.96
WP_014947721.1 MULTISPECIES: c-type cytochrome [Alteromonas]	Periplasmic	10.00
WP_014947722.1 MULTISPECIES: ribosome biogenesis GTP-binding protein YihA/YsxC [Alteromonas]	Cytoplasmic	8.96
WP_014947723.1 DNA polymerase I [Alteromonas macleodii]	Cytoplasmic	9.97
WP_014947724.1 MULTISPECIES: isoprenoid biosynthesis glyoxalase ElbB [Alteromonas]	Cytoplasmic	9.26
