Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
16555543	INSDC	BX548174.1	653818	653964	-	CAX37116.1	Hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
16555543	RefSeq	NC_005072.1	653818	653964	-	WP_173027965.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
16555543	RefSeq	NZ_CP138914.1	1550769	1550915	-	WP_173027965.1	hypothetical protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
16555543	RefSeq	NZ_CP138922.1	620123	620269	+	WP_173027965.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
16555543	RefSeq	NZ_CP138923.1	790618	790764	+	WP_173027965.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
16555543	RefSeq	NZ_CP138976.1	1634729	1634875	+	WP_173027965.1	hypothetical protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
16555543	RefSeq	NZ_JNAG01000006.1	118714	118860	+	WP_173027965.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
16555543	INSDC	JNAG01000006.1	118714	118860	+	KGF85953.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
16555543	INSDC	JAOOHU010000007.1	13794	13940	+	MDC3028902.1	hypothetical protein	Prochlorococcus sp. AH-716-P20		GCA_028450405.1
16555543	INSDC	JAOOMD010000025.1	1996	2142	+	MDC3138073.1	hypothetical protein	Prochlorococcus sp. AH-716-I19		GCA_028409135.1
