MIT9303
log2 fold change (+ means upregulated in chitosan),gene,ncbi_cds_locus_tag,ncbi_gene_locus_tag,ncbi_gene_old_locus_tag,geneFunction,NCBI alignment,NCBI query cover,NCBI percent identity,,
7.942220648,MIT9303_00288,P9303_RS01400,P9303_RS01400,P9303_02901,Hypothetical protein,tyrosine-type recombinase/integrase,98%,90.4,,
2.486290791,MIT9303_00356,P9303_RS13835,P9303_RS13835,P9303_03621,Hypothetical protein,addiction module toxin RelE,57%,36.36,,
0.824662535,MIT9303_00388,P9303_RS13360,P9303_RS13360,P9303_03961,CP12 domain protein,NA,NA,NA,,
3.078694157,MIT9303_00831,P9303_RS03985,P9303_RS03985,P9303_08931,Hypothetical protein,5-formyltetrahydrofolate cyclo-ligase,99%,100,,
1.008352125,MIT9303_00889,P9303_RS04245,P9303_RS04245,P9303_09501,Hypothetical protein,NA,NA,NA,,
1.490390867,MIT9303_00908,P9303_RS04330,P9303_RS04330,P9303_09681,Hypothetical protein,NA,NA,NA,,
20.21940238,MIT9303_01124,nan,nan,nan,Hypothetical protein,NA,NA,NA,,
7.960669321,MIT9303_01167,P9303_RS05475,P9303_RS05475,P9303_12751,Hypothetical protein,putative recombinase,98%,36.89,,
1.072730018,MIT9303_01307,P9303_RS06050,P9303_RS06050,None,Hypothetical protein,DUF1651 domain-containing protein,88%,47.3,,
0.762120413,MIT9303_01372,P9303_RS06355,P9303_RS06355,P9303_14901,putative Branched-chain amino acid aminotransferase,NA,NA,NA,,
7.321905015,MIT9303_01569,nan,nan,nan,Hypothetical protein,tetratricopeptide repeat protein,62%,47.83,,
19.70512402,MIT9303_01941,nan,nan,nan,Hypothetical protein,NA,NA,NA,,
6.719458126,MIT9303_01992,nan,nan,nan,Hypothetical protein,DUF1823 family protein,99%,98.08,,
0.535796468,MIT9303_02388,P9303_RS11185,P9303_RS11185,P9303_25961,Hypothetical protein,NA,NA,NA,,
7.785290801,MIT9303_02539,nan,nan,nan,Hypothetical protein,exodeoxyribonuclease V b chain,82%,34.38,,
20.10498509,MIT9303_02592,nan,nan,nan,Hypothetical protein,NA,NA,NA,,
6.541851787,MIT9303_02626,nan,nan,nan,Hypothetical protein,NA,NA,NA,,
0.7870443,MIT9303_02719,P9303_RS12745,P9303_RS12745,None,Hypothetical protein,MULTISPECIES: metal-binding protein,89%,41.1,,
-8.798504141,MIT9303_00286,P9303_RS01390,P9303_RS01390,None,Hypothetical protein,tetratricopeptide repeat protein,99%,41.61,,
-0.43130531,MIT9303_00426,P9303_RS02020,P9303_RS02020,P9303_04391,RNA polymerase beta prime subunit,NA,NA,NA,,
-0.705551245,MIT9303_00427,P9303_RS02030,P9303_RS02030,P9303_04411,putative high light inducible protein,NA,NA,NA,,
-1.018412343,MIT9303_00480,P9303_RS02295,P9303_RS02295,None,Hypothetical protein,MULTISPECIES: co-chaperone GroES,99%,100,,
-1.192075272,MIT9303_00481,P9303_RS02300,P9303_RS02300,P9303_05041,Chaperonin GroEL,NA,NA,NA,,
-0.694864185,MIT9303_00615,P9303_RS02945,P9303_RS02945,P9303_06501,60 kDa chaperonin 2,NA,NA,NA,,
-21.55027026,MIT9303_00676,P9303_RS03230,P9303_RS03230,P9303_07141,Hypothetical protein,MULTISPECIES: YjbQ family protein,99%,99.36,,
-7.72392105,MIT9303_00945,nan,nan,nan,Hypothetical protein,NA,NA,NA,,
-0.932960906,MIT9303_00947,nan,nan,nan,Hypothetical protein,GDP-mannose 4 6-dehydratase,67%,35.09,,
-6.844622968,MIT9303_01040,P9303_RS13435,P9303_RS13435,P9303_11191,putative high light inducible protein,NA,NA,NA,,
-7.390641117,MIT9303_01274,nan,nan,nan,Hypothetical protein,NA,NA,NA,,
-1.700259467,MIT9303_01641,P9303_RS14280,P9303_RS14280,P9303_17791,Hypothetical protein,acetylcholine receptor subunit beta-type lev-1-like...            34.7   34.7  69%   8.8   41.03  XP_021354101.1,69%,41.03,,
-7.437623459,MIT9303_02034,nan,nan,nan,Hypothetical protein,nickel-responsive transcriptional regulator NikR...               36.2   36.2  55%   2.3   36.11  NOY79893.1,55%,36.11,,
-0.82078415,MIT9303_02141,P9303_RS09990,P9303_RS09990,P9303_23091,50S ribosomal protein L16,NA,NA,NA,,
-0.546573057,MIT9303_02146,P9303_RS10015,P9303_RS10015,P9303_23151,50S ribosomal protein L5,NA,NA,NA,,
-0.611300236,MIT9303_02150,P9303_RS10035,P9303_RS10035,P9303_23191,30S ribosomal protein S5,NA,NA,NA,,
-1.56819647,MIT9303_02696,P9303_RS12640,P9303_RS12640,P9303_29301,Hypothetical protein,TIGR03943 family protein,99%,96.77,,
-0.598005531,MIT9303_02766,P9303_RS12970,P9303_RS12970,P9303_30041,Molecular chaperone DnaK2%2C heat shock protein hsp70-2,NA,NA,NA,,
