cyanorak_locus_tag,locus_tag
ProMIT1327_00002,PMIT1327_00341
ProMIT1327_00003,PMIT1327_00003
ProMIT1327_00004,PMIT1327_RS12940
ProMIT1327_00005,PMIT1327_RS00020
ProMIT1327_00007,PMIT1327_00007
ProMIT1327_00008,PMIT1327_00008
ProMIT1327_00009,PMIT1327_00009
ProMIT1327_00010,PMIT1327_00010
ProMIT1327_00011,PMIT1327_00354
ProMIT1327_00013,PMIT1327_00013
ProMIT1327_00014,PMIT1327_00014
ProMIT1327_00016,PMIT1327_00016
ProMIT1327_00017,PMIT1327_00017
ProMIT1327_00019,PMIT1327_00019
ProMIT1327_00020,PMIT1327_00020
ProMIT1327_00023,PMIT1327_00023
ProMIT1327_00025,PMIT1327_00025
ProMIT1327_00026,PMIT1327_00026
ProMIT1327_00027,PMIT1327_00027
ProMIT1327_00030,PMIT1327_00030
ProMIT1327_00031,PMIT1327_00031
ProMIT1327_00033,PMIT1327_00033
ProMIT1327_00034,PMIT1327_00034
ProMIT1327_00035,PMIT1327_00467
ProMIT1327_00036,PMIT1327_00036
ProMIT1327_00037,PMIT1327_00037
ProMIT1327_00038,PMIT1327_00038
ProMIT1327_00039,PMIT1327_00039
ProMIT1327_00040,PMIT1327_00040
ProMIT1327_00042,PMIT1327_00042
ProMIT1327_00049,PMIT1327_00049
ProMIT1327_00050,PMIT1327_00050
ProMIT1327_00051,PMIT1327_00051
ProMIT1327_00052,PMIT1327_00052
ProMIT1327_00053,PMIT1327_00051
ProMIT1327_00054,PMIT1327_00054
ProMIT1327_00055,PMIT1327_00055
ProMIT1327_00056,PMIT1327_00056
ProMIT1327_00057,PMIT1327_00057
ProMIT1327_00058,PMIT1327_00058
ProMIT1327_00059,PMIT1327_00059
ProMIT1327_00060,PMIT1327_00060
ProMIT1327_00061,PMIT1327_00061
ProMIT1327_00062,PMIT1327_00062
ProMIT1327_00063,PMIT1327_00063
ProMIT1327_00064,PMIT1327_00064
ProMIT1327_00065,PMIT1327_00065
ProMIT1327_00066,PMIT1327_00066
ProMIT1327_00067,PMIT1327_00067
ProMIT1327_00068,PMIT1327_00068
ProMIT1327_00069,PMIT1327_00069
ProMIT1327_00070,PMIT1327_00070
ProMIT1327_00071,PMIT1327_00071
ProMIT1327_00073,PMIT1327_00073
ProMIT1327_00074,PMIT1327_00074
ProMIT1327_00076,PMIT1327_00076
ProMIT1327_00079,PMIT1327_00079
ProMIT1327_00081,PMIT1327_00081
ProMIT1327_00083,PMIT1327_00083
ProMIT1327_00084,PMIT1327_00084
ProMIT1327_00086,PMIT1327_00086
ProMIT1327_00087,PMIT1327_00087
ProMIT1327_00089,PMIT1327_00089
ProMIT1327_00090,PMIT1327_00090
ProMIT1327_00091,PMIT1327_00091
ProMIT1327_00092,PMIT1327_00092
ProMIT1327_00094,PMIT1327_00094
ProMIT1327_00096,PMIT1327_00096
ProMIT1327_00097,PMIT1327_00097
ProMIT1327_00098,PMIT1327_00098
ProMIT1327_00100,PMIT1327_00100
ProMIT1327_00101,PMIT1327_00101
ProMIT1327_00102,PMIT1327_00102
ProMIT1327_00103,PMIT1327_00103
ProMIT1327_00104,PMIT1327_00104
ProMIT1327_00105,PMIT1327_00105
ProMIT1327_00106,PMIT1327_00106
ProMIT1327_00107,PMIT1327_00107
ProMIT1327_00108,PMIT1327_00108
ProMIT1327_00109,PMIT1327_00109
ProMIT1327_00111,PMIT1327_00111
ProMIT1327_00112,PMIT1327_00112
ProMIT1327_00113,PMIT1327_00113
ProMIT1327_00114,PMIT1327_00114
ProMIT1327_00115,PMIT1327_00115
ProMIT1327_00116,PMIT1327_00116
ProMIT1327_00117,PMIT1327_00117
ProMIT1327_00118,PMIT1327_00118
ProMIT1327_00120,PMIT1327_00120
ProMIT1327_00121,PMIT1327_00121
ProMIT1327_00122,PMIT1327_00122
ProMIT1327_00123,PMIT1327_00123
ProMIT1327_00124,PMIT1327_00124
ProMIT1327_00125,PMIT1327_00125
ProMIT1327_00126,PMIT1327_00126
ProMIT1327_00127,PMIT1327_00127
ProMIT1327_00128,PMIT1327_00128
ProMIT1327_00129,PMIT1327_00129
ProMIT1327_00130,PMIT1327_00130
ProMIT1327_00131,PMIT1327_00131
ProMIT1327_00132,PMIT1327_00132
ProMIT1327_00133,PMIT1327_00133
ProMIT1327_00134,PMIT1327_00134
ProMIT1327_00135,PMIT1327_00135
ProMIT1327_00136,PMIT1327_00136
ProMIT1327_00137,PMIT1327_00137
ProMIT1327_00138,PMIT1327_00138
ProMIT1327_00139,PMIT1327_00139
ProMIT1327_00142,PMIT1327_00142
ProMIT1327_00143,PMIT1327_00143
ProMIT1327_00144,PMIT1327_00144
