Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources,resolved_locus_tag,resolution_method
PMM0003,purL phosphoribosylformylglycinamidine synthetase II 2044:4383 forward,-0.1754357879101729,0.2386,1,F,outer membrane,iTRAQ1 protein list :: Ratio 116:115,PMM0003,locus_tag:Accession
PMM0004,purF Glutamine amidotransferase 4430:5890 forward,0.6064422281316076,,1,F,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0004,locus_tag:Accession
PMM0013,CDS RNA-binding region RNP-1 (RNA recognition 16018:16683 forward,-0.3351278638105578,0.9068,2,R,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0013,locus_tag:Accession
PMM0023,gap2 Glyceraldehyde 3-phosphate 24150:25172 forward,-0.3396144974638272,0.4227,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0023,locus_tag:Accession
PMM0044,alaS Alanyl-tRNA synthetase 44305:46965 forward,0.0017301961388826,0.9894,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0044,locus_tag:Accession
PMM0046,CDS Nucleoside diphosphate kinase 49017:49475 forward,-0.4637481210627106,0.0912,1,F,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0046,locus_tag:Accession
PMM0048,gatB Glutamyl-tRNA (Gln) amidotransferase subunit B 50672:52144 forward,0.1895399443885033,0.2049,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0048,locus_tag:Accession
PMM0051,CDS conserved hypothetical protein 54244:54915 reverse,0.174917695239588,,1,D,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0051,locus_tag:Accession
PMM0075,CDS conserved hypothetical protein 79845:80951 forward,-0.2658648628688433,0.6674,1,S,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0075,locus_tag:Accession
PMM0090,CDS possible serine protease 95155:96303 reverse,0.1555492730618173,0.5674,2,O,periplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0090,locus_tag:Accession
PMM0109,CDS possible POLO box duplicated region. 111615:112325 forward,0.0709388213434375,0.7773,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0109,locus_tag:Accession
PMM0128,rpaA two-component response regulator 125358:126113 forward,0.125254339031466,0.3382,1,T&K,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0128,locus_tag:Accession
PMM0134,rpaB two-component response regulator 132148:132894 forward,-0.7742315035704033,0.0375,1,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0134,locus_tag:Accession
PMM0142,CDS RNA-binding region RNP-1 (RNA recognition 139098:139517 forward,0.3996633038880176,0.2389,1,R,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0142,locus_tag:Accession
PMM0144,"pds,crtD phytoene desaturase 140446:141867 reverse",-0.0278220296536275,0.8627,1,S,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0144,locus_tag:Accession
PMM0152,CDS Putative sugar-phosphate nucleotidyl 149447:150625 forward,0.2879450386445189,0.3013,1,M&J,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0152,locus_tag:Accession
PMM0195,"pgk, cbbK Phosphoglycerate kinase 188883:190091 forward",-0.0254706875161181,0.8727,1,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0195,locus_tag:Accession
PMM0208,eno Enolase 201456:202748 forward,-0.4254624786979365,,1,G,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0208,locus_tag:Accession
PMM0211,trxB FAD-dependent pyridine nucleotide-disulphide 204992:205948 forward,-0.6290390940917866,0.9578,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0211,locus_tag:Accession
PMM0214,CDS putative sulfate transporter 207261:208916 reverse,0.9218171398466216,0.0017,1,P,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM0214,locus_tag:Accession
PMM0226,ftsH2 cell division protein FtsH2 219760:221616 reverse,0.0604624879861069,0.8988,1,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM0226,locus_tag:Accession
PMM0228,psbO Photosystem II manganese-stabilizing protein 222913:223707 reverse,0.0431307378902507,0.7261,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0228,locus_tag:Accession
PMM0238,ileS Isoleucyl-tRNA synthetase 230206:233103 forward,-0.0043345902638911,0.9911,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0238,locus_tag:Accession
PMM0258,glyA Serine hydroxymethyltransferase (SHMT) 247995:249266 reverse,0.2959580677208221,0.1777,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0258,locus_tag:Accession
PMM0263,amt1 Ammonium transporter family 252632:254092 forward,1.1071521986349104,0.0008,1,P,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115,PMM0263,locus_tag:Accession
PMM0282,fabI enoyl-[acyl-carrier-protein] reductase 271785:272567 reverse,-0.1452861772304692,0.3818,1,I,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0282,locus_tag:Accession
PMM0291,CDS conserved hypothetical protein 281164:282486 forward,0.1158322986525648,0.7245,1,S,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM0291,locus_tag:Accession
PMM0311,metK S-adenosylmethionine synthetase 297783:299024 reverse,-0.4552178952133369,0.0172,1,H,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0311,locus_tag:Accession
PMM0312,"rps1a, rpsA1 30S ribosomal protein S1, homolog A 299159:300250 reverse",-0.5631985264294997,0.0491,1,J,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0312,locus_tag:Accession
PMM0315,psbB Photosystem II PsbB protein (CP47) 301064:302587 reverse,0.377512488485005,0.2236,1,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM0315,locus_tag:Accession
PMM0321,minD putative septum site-determining protein MinD 305556:306371 reverse,-0.0582926913190329,0.607,1,D,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0321,locus_tag:Accession
