species,symbol,product,logFC,PValue
EZ55,EZ55_03748,amylosucrase,-7.319562129,1.33E-09
EZ55,EZ55_02855,outer membrane receptor protein involved in Fe,-6.646929746,1.93E-07
EZ55,EZ55_03747,fucose permease,-6.390902057,3.09E-08
EZ55,EZ55_02501,sucrose phosphorylase,-6.080581414,1.55E-07
EZ55,EZ55_03749,maltogenic amylase-like enzyme,-5.699421106,3.81E-07
EZ55,EZ55_02165,putative oxidoreductase,-5.485179154,6.18E-05
EZ55,EZ55_02158,hypothetical protein,-5.225439989,4.24E-08
EZ55,EZ55_02269,FMN-dependent NADH-azoreductase,-5.007207867,2.62E-06
EZ55,EZ55_02865,alpha-glucosidase,-4.745757845,1.27E-08
EZ55,EZ55_01991,putative glutathione S-transferase,-4.114749561,2.66E-07
EZ55,EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,-3.7674315,0.000373284
EZ55,EZ55_03879,cytochrome b561,-2.994664187,0.000212942
EZ55,EZ55_02348,methionine synthase (B12-independent),-2.473974688,0.027304137
EZ55,EZ55_03647,hypothetical protein,-2.45339892,6.80E-05
EZ55,EZ55_02279,NAD(P)-dependent dehydrogenase (short-subunit,-2.364981747,0.001728049
EZ55,EZ55_03762,fructokinase,-2.207799493,0.014740661
EZ55,EZ55_02280,butyryl-CoA dehydrogenase,-2.171246582,0.003702974
EZ55,EZ55_00284,cobalt-zinc-cadmium efflux system membrane fusion,-2.087368738,0.018214761
EZ55,EZ55_01198,fatty acid desaturase,-2.072693021,7.94E-05
EZ55,EZ55_03114,uncharacterized protein DUF3545,-2.060432526,1.34E-05
EZ55,EZ55_00118,sulfur carrier protein ThiS,-2.050727124,0.010899179
EZ55,EZ55_02321,broad specificity phosphatase PhoE,-1.930177446,0.001450464
EZ55,EZ55_02886,diguanylate cyclase (GGDEF)-like protein,-1.893856638,0.0002215
EZ55,EZ55_02006,iron complex outermembrane receptor protein,-1.889923556,0.030498474
EZ55,EZ55_03194,FHS family L-fucose permease-like MFS,-1.864777457,0.03707355
EZ55,EZ55_02854,hypothetical protein,-1.853560559,0.019558513
EZ55,EZ55_01225,iron complex outermembrane receptor protein,-1.812319266,0.040237812
EZ55,EZ55_02858,iron complex outermembrane receptor protein,-1.810153947,0.032744493
EZ55,EZ55_01880,putative cold-shock DNA-binding protein,-1.776845774,1.26E-05
EZ55,EZ55_01675,hypothetical protein,-1.774377467,0.001445638
EZ55,EZ55_00895,GntR family transcriptional regulator (histidine,-1.714503859,0.006853404
EZ55,EZ55_01687,polyketide cyclase/dehydrase/lipid transport,-1.658396985,0.000273558
EZ55,EZ55_02320,acyl-CoA dehydrogenase,-1.615761788,0.006123114
EZ55,EZ55_01218,spore cortex formation protein SpoVR/YcgB (stage,-1.610736863,0.008325566
EZ55,EZ55_02278,NAD(P)-dependent dehydrogenase (short-subunit,-1.602274945,0.036116365
EZ55,EZ55_00303,predicted transcriptional regulator,-1.596257393,0.000131129
EZ55,EZ55_02722,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,-1.594897506,0.000542133
EZ55,EZ55_02728,hypothetical protein,-1.590585972,1.02E-07
EZ55,EZ55_00812,phospholipid/cholesterol/gamma-HCH transport,-1.551684945,0.000668219
EZ55,EZ55_01511,hypothetical protein,-1.532732713,0.000326103
EZ55,EZ55_02461,GAF sensor signal transduction histidine kinase,-1.518818898,0.006600335
EZ55,EZ55_00338,predicted dehydrogenase,-1.514592827,0.002498172
EZ55,EZ55_02502,HxlR family transcriptional regulator,-1.514204394,1.76E-05
EZ55,EZ55_02545,nicotinamidase-related amidase,-1.502997716,2.51E-06
EZ55,EZ55_03130,response regulator receiver domain-containing,-1.489006586,0.001008944
EZ55,EZ55_03338,DNA-binding transcriptional LysR family,-1.484998315,1.05E-05
EZ55,EZ55_02064,LysR family transcriptional regulator,-1.472055435,0.000160029
EZ55,EZ55_01704,CBS domain protein,-1.458304848,0.008802103
EZ55,EZ55_03631,anaerobic selenocysteine-containing,-1.437592259,0.001224709
EZ55,EZ55_03461,CRP-like cAMP-binding protein,-1.435253961,2.82E-05
EZ55,EZ55_02512,uncharacterized protein DUF1282,-1.421021871,0.036181937
EZ55,EZ55_02860,transcriptional regulator /LacI family,-1.413632656,0.000103801
EZ55,EZ55_01418,response regulator receiver protein,-1.412662231,0.011961331
EZ55,EZ55_01941,hypothetical protein,-1.404076411,1.47E-07
EZ55,EZ55_02529,long-chain acyl-CoA synthetase,-1.390545099,0.013372416
EZ55,EZ55_02723,BASS family bile acid:Na+ symporter,-1.382510959,0.001317488
EZ55,EZ55_01772,3-hydroxyacyl-CoA dehydrogenase,-1.380010139,0.03416542
EZ55,EZ55_00619,putative (di)nucleoside polyphosphate hydrolase,-1.374564047,7.43E-05
EZ55,EZ55_00339,sugar phosphate isomerase/epimerase,-1.364649625,0.04725615
EZ55,EZ55_01036,hypothetical protein,-1.358244206,0.003673962
EZ55,EZ55_00685,diguanylate cyclase (GGDEF)-like protein,-1.354833451,0.00082866
EZ55,EZ55_00894,imidazolonepropionase,-1.352589104,0.011554042
EZ55,EZ55_02460,response regulator RpfG family c-di-GMP,-1.352080697,0.016791032
EZ55,EZ55_00893,formiminoglutamase,-1.351026875,0.005092079
EZ55,EZ55_02537,diamine N-acetyltransferase,-1.350847263,1.60E-08
EZ55,EZ55_01712,uncharacterized membrane protein,-1.336253171,0.030176875
EZ55,EZ55_01199,ferredoxin-NADP reductase,-1.317444081,0.029851419
EZ55,EZ55_01982,lipid-A-disaccharide kinase,-1.313263997,7.46E-05
EZ55,EZ55_01560,hypothetical protein,-1.310728228,0.009974607
EZ55,EZ55_03944,3-dehydroquinate dehydratase,-1.303189005,0.002288385
EZ55,EZ55_03750,hypothetical protein,-1.293083515,0.005756931
EZ55,EZ55_02353,DUF2945 family protein,-1.286564238,0.018231064
EZ55,EZ55_02319,aminoglycoside phosphotransferase (APT) family,-1.279353391,0.020484931
EZ55,EZ55_01953,hypothetical protein,-1.277333698,0.000966469
EZ55,EZ55_03373,phospho-acceptor domain-containing protein (beta-lactamase superfamily II),-1.264453088,0.001849286
EZ55,EZ55_00901,glucosamine kinase,-1.25771585,7.31E-07
EZ55,EZ55_03646,regulatory LuxR family protein,-1.250125515,0.034802298
EZ55,EZ55_01940,hypothetical protein,-1.249595012,1.13E-05
EZ55,EZ55_02965,hypothetical protein,-1.247623687,0.000504305
EZ55,EZ55_01093,RNA polymerase sigma-28 (SigD/FliA/WhiG) subunit,-1.244108098,6.50E-05
EZ55,EZ55_01263,"3'(2'), 5'-bisphosphate nucleotidase",-1.243704362,0.003618814
EZ55,EZ55_00279,hypothetical protein,-1.235884139,0.000125732
EZ55,EZ55_03054,cell division protein FtsL,-1.234788832,0.001376447
EZ55,EZ55_02500,oxidoreductase family protein,-1.233347988,9.25E-05
EZ55,EZ55_00406,heme-NO-binding protein,-1.230446297,0.002157442
EZ55,EZ55_02528,3-oxoacyl-[acyl-carrier-protein] synthase I,-1.225045811,0.002814721
EZ55,EZ55_01315,hypothetical protein,-1.219152994,0.000424606
EZ55,EZ55_01083,flagellar protein FliO/FliZ,-1.199143654,5.68E-06
EZ55,EZ55_00304,site-specific recombinase XerD,-1.195068581,0.000662424
EZ55,EZ55_00809,3-deoxy-D-manno-octulosonate 8-phosphate,-1.194781415,1.85E-05
EZ55,EZ55_00247,AraC-like DNA-binding protein,-1.192591574,4.75E-08
EZ55,EZ55_02857,thymidine kinase,-1.183151878,0.002536963
EZ55,EZ55_03872,hypothetical protein,-1.176052894,0.001866874
EZ55,EZ55_01753,3-oxoacyl-[acyl-carrier-protein] synthase III,-1.173041977,0.004304965
EZ55,EZ55_01264,adenylylsulfate kinase,-1.167593698,0.006867372
EZ55,EZ55_02201,uncharacterized protein (DUF2164 family),-1.165986466,0.000392401
EZ55,EZ55_03160,hypothetical protein,-1.150003514,0.000392301
EZ55,EZ55_00262,hypothetical protein,-1.14816265,0.002107088
EZ55,EZ55_02104,hypothetical protein,-1.131669352,0.000475933
EZ55,EZ55_01097,two-component system chemotaxis response,-1.130024055,0.001003384
EZ55,EZ55_02664,chemotaxis protein MotA,-1.128425599,1.36E-05
EZ55,EZ55_03945,biotin carboxyl carrier protein,-1.109774008,0.011863166
EZ55,EZ55_01095,chemotaxis phosphatase CheZ,-1.104599648,0.001097489
EZ55,EZ55_01319,translation initiation factor 1 (eIF-1/SUI1),-1.09992924,0.000544245
EZ55,EZ55_02052,EF hand domain-containing protein,-1.096584999,0.000839658
EZ55,EZ55_02536,hypothetical protein,-1.088577705,0.012206285
EZ55,EZ55_03252,hypothetical protein,-1.075639301,0.000686069
EZ55,EZ55_00319,methyl-accepting chemotaxis sensory transducer,-1.074353291,0.047189487
EZ55,EZ55_01678,hypothetical protein,-1.065113602,0.000372888
EZ55,EZ55_04194,hypothetical protein,-1.064230191,0.001724835
EZ55,EZ55_00628,hypothetical protein,-1.061013164,0.008755563
EZ55,EZ55_01729,DNA topoisomerase I,-1.058688452,0.000386646
EZ55,EZ55_01607,signal transduction histidine kinase,-1.054726809,0.049552831
EZ55,EZ55_02526,antitoxin ParD1/3/4,-1.053892792,0.006556663
EZ55,EZ55_00306,methyl-accepting chemotaxis sensory transducer,-1.051504514,0.020226105
EZ55,EZ55_01244,electron transport complex protein RnfC,-1.05081898,0.002159714
EZ55,EZ55_00307,two-component system chemotaxis response,-1.050804938,0.025287314
EZ55,EZ55_03089,hypothetical protein,-1.050755613,0.000521209
EZ55,EZ55_01118,carbon storage regulator CsrA,-1.043608568,0.002807849
EZ55,EZ55_02237,hypothetical protein,-1.043312769,0.002580337
EZ55,EZ55_00843,hypothetical protein,-1.039008684,0.014380534
EZ55,EZ55_00933,hypothetical protein,-1.033006959,0.000318508
EZ55,EZ55_02805,NTE family protein,-1.032836354,0.025258523
EZ55,EZ55_01871,predicted GNAT family N-acyltransferase,-1.031555791,0.034252012
EZ55,EZ55_01016,undecaprenyl pyrophosphate synthetase,-1.030683637,0.001295491
EZ55,EZ55_00902,N-acetylglucosamine 6-phosphate deacetylase,-1.028251977,0.000173659
EZ55,EZ55_01430,hypothetical protein,-1.027906155,0.013866436
EZ55,EZ55_01756,acyl carrier protein,-1.027652154,0.020143925
EZ55,EZ55_03246,HupE/UreJ protein,-1.026648388,0.007877064
EZ55,EZ55_03310,transposase,-1.011819848,0.003214025
EZ55,EZ55_03311,diguanylate cyclase (GGDEF)-like protein,-1.007630548,0.003265928
EZ55,EZ55_01257,Zn-dependent M28 family amino/carboxypeptidase,-1.005081782,8.73E-05
EZ55,EZ55_03589,LSU ribosomal protein L24P,1.003624013,0.021771911
EZ55,EZ55_00663,"L-lysine 2, 3-aminomutase",1.004168281,0.000567217
EZ55,EZ55_03652,ATP-dependent HslUV protease ATP-binding subunit,1.007138812,0.0034149
EZ55,EZ55_02690,RseC/MucC-like positive regulator of sigma(E),1.00797416,0.005410223
EZ55,EZ55_02694,L-aspartate oxidase,1.00943062,7.35E-05
EZ55,EZ55_01282,group II intron reverse transcriptase/maturase,1.010403158,0.026657306
EZ55,EZ55_00790,LSU ribosomal protein L13P,1.010690876,0.033281916
EZ55,EZ55_01593,uncharacterized membrane protein,1.011460936,0.001693505
EZ55,EZ55_03070,hypothetical protein,1.013658547,0.035369585
EZ55,EZ55_02375,rhodanese-related sulfurtransferase,1.015268621,0.0009081
EZ55,EZ55_03211,H+/Cl- antiporter ClcA,1.01699454,0.026178654
EZ55,EZ55_00713,DNA primase,1.017111419,0.001215889
EZ55,EZ55_03451,NCS1 family nucleobase:cation symporter-1,1.017818204,0.00178289
EZ55,EZ55_03009,multidrug efflux pump,1.019332698,0.011609432
EZ55,EZ55_03953,secreted protein,1.022415538,0.044492661
EZ55,EZ55_02125,cytochrome c,1.022514127,0.001659913
EZ55,EZ55_04085,hypothetical protein,1.023095973,0.010297849
EZ55,EZ55_04189,DUF2933 family protein,1.023643816,0.008939626
EZ55,EZ55_01835,NADPH:quinone reductase-like Zn-dependent,1.024549097,0.001703477
EZ55,EZ55_00527,"catechol 2, 3-dioxygenase-like lactoylglutathione lyase",1.026414826,0.016080301
EZ55,EZ55_04307,Tn3 transposase DDE domain-containing protein,1.02867357,0.023323524
EZ55,EZ55_03819,sulfite dehydrogenase (cytochrome) subunit SorA,1.033938584,0.002828236
EZ55,EZ55_00592,LSU ribosomal protein L27P,1.035523917,0.015458507
EZ55,EZ55_00470,glycerophosphoryl diester phosphodiesterase,1.036911244,0.01384754
EZ55,EZ55_01612,uncharacterized protein DUF861,1.037532785,0.013117097
EZ55,EZ55_01725,transposase,1.037938907,0.010541476
EZ55,EZ55_01462,thiopurine S-methyltransferase,1.038630731,0.013862733
EZ55,EZ55_04045,acetyltransferase (GNAT) family protein,1.038997646,0.015055939
EZ55,EZ55_00706,transposase,1.040316106,0.005175305
EZ55,EZ55_02655,ChrR-like anti-ECFsigma factor,1.043254665,0.045437632
EZ55,EZ55_00818,UDP-N-acetylglucosamine,1.04664288,0.041065253
EZ55,EZ55_00543,hypothetical protein,1.052797041,0.000402208
EZ55,EZ55_02570,oligopeptidase B,1.057482328,0.000942609
EZ55,EZ55_02114,chromate transporter,1.061487119,0.004011832
EZ55,EZ55_02121,site-specific recombinase XerD,1.062494885,0.017293324
EZ55,EZ55_03693,dedicated sortase system histidine kinase,1.064845766,0.043881414
EZ55,EZ55_02704,prepilin peptidase dependent protein A/type IV,1.065682609,0.008673472
EZ55,EZ55_02695,MaoC dehydratase-like protein,1.065904726,0.001404424
EZ55,EZ55_02631,hypothetical protein,1.069336897,0.015530541
EZ55,EZ55_02862,pectinacetylesterase,1.072024113,0.002273061
EZ55,EZ55_01276,MoxR-like ATPase,1.078053036,0.033417769
EZ55,EZ55_02698,hypothetical protein,1.078243557,1.67E-06
EZ55,EZ55_03038,8-oxo-dGTPase,1.082998171,0.008656935
EZ55,EZ55_03590,LSU ribosomal protein L14P,1.083443265,0.007060822
EZ55,EZ55_03811,SSU ribosomal protein S6P,1.083969887,0.025439844
EZ55,EZ55_03351,curli production assembly/transport component,1.084045449,0.033584256
EZ55,EZ55_03863,predicted MFS family arabinose efflux permease,1.085981457,0.001674709
EZ55,EZ55_00070,transposase,1.086392965,0.00379118
EZ55,EZ55_03207,hypothetical protein,1.088013338,0.022947678
EZ55,EZ55_00667,hypothetical protein,1.090314818,0.01422616
EZ55,EZ55_04136,hypothetical protein,1.092896447,0.000454951
EZ55,EZ55_03910,hypothetical protein,1.096100076,0.006839444
EZ55,EZ55_02691,MucB/RseB-like sigma(E) regulatory protein,1.099484786,0.003687511
EZ55,EZ55_03862,hypothetical protein,1.10415072,0.001153563
EZ55,EZ55_03397,hypothetical protein,1.10609076,0.012507829
EZ55,EZ55_04129,hypothetical protein,1.106239322,0.017951929
EZ55,EZ55_02169,modulator of FtsH protease,1.106564083,0.018110543
EZ55,EZ55_01284,hypothetical protein,1.106612898,0.044095071
EZ55,EZ55_04176,hydrogenase-1 operon protein HyaF,1.109825496,0.007765862
EZ55,EZ55_01802,ribosome-binding factor A,1.114394426,0.027586098
EZ55,EZ55_02130,hypothetical protein,1.11668533,0.002866666
EZ55,EZ55_01784,dihydroorotase,1.119410974,0.025365624
EZ55,EZ55_02685,pyridoxamine 5'-phosphate oxidase,1.1202784,0.044224339
EZ55,EZ55_00714,hypothetical protein,1.124252739,0.013669599
EZ55,EZ55_04063,magnesium chelatase family protein,1.144440004,0.000274423
